de	the
eind, einde	end
bestaan	to exist
rond	around
vaak	often
trekken	to draw
aantal	number
achter	behind
natuurlijk	natural
naam	name
laatst	last
deel	part
belangrijk	important
misschien	maybe
gebeuren	to happen
iedereen	everyone
bijna	almost
probleem	problem
vier	four
sinds	since
erg	very
per	by, per
geleden	ago
nodig	necessary
noemen	to name
vraag	question
proberen	to try
zaak	a) case b) business
spreken	to speak
allemaal	all
pas	only
helemaal	completely
men	one, you
kennen	to know
bekend	(well-)known
terwijl	while
huis	house
geval	case
duidelijk	clear
gebruiken	to use
vertellen	to tell
kort	short
vroeg	early
vanaf	from
weg	gone
eigenlijk	actually
via	through
iemand	someone
eerder	sooner
mooi	nice
schrijven	to write
vijf	five
gisteren	yesterday
sterk	strong
paar	couple
u	you
hen	them
vandaag	today
waarom	why
moment	time, moment
manier	way
moeilijk	difficult
wereld	world
opnieuw	again
daarom	therefore
geld	money
zeer	very
soms	sometimes
groep	group
stad	town, city
enig	only
ver	far
genoeg	enough
stuk	piece
zwaar	heavy
zoeken	to search
kans	chance
ja	yes
leggen	to put
waarin	wherein
tien	ten
voelen	to feel
winnen	to win
begin	start
vast	fixed, certain
naast	next to
bijvoorbeeld, bv.	for example
slecht	bad
verliezen	to lose
buiten	outside
zorgen	to provide
Nederlands	Dutch
oog	eye
beetje	bit
zoveel	so much
zes	six
meteen	immediately
bovendien	also
woord	word
graag	gladly, with pleasure
beide	both
kiezen	to choose
hopen	to hope
laat	late
vol	full
daarna	afterwards
lezen	to read
verschillend	different
betalen	to pay
miljoen	million
partij	party
soort	kind of
ooit	one day
ding	thing
weg	road
sommige	some
ieder	each
leiden	to lead
slechts	only
niemand	nobody
wachten	to wait
welk	which
sluiten	to close
boven	above
verwachten	to expect
nee	no
foto	photo
wonen	to live
helpen	to help
punt	a) full stop b) item c) point
raken	to touch, to hit
leren	to learn
dezelfde	same
hard	hard
feit	fact
leven	to live
titel	title
reden	reason
slaan	to hit
afgelopen	last
volledig	full
inderdaad	indeed
thuis	at home
half	half
open	open
vriend	friend
langs	past
hoofd	head
uiteindelijk	final
bedrijf	business
kant	side
voorbij	past
rijden	to drive
gemakkelijk, makkelijk	easy
zodat	so that
vrij	free
politie	police
verhaal	story
artikel	a) article b) product, object
boek	book
onderzoek	research
kopen	to buy
zowel	both
betekenen	to mean
bezig	busy
gevolg	result
school	school
hangen	to hang
plan	plan
wanneer	when
daarmee	with it
extra	additional
pakken	to take
nadat	after
ruim	spacious
voeren	to have, to carry out
ongeveer	about
idee	idea
zin	a) sentence b) sense
zondag	Sunday
geloven	to believe
zaterdag	Saturday
hoeven	to need (to)
staat	state
veranderen	to change
leuk	nice
bieden	to offer
auto	car
rest	rest
vader	father
familie	family
precies	exact
steken	a) to stab b) to put
trouwens	anyway
begrijpen	to understand
moeder	mother
stoppen	to stop
lid	member
leveren	to supply
laag	low
tonen	to show
waarbij	in which
praten	to talk
vorm	form
zichzelf	herself, himself, itself, yourself, themselves
hetzelfde	the same
juist	"really; on the contrary"
meter	metre
rol	role
prijs	price
tellen	to count
reageren	to react
waarvan	whose
jongen	boy
waarop	on which
dienst	service
ervan	of it
draaien	to turn
roepen	to call
daarvoor	therefore, for that
gelukkig	happy
sturen	to send
dragen	to carry
verkopen	to sell
resultaat	result
minuut	minute
niks	nothing
verdwijnen	to disappear
daarbij	with it, besides
totaal	total
meestal	mostly
succes	success
besluiten	to decide
kosten	to cost
straat	street
ouder	parent
organiseren	to organize
bijzonder	special
acht	eight
duren	to last
water	water
wijzen	to point
terecht	correct, deserved
vormen	to form
persoon	person
waarschijnlijk	probably
zeven	seven
waardoor	as a result of which
klinken	to sound
periode	period
merken	to notice
helft	half
recht	right
opzetten	to set up
gebruik	use
gevoel	feeling
beeld	statue
grond	ground
normaal	normal
bouwen	to build
zoon	son
deur	door
rood	red
ontstaan	to start
meisje	girl
enorm	enormous
nacht	night
hoewel	although
uw	your
gelijk	equal
vergeten	to forget
bereiken	to reach
algemeen	general
passen	to suit
richten (zich)	to focus
verschil	difference
programma	programme, program
lachen	to laugh
groeien	to grow
verdienen	to earn
verschijnen	to appear
krant	newspaper
eten	to eat
nummer	number
belang	importance
jullie	you
situatie	situation
kilometer	kilometre
toekomst	future
zwart	black
verklaren	to explain
honderd	hundred
bepaald	certain
aandacht	attention
waarmee	with which
daardoor	therefore
speciaal	special
beslissen	to decide
bepalen	to determine
dochter	daughter
plaatsen	to place
stem	a) voice b) vote
Frans	French
dienen	to serve (as)
gebied	area
richting	direction
vertrekken	to leave
openen	to open
voorkomen	a) to occur b) to prevent
dood	death
missen	to miss, to lack
morgen	tomorrow
antwoord	answer
heten	to be called
persoonlijk	personal
voorbeeld	example
weekend	weekend
slagen	to succeed
doel	goal
gelden	to apply
stappen	to step
licht	light
klaar	ready
muziek	music
ondanks	in spite of
liever	rather
twintig	twenty
buurt	neighbourhood
slachtoffer	victim
reactie	reaction
bekijken	to look at
contact	contact
televisie	television
tegenover	opposite, against
kaart	map
voorlopig	provisional
avond	evening
voet	foot
rekening	bill
breken	to break
eeuw	century
betreffen	to concern
kop	a) head b) cup
dicht	closed
direct	immediate
druk	busy
melden	to report
daarvan	thereof, from that
inmiddels	meanwhile
lukken	to succeed
film	film
mogelijkheid	possibility
markt	market
publiek	public
informatie, info	information
geraken	to get
alsof	as if
overigens	anyway
Duits	German
keuze	choice
rekenen	to count
oh	oh
blij	happy
nauwelijks	hardly
opnemen	to record
lijst	list
wit	white
officieel	official
diep	deep
hoogte	height
gezicht	face
stijgen	to rise
gesprek	conversation
rust	rest
kloppen	to knock, to beat
stap	step
blijkbaar	apparently
verlaten	to leave
ervaring	experience
dood	dead
geschiedenis	history
namelijk	namely
duur	expensive
ergens	somewhere
bewijzen	to prove
vervolgens	then
plek	place, spot
centrum	centre
geboren	born
groen	green
oorlog	war
politiek	politics
ondertussen	meanwhile
ruimte	space
durven	to dare
nieuws	news
band	bond
overlijden	to die
directeur	director
schieten	to shoot
zomer	summer
kracht	strength
wellicht	possibly, perhaps
genieten	to enjoy
bedoeling	intention
voorstellen	to propose
erop	on it
leeftijd	age
ontvangen	to receive
rug	back
behalve	except
bank	a) bank b) bench, sofa
absoluut	absolute
nogal	rather
lekker	tasty
negen	nine
hart	heart
bellen	to ring, to call
waar	TRUE
vreemd	strange, foreign
waarde	value
ziekenhuis	hospital
betrekken	to involve
oplossing	solution
verkeerd	wrong
slag	blow
bericht	message
dergelijk	such
duizend	thousand
collega	colleague
vrezen	to fear
overtuigen	to convince
moeite	difficulty
baan	job
last	load
rustig	quiet
tekst	text
bezoek	visit
hoop	a) hope b) pile
kamer	room
treffen	to hit, to strike
uiteraard	of course, naturally
orde	order
lijn	line
aanwezig	present
gang	corridor
voorzien	to provide
overal	everywhere
keren	to turn
tafel	table
middel	means
gezin	family
licht	light
dik	thick
dagelijks	daily
mening	opinion
eindelijk	finally
grens	border
menen	to believe, to think
beslissing	decision
telkens	each time
ontdekken	to discover
gooien	to throw
zoiets	something
wet	law
drinken	to drink
gebouw	building
luisteren	to listen
opdracht	task
twaalf	twelve
stil	silent
verleden	past
hoeveel	how many, how much
voldoende	sufficient
dreigen	to threaten
spel	game
eenmaal	a) just b) once
wijze	way
zorg	a) care b) worry
los	loose
tevreden	satisfied
brief	letter
sterven	to die
been	leg
omgeving	environment, surroundings
broer	brother
daarin	therein
onmiddellijk	immediate
indruk	impression
onderzoeken	to investigate
beschouwen	to consider
straks	later
taal	language
winkel	shop
ervoor	for it
breed	wide
regel	rule
lucht	air
hulp	help
daarop	on it
warm	hot
tegenwoordig	nowadays
tekenen	to draw
volk	people
voordeel	advantage
lief	nice
serieus	serious
ernstig	serious
arm	arm
vanwege	because of
regelmatig	regular
vriendin	a) (female) friend b) girlfriend
bed	bed
top	top
kennis	a) knowledge b) acquantaince
flink	significant
stand	a) position b) score
mama	mummy
eindigen	to end
relatie	relation
bang	afraid, frightened
slapen	to sleep
macht	power
kerk	church
beroep	profession
lichaam	body
rijk	rich
ontwikkelen	to develop
regelen	to regulate, to arrange
kwijt	lost
beseffen	to realize
allerlei	all kinds of
dorp	village
gedachte	thought
invloed	influence
delen	to share
vliegen	to fly
jammer	a pity
Nederlands	Dutch
herinneren	to remember
beloven	to promise
afstand	distance
prachtig	wonderful
bezoeken	to visit
eerlijk	honest, fair
voorstel	proposal
veilig	safe
Engels	English
vlak	right
bewust	conscious, aware
optreden	to appear
feest	party
geel	yellow
kwestie	question, issue
perfect	perfect
links	a) left b) left-wing
god	god
springen	to jump
dier	animal
hoek	corner
enig	only
bal	ball
eenvoudig	simple
vergelijken	to compare
verplichten	to oblige
mond	mouth
vullen	to fill
tiental	ten
redden	to save
studie	study
afsluiten	to close
gat	hole
kleur	colour
goedkoop	cheap
liefde	love
modern	modern
positie	position
gast	guest
grijpen	to grab
aanleiding	reason, occasion
terrein	ground
interessant	interesting
rij	row
universiteit	university
zulk	such
les	lesson
degelijk	sound
erin	in it
zingen	to sing
aanbieden	to offer
onderwerp	topic
vanavond	tonight
gevaarlijk	dangerous
danken	to thank, to owe
trouwen	to marry
erbij	there
afspraak	appointment
wensen	to wish
kwaad	a) angry b) evil
verlopen	to go
mijzelf, mezelf	myself
muur	wall
stemmen	to vote
boodschap	1) message 2) purchase, shopping
gek	crazy
zak	bag
dak	roof
zee	sea
vakantie	holiday
alweer	again
ziek	ill
verhuizen	to move (house)
schuiven	to push, to pull
bureau	desk
stevig	firm
zomaar	just
bedenken	to think (up)
doordat	because
controleren	to check
helaas	unfortunately
boom	tree
drukken	to print
dubbel	double
vieren	to celebrate
beweging	movement
tegelijk	at the same time
verbinden	a) to link b) to bandage
schuld	a) debt b) blame
bus	bus
leeg	empty
sfeer	atmosphere
taak	task
pijn	pain
verband	a) link b) bandage
geluk	happiness, luck
voordat	before
onmogelijk	impossible
zon	sun
nergens	nowhere
fijn	nice
slot	lock
gezond	healthy
verdelen	to divide
leerling	pupil
tenminste	at least
midden	middle
behandelen	to treat
rechts	a) right b) right-wing
loop	course
fout	wrong
redelijk	reasonable
studeren	to study
donker	dark
lied	song
zacht	soft
behoorlijk	decent, considerable
reis	trip, journey
beurt	turn
simpel	simple
beneden	under, down
vinger	finger
blauw	blue
werkelijk	real
opstellen	to draw up
student	student
waard	worth
raar	strange
apart	separate
oor	ear
pak	1) suit 2) bunch
begrip	understanding
lastig	difficult
wakker	awake
tuin	garden
verzamelen	to collect
eraan	with it
angst	fear
realiseren	to realize
gelegenheid	opportunity
neus	nose
schoon	clean
antwoorden	to answer
ineens	suddenly
lijden	to suffer
langzaam	slow
beschrijven	to describe
herkennen	to recognize
besteden	to spend
fiets	bicycle
koud	cold
hond	dog
dame	lady
meemaken	to experience
uitkomen	to come out
aardig	nice
mis	wrong
ermee	with it
verandering	change
waarvoor	what for
radio	radio
zover	so far
daarover	about it
opzicht	regard
plezier	pleasure
aankomen	to arrive
toestand	state
station	station
bloed	blood
toevallig	accidental
heer	gentleman
uitnodigen	to invite
teken	sign
baas	boss
maat	1) size 2) rhythm 3) mate
bewegen	to move
oplossen	to solve
haar	hair
vandaar	hence
dokter	doctor, GP
ontmoeten	to meet
stof	dust
achteraf	afterwards
vooruit	forward
geluid	sound
blad	a) journal, magazine b) leaf
boos	angry
bos	1) forest 2) bunch
knap	a) good-looking b) smart, clever, able
zus	sister
trein	train
prima	excellent
doorgaan	to continue
type	type
nadenken	to think
natuur	nature
aannemen	to assume
geweldig	great
recht	straight
eruit	out
gezellig	enjoyable, cosy
bloem	flower
herhalen	to repeat
twijfelen	to doubt
droog	dry
inhoud	content
ochtend	morning
verjaardag	birthday
plaat	a) record b) plate
kost, kosten	cost(s)
behoefte	need
allebei	both
bewaren	to keep
uitleggen	to explain
rand	edge
achtergrond	background
min	minus
opmerking	remark
figuur	figure
opvallen	to strike, to catch the eye
ruzie	quarrel, row
winter	winter
overkomen	to happen to
heerlijk	lovely
bespreken	to discuss
tegelijkertijd	at the same time
uitgaan	to go out
slim	smart, clever
blik	look
schouder	shoulder
raam	window
zwijgen	to keep silent about
stoel	chair
glas	glass
knikken	to nod
plotseling	sudden
schudden	to shake
verder	further
buigen (zich)	to bend
meneer	Mr sir
glimlachen	to smile
trap	stairs
lip	lip
ogenblik	moment
middag	afternoon
keuken	kitchen
schrikken	to be frightened
koffie	coffee
borst	chest
omhoog	up
stilte	silence
staren	to stare
huilen	to cry
duwen	to push
voorzichtig	careful
fluisteren	to whisper
knie	knee
gauw	soon, quickly
ach	oh
grijs	grey
glijden	to slide
jas	coat
schreeuwen	to shout
werpen	to throw
mevrouw	madam
haast	almost
slaap	sleep
adem	breath
wind	wind
vriendelijk	friendly
traan	tear
wang	cheek
buik	belly
fles	bottle
broek	trousers
telefoon	telephone
schoen	shoe
dringen	to push
herinnering	memory
bruin	brown
kruipen	to crawl
gebaar	gesture
hemel	sky
steen	stone
vloer	floor
