bir	a, an
sık	(v) to squeeze (adv) frequent
koru	(v) to protect (n) grove, small wood
görev	duty, assignment
savaş	(n) war (v) to fight, to battle
madde	matter, substance
kısa	short
kaynak	source
gelir	income
yeniden	once again
parti	party
merkez	center
hazırla	to prepare
şöyle	thus
yazı	writing
hizmet	service
akıl	mind, reason; wisdom
başkan	president
bölüm	part, portion, section
fakat	but, however, yet
gerçek	real, true, genuine
örnek	example, sample
haber	news
belirle	to determine
oran	ratio; proportion
öğrenci	student
program	program; schedule
belli	obvious
yön	direction
topla	to gather; to collect
oda	room
seç	to select; to choose
gelecek	future, next
doğ	to be born
mümkün	possible
inan	to believe
hatta	even, moreover
değerlen	to gain value
kültür	culture
tart	to weigh
arka	back
hava	air; weather
ayak	foot
toprak	earth, soil
aslında	in fact
ayrıca	separately; additionally
üniversite	university
daya	to lean
düzey	level, rank
can	soul; life
asker	soldier
hangi	which
kapa	to close, to shut
dol	to get full, to fill
benze	to resemble
bas	to step on; to print, to press
uygun	appropriate
eğer	if, unless
sosyal	social
ana	mother; main
çıkar	benefit
sınıf	class, category
din	(n) religion (v) to stop, to cease
üretim	production
kurum	institution
büyü	(v) to grow (n) magic, spell
film	film, movie
bağlı	tied to; bound to
unut	to forget
in	(v) to descend; to get off (n) lair, cave
birkaç	a few
seçim	election; selection
ekonomik	economic
ürün	product, produce
ihtiyaç	necessity
gönder	(v) to send (n) flagpole
etkile	to affect; to influence
deniz	sea
incele	to analyze
ders	lesson; course
san	to suppose; to imagine
sat	to sell
bey	gentleman
yüzde	percent
varlık	existence
üye	member
yardım	help, aid
yemek	food, meal, eating
politika	politics, policy
duygu	feeling, sense
kaldır	to lift, to raise
oyun	game
görüş	point of view; vision
oğul	son
derece	degree
dinle	to listen
ileri	front; forward; advanced
gazete	newspaper
kötü	bad
birçok	a lot of
bilim	science
ölüm	death
hükümet	government
sun	to present; to submit
yat	(v) to lie down (n) yacht
kar	(v) to mix; to blend (n) snow; profit
ortam	milieu, medium
telefon	telephone
sabah	morning
uzak	remote, far
ele	to sieve
götür	to take to
yazar	writer, author
parça	piece, fragment
şehir	city
kısım	part, section
aşk	love
önem	importance
hafta	week
köy	village
yabancı	(adj) strange; foreign (n) stranger, foreigner
yüksel	to rise
hatırla	to remember
kolay	easy
kent	city
kavram	concept
örneğin	for example
yöntem	method
böylece	in this way
aşağı	bottom; lower, down
ayrı	separate, apart
çeşitli	varied, various
tane	piece
hisset	to feel; to perceive
dönüş	(v) to turn into (n) turning, rotation; return
rağmen	despite
ışık	light
yukarı	up, upstairs; upper
öde	to pay
yet	to suffice
tamam	the whole, complete; okay
cevap	answer, reply
duru	clear
gerçekten	truly
bakım	maintenance, care
şirket	company
üret	to produce
hız	speed
tekrar	(n) repetition (adv) again
akşam	evening
sürekli	continuous
bağla	to tie
vur	to hit, to strike
ait	belonging to
hayır	no; donation
koşul	condition
araştırma	research, investigation
sebep	cause, reason
öte	further
isim	name
sanki	as if
YANLIŞ	wrong, false
kafa	head; mind
kimi	some
ölçü	measurement
ortak	(adj) common (n) partner, associate
proje	project
yetiş	to catch
renk	color
ilişkin	related to
yasa	law
tabii	natural; of course
meydan	square (city)
öğretmen	teacher
azal	to lessen; to decrease
yalnız	alone; only
davranış	behavior
yerleş	to settle
dışarı	out
plan	plan
birinci	first
sokak	street
dolayısıyla	hence; accordingly
sağ	alive; right side
beraber	together
kuruluş	establishment
kardeş	brother/sister; sibling
uy	to fit
kanun	law, statute
kork	to fear
çoğu	most of
hedef	target; mark
mal	goods, property
savun	to defend
gerekli	necessary, needed
işlem	procedure
doğu	the East
yüzyıl	century
iz	track, trace
fikir	idea, thought, opinion
faaliyet	activity
sektör	sector
sanat	art
toplumsal	social
kurul	committee
hoca	teacher; hodja
mücadele	struggle
enerji	energy
kaybet	to lose
sağlık	health
destek	support
boz	(v) to damage (adj) gray
millet	nation
koş	to run
tak	to attach; to wear
işçi	worker, employee
ekonomi	economy
acı	(n) pain; bitter (v) to hurt; to become bitter (adj) bitter to the taste; hot, peppery
sevgi	love, affection
yönelik	directed
araç	tool, vehicle
geniş	wide, broad
teknik	technique
bazen	sometimes, now and then
sınır	limit, border, boundary
ağız	mouth
doğal	natural
nitelik	quality
sol	(n) left (v) to become pale, to fade
ilgi	interest
hanım	lady
çöz	to solve; to untie
toplantı	meeting, gathering
toplam	total, sum
çalışan	employee, working
banka	bank
yana	towards
rol	role
yarı	half, semi
kon	to put; to land
örgüt	organization
uluslararası	international
doktor	doctor
çevir	to rotate, to turn; to translate
eş	(n) pair; mate (v) to dig (adj) identical
abi	(older) brother
batı	the West
kol	arm
çözüm	solution
ardından	following
kontrol	control
müzik	music
hukuk	law
dost	friend
veri	data
teknoloji	technology
değişiklik	change, alternation
araba	car
kamu	public
polis	police
kap	(v) to grab, to seize; to catch (n) pot, plate, container
ağır	heavy
boyunca	alongside; throughout
boy	height; length
kural	rule
yardımcı	aide, helper
anlayış	understanding
pazar	market
ruh	soul, spirit
kır	(v) to break (n) countryside (adj) gray
model	model
şiir	poem, poetry
çal	to steal; to play an instrument
siyasi	political
herhangi	whichever, any
bakış	glance; view
başarı	success
hesap	calculation
milli	national
yavaş	slow
piyasa	market
çerçeve	frame
şart	condition
ciddi	serious
niye	why
yalnızca	just; only
yakala	to catch
güvenlik	security, safety
beri	since
izin	permission
miktar	quantity
birey	individual
tercih	preference
düzen	order
il	city
hastalık	illness, sickness
cumhuriyet	republic
tip	type
talep	demand
dakika	minute
masa	table
kesim	part, portion; sector
resim	picture, photograph
beyaz	white
yaklaşmak	to approach
ağla	to cry
hayvan	animal
vergi	tax
başkası	someone else
kimlik	identity
öğret	to teach
televizyon	television
güneş	sun
duvar	wall
fiyat	price
taş	(n) stone (v) to boil over
siyasal	political
kan	blood
dolu	full, filled
giy	to put on, to wear
tanımla	to define
yansı	to echo; to reflect from
eser	work, opus
güven	(v) to trust (n) trust
ilke	principle
henüz	yet
boyut	dimension
uza	to get longer
defa	time
sanayi	industry, industrial
güçlü	strong, powerful
falan	or anything like that
sar	to wrap, to roll
işaret	sign
birleş	to unite
esas	fundamental
sevgili	beloved
eylem	action
kıl	human hair
çaba	effort
sene	year
hani	so
uğra	to stop by
kelime	word
fotoğraf	photograph
suç	crime
bahçe	garden
ceza	punishment
aş	(v) to cross over (n) food, cooked food
ekle	to add
yönetici	manager; administrator
birden	suddenly
iktidar	ruling body, power
içer	to include, contain
değişik	different, unusual
koca	husband
yaklaşım	approach
dolayı	because of, due to
ticaret	trade, commerce
tamamla	to complete
demokrasi	democracy
sok	to insert
yatırım	investment
ters	adverse, reverse
üçüncü	third
nüfus	population
özgürlük	freedom, liberty
yıllık	annual, yearly
beyin	brain
derin	deep; profound
yay	(v) to spread (n) bow, arc
artış	increase
hayal	fantasy
değişim	change
karı	wife
müdür	director, chief, headmaster
yaklaşık	approximate, approximately
metin	text
istek	wish, desire
kalp	heart
sıcak	hot
harca	to spend
mevcut	present
saç	(n) hair (v) to scatter
korku	fear
hızlı	rapid, speedy
mektup	letter
meslek	profession, occupation
evlen	to marry
iddia	claim
dök	to pour
takım	team
kişilik	personality
çiçek	flower
katkı	contribution
çağır	to call; to invite
zarar	damage
kriz	crisis
kullanım	use, usage
yönel	to head towards
olanak	opportunity; means, resource
ulusal	national
gez	to stroll; to go around
lazım	required, necessary
kurtul	to be rescued
firma	firm, company
mesela	for example
dene	to try, to test
sermaye	capital
çağ	era, epoch, age
rapor	report
dağ	mountain
mahkeme	law court
kara	(adj) black, dark (n) land
ilerle	to go forward
sahne	stage
merak	curiosity
ilgilen	to show interest; to take care
destekle	to support
hazır	ready, prepared
mutlu	happy
düşük	low; fallen; reduced
iletişim	communication
vakit	time
aşama	level
çiz	to draw
acaba	I wonder
davran	to treat
dolaş	to stroll; to tangle
gözle	to watch; to observe
yatak	bed
şaş	to amaze
bilgisayar	computer
paylaş	to share
basın	press
yanıt	answer, reply, response
uyan	to wake up
hoş	pleasant
meclis	assembly
hasta	sick, ill
çoğunluk	majority
ateş	fire, fever
normal	normal
baskı	press; pressure; print
dün	yesterday
uç	(v) to fly (n) tip (adj) extreme
problem	problem
şarkı	song
kulak	ear
köşe	corner
dergi	periodical, magazine
rahat	(adj) comfortable, relaxed (n) comfort
belediye	municipality
geçmiş	past
sözcük	word
anayasa	constitution
kurtar	to save; to rescue
doğa	nature
tepki	reaction
gündem	agenda
dava	lawsuit; case
birer	each, one each
mesele	matter, issue
yara	wound
kuş	bird
pay	share, lot
yararlan	to benefit from
aktarmak	to transfer; to carry over
genellikle	generally
bina	building
vurgula	to emphasize
kop	to break off
bağır	to shout
çay	tea
hüküm	verdict
çarp	to bump, to crash; to multiply
sıkıntı	distress, trouble
karanlık	dark
etkinlik	activity
inanç	belief
sigara	cigarette
ağaç	tree, wood, timber
resmi	official
tamamen	totally, completely, entirely
başarılı	successful
tablo	table; painting
gizli	secret; hidden
kay	to slide
birim	unit
sorumluluk	responsibility
ak	(v) to flow (adj) white
yeterli	sufficient
dal	(n) branch (v) to dive; to lose oneself in
boş	empty
paşa	pasha; army general
etraf	surroundings
bakanlık	ministry
beden	body; size
yaşlı	old
giriş	entrance
oy	(v) to carve (n) vote
silah	arm, weapon
başbakan	prime minister
vazgeç	to give up
yürek	heart; courage
ata	(v) to appoint (n) ancestor
bitki	plant
asıl	original; fundamental
bahset	to mention
teşekkür	thanking
planla	to plan
aday	candidate
fırsat	opportunity
etkili	effective
zorla	(v) to force (adv) forcefully
engelle	to obstruct, to block
emir	order; prince
lira	lira
uyu	to sleep
uğraş	(v) to struggle; to deal with (n) occupation
günlük	daily; diary
soğuk	cold
canlı	living; animate
doğrudan	directly
ordu	army
tarz	style; manner
itibaren	from
besle	to feed
değ	to touch
görüntü	image; appearance
belge	document
öncelik	priority
ünlü	famous
vücut	body
lider	leader
ince	thin; slim
saygı	respect
siyaset	politics
mutlaka	absolutely
kesin	certain, definite; absolute
başar	to succeed in
elbette	of course, surely
sapta	to determine
çizgi	line
roman	novel
unsur	element
borç	debt, loan
konum	location
yıldız	star
öteki	the other
öner	to propose
üstelik	even more, further more
hızla	rapidly
yoğun	intense, dense
herhalde	possibly, probably
başlangıç	start, beginning
salon	living room, hall
kaynaklan	to originate from
kuvvet	strength, power, force
kenar	side, edge
yurt	homeland, country
milletvekili	member of parliament
kayıp	loss, missing
yık	to demolish
rastla	to run into
düşman	enemy
önle	to prevent
mesaj	message
hücre	cell
idare	administration
pencere	window
olumlu	positive, affirmative
ilginç	interesting
kere	time; times
faktör	factor
kuzey	North
bakan	minister
balık	fish
kayıt	record
kırmızı	red
dert	trouble
erken	early
kaydet	to record
bula	to cover with
uzan	to lie down; to stretch out
sayfa	page
dahil	including
serbest	free
cümle	sentence; totality
sakla	to hide; to conceal
yetki	authority
zengin	rich, wealthy
öykü	story
ada	(n) island (v) to devote
hastane	hospital
yolla	to send
tavır	manner, attitude
seyret	to watch
gönül	heart
belirli	definite, specific, certain
malzeme	material, supplies, equipment
satış	sale
tespit	conclusion
top	ball
umut	hope
diğeri	the other one
kredi	credit
farklılık	difference
çıkış	exit
bazısı	some of which
tedavi	cure, treatment
böl	to divide
tarım	agriculture
ziyaret	visit, call
uzman	expert, specialist
üz	to upset; to sadden
temsil	representation
dik	(v) to plant; to erect (adj) straight, steep, upright
şiddet	intensity, severity; violence
ek	(v) to plant; to spread (n) supplement, appendix
karşın	in spite of
yit	to disappear, to vanish
yeşil	green
internet	internet
bebek	baby
hesapla	to calculate; to estimate
ocak	cooker, oven; January
vatandaş	citizen
denge	balance
barış	(n) peace (v) to make peace, to reconcile
ortalama	average, mean
yorum	interpretation, comment
hata	mistake, error, fault
engel	obstacle, difficulty; handicap
memur	civil servant, bureaucrat
uzaklaş	to leave, to move away
tepe	hill; top
olumsuz	negative
takip	follow-up, pursuing
öz	self, essence
yönet	to manage; to rule; to govern
müşteri	customer
okur	reader
topluluk	group, community
yerel	local
ücret	fee; wage
bilinç	consciousness
girdi	input
gemi	ship, vessel
sözleş	to make an appointment; to agree
sınav	examination, exam
yağ	(v) to rain, to snow (n) oil, fat
olgu	fact, case
aydın	intellectual
hafif	light; easy
tehlike	danger
öğretim	education, instruction
kalem	pen, pencil
yayınla	to publish; to broadcast
kaza	accident
dizi	string (of beads); row; series
algıla	to perceive, to realize
değerli	valuable
tanım	definition
modern	modern
maliyet	cost
bağ	tie
güney	south
öneri	suggestion, proposal
adet	number, piece
aralık	interval, gap; December
sil	to wipe up
tiyatro	theater, drama as an art
hala	aunt, father’s sister
uçak	airplane
itibar	esteem, regard, prestige
görevli	in charge, on duty
koku	smell, odor
kalite	quality
tahmin	guess; estimation
alış	to get used to
ilaç	medicine, drug
analiz	analysis
sorumlu	responsible
devrim	revolution
takdir	appreciation
gelenek	tradition, custom
yarar	benefit
orman	forest, wood
seviye	level
risk	risk
hat	line
kültürel	cultural
uyku	sleep
efendi	gentleman
doğrusu	actually, really
cep	pocket
felsefe	philosophy
sefer	journey; time
ağ	net; network
çeşit	kind, sort, variety
parmak	finger; toe
düzel	to become smooth; to improve
yetkili	authorized
güzellik	beauty; kindness
makine	machine
sanatçı	artist, craftsman
atla	to jump; to skip
neredeyse	soon; almost, nearly
kavuş	to rejoin, to reunite; to reach
diş	tooth; tusk
rekabet	rivalry, competition
edebiyat	literature
kapsam	scope, extent
sinema	cinema
eğilim	tendency, inclination
yetenek	ability, capability, talent
spor	sport
başlık	headgear; headline, title
