puta	whore, prostitute
mecánico	mechanical
receptor	receiver, recipient
invitado	guest
acelerar	to accelerate, speed (up)
asistente	assistant
fluir	to flow
enfrente	in front (of)
monumento	monument
campeonato	championship
plano	flat, plain, even, level
decisivo	decisive, conclusive
gallina	hen, coward
confuso	confused, mixed up
estricto	strict, rigorous
diagnóstico	diagnosis
caza	hunting (game)
pulmón	lung
botón	button
gerente	manager, director
bota	boot, wineskin
juguete	toy
celo	jealousy, zeal
ideología	ideology
historiador	historian
estadística	statistic
península	peninsula
escrito	written
ahorrar	to save (money, time)
asustado	scared, frightened
vigente	in force, valid
circuito	circuit, circumference, track
centímetro	centimeter
antecedente	antecedent
nieve	snow
gobernante	ruler, leader
circulación	circulation, traffic
físico	physicist
limpieza	cleanliness, purity
carbono	carbon, coal
franco	open, frank, outspoken
paloma	dove
sacrificar	to sacrifice
casualidad	chance, coincidence
aquél	that one over there (m)
planear	to plan
queso	cheese
percepción	perception
bienes	goods, property
fundamento	foundation, ground
innovación	innovation
devorar	to devour, consume
generoso	generous
festival	festival
contraste	contrast
intimidad	private life, intimacy
inspiración	inspiration, inhalation
cancha	playing field, court
latín	Latin
relevante	relevant, significant
miel	honey
crónica	account, chronicle
armonía	harmony
colectivo	collective, group
encanto	charm, spell
aliviar	to lighten, relieve, comfort
trastorno	confusion, trouble, upheaval
fallo	mistake, blunder, fault
ceniza	ash
gráfico	graphic, explicit
colaborador	collaborator
demandar	to claim, sue
contraer	to contract, shrink, abbreviate
manzana	apple, (city) block
portugués	Portuguese
elemental	elemental, basic
tropical	tropical
eficacia	efficiency, effectiveness
revisión	checking revision
narrar	to narrate, tell
retroceder	to go back
ferrocarril	railway
excusa	excuse
interacción	interaction
plantar	to plant
alteración	alteration, change
inocente	innocent, naïve
bala	bullet, shot
urgente	urgent
afecto	affection, fondness
amoroso	loving, affectionate
tropezar	to trip, stumble
estable	stable, steady
explorar	to explore
diversidad	diversity, variety
rosario	rosary, beads, string
bancario	bank, banking
indispensable	indispensable, essential
proyección	projection, screening
institucional	institutional
enriquecer	to enrich
geográfico	geographical
curva	curve
acento	accent, stress
ocasionar	to occasion, bring about
sanción	sanction, approval, penalty
tribu	tribe
herir	to wound, hurt
perfección	perfection
gigantesco	giant, gigantic
giro	turn, draft, expression
ira	rage, wrath
transparente	transparent, clear
discípulo	disciple
salvación	salvation, rescue
cosecha	harvest, crop
eficiente	efficient
afición	fondness, interest
agresivo	aggressive
entretener	to entertain, amuse
desgraciadamente	unfortunately
tornar	to transform, turn
africano	African
cuenca	socket, basin, bowl
viajero	traveler, passenger
finalidad	purpose, aim
fracasar	to fail, be unsuccessful
afrontar	to face, confront
colorado	red, colored
asombro	amazement, astonishment
callado	quiet, reserved
altar	altar
excepcional	exceptional, unusual
pescar	to fish
ideológico	ideological
seminario	seminar, seminary
disputar	to dispute, contest
visual	visual
instinto	instinct
reiterar	to reiterate, repeat
licenciado	graduate, lawyer
rapidez	speed, velocity
recinto	grounds, precincts
admiración	admiration
acusación	accusation, charge
editor	editor, publisher
fundador	founder
mediano	average, medium, ordinary
indiferente	indifferent
software	software
adaptación	adaptation
joya	jewel, treasure
importación	import, importation
trago	swig, drink
radiación	radiation
aportación	contribution, support
fortaleza	fortress, strength
resumen	summary
teatral	theatrical
posar	to rest, pose, land
cuaderno	notebook, workbook
piloto	pilot, driver
oral	oral
moreno	dark, brown
furia	fury, rage
elaboración	production
imprescindible	essential, indispensable
dinastía	dynasty
entrever	to glimpse, guess
liderazgo	leadership
occidente	West
tontería	stupidity, stupid thing
sello	stamp, seal
consolidar	to consolidate
energético	energetic
déficit	deficit, shortage
trapo	rag, cloth
concretamente	specifically, exactly
senado	senate
argumentar	to argue, deduce
quinientos	five hundred
colgado	hanging
bachillerato	academic degree
clínico	clinical
medieval	medieval
iluminado	illuminated
respaldo	support, backing, back
entrenador	coach, trainer, manager
rango	rank, range
sanitario	health, sanitary, clean
carbón	coal, charcoal
heredar	to inherit
portal	website, portal, entrance
sospecha	suspicion
diplomático	diplomatic
trazar	to draw, trace
mozo	waiter, youth, bellboy
entusiasmar	to fill with enthusiasm, excite
polémica	polemics, argument
máscara	mask
persecución	pursuit, persecution
aceptación	acceptance, approval
adornar	to adorn, to decorate
aficionado	fan, devotee
desviar	to deviate, divert, change
aliado	ally
esfera	sphere, globe
presionar	to press, pressure
simpático	nice, likeable, friendly
comerciante	merchant, businessperson
candidatura	candidacy
ratificar	to ratify
turco	Turkish
chiquito	tiny
electricidad	electricity
culminar	to culminate, accomplish
felicitar	to congratulate
autorizar	to authorize, legalize
mariposa	butterfly, wing nut
síntesis	synthesis
concesión	awarding, concession
planteamiento	proposal, exposition
comodidad	comfort, convenience
parlamentario	parliamentary
ladrillo	brick
prioridad	priority
desplegar	to unfold, deploy
macho	male, manliness
flaco	thin, frail
incómodo	uncomfortable
estímulo	stimulus, encouragement
cumpleaños	birthday
dieciséis	sixteen
campana	bell
navegar	to navigate, sail
mojado	wet
disimular	to disguise, hide, pretend
laguna	lagoon
sumergir	to submerge, plunge
calendario	calendar
rito	rite, ritual
muslo	thigh
despacio	slow, slowly
ronda	round
enfermero	nurse
generalizar	to generalize, popularize
preferencia	preference
delicioso	delicious, delightful, charming
soberanía	sovereignty
enojar	to anger, annoy
aparente	apparent
anónimo	anonymous
melodía	melody
variado	varied, mixed
prisionero	prisoner
lazo	bow, knot, tie, lasso
tierno	tender, soft
blando	soft, limp, gentle
convencional	conventional
ingresos	income, revenue
pretexto	pretext, excuse
fatal	fateful, deadly, awful
sujetar	to fasten, attach, hold
refugio	shelter, refuge
vena	vein
bautizar	to baptize, christen
aplaudir	to clap, applaud
chocolate	chocolate
hermana	sister
siesta	siesta, afternoon nap
redactar	to edit, write, compose
retorno	return
regular	regular
vereda	path, sidewalk
ratón	mouse, rat
estructural	structural
administrador	administrator, manager
molesto	annoyed, bothered, upset
cobre	copper
hondo	deep
rígido	rigid, stiff, firm
desayuno	breakfast
paro	labor strike, attack
injusto	unfair, unjust
lanzamiento	launch, release
actualizar	to update
oportuno	opportune, timely
alfombra	rug, carpet, mat
sexto	sixth
diecisiete	seventeen
retornar	to return, give back
mosca	fly (insect)
contradicción	contradiction
sucesivo	successive, following
falla	flaw, failure
prevención	prevention, warning
amargo	bitter, sour, painful
psicología	psychology
pesca	fishing
madrileño	from Madrid
clínica	clinic
liceo	high school
verbo	verb
lecho	(river) bed, couch
encaminar	to head for, guide
agradar	to please
asesor	adviser, consultant
sutil	subtle
pescado	fish
dulce	candy, sweets
soporte	support, endorsement
fachada	façade, front of building
ciertamente	certainly, indeed
asentar	to settle, establish, locate
automático	automatic
dañar	to damage
cuartel	quarters, barracks
salvaje	wild, savage, uncultivated
atardecer	evening, dusk
parcial	partial, biased
arroyo	brook, stream, gutter
sendero	(foot) path
abandono	abandonment, desertion
lamentablemente	regrettably
simpatía	sympathy, affinity
holandés	Dutch
prenda	piece of clothing
verificar	to verify
aplauso	applause, praise, acclaim
espada	sword
legislador	legislator
modalidad	mode, manner
atracción	attraction
caos	chaos
queja	complaint
denso	heavy, dense, thick
embajador	ambassador
motivación	motivation
presenciar	to be present at, witness
oxígeno	oxygen
representativo	representative
terapia	therapy
sindical	labor union
maquinaria	machinery
crudo	raw, crude, natural
fabricación	manufacture, production
legítimo	legitimate
indiferencia	indifference
almacenar	to store, keep
decorar	to decorate
envidia	envy
reponer	to replace, restore
obligatorio	obligatory, compulsory
disolver	to dissolve
bestia	beast, brute
etiqueta	label, etiquette
restar	to subtract, minimize
destrozar	to rip/break into pieces
matemática	mathematics
incertidumbre	uncertainty
aula	classroom
suavemente	softly
saludable	healthy, wholesome
otoño	autumn
planificación	planning, design
caricia	caress, stroke
triunfar	to triumph
agrupar	to (put in) group
territorial	territorial, regional
trágico	tragic
libra	pound (money/weight)
ambición	ambition
navidad	Christmas
cruce	crossing, intersection
vicio	vice, bad habit, defect
escudo	shield, coat of arms
alternativo	alternating, alternative
asiático	Asian, Asiatic
potente	potent, powerful
inquieto	restless, anxious
manga	sleeve
empeñar	[se] to insist on
revelación	revelation
bahía	bay
corbata	tie, sash
azar	random, chance, hazard
piedad	pity, mercy
vasto	vast, immense, huge
virtual	virtual, potential
fuga	flight, escape
magnitud	magnitude, extent
determinación	determination
mensual	monthly
regulación	adjustment, regulation
coordinación	coordination
ético	ethical
dueña	landlady, owner (f)
propaganda	advertising, propaganda
madurez	maturity, ripeness
terraza	terrace, balcony
pistola	gun, pistol
túnel	tunnel
hondureño	Honduran
identificación	identification
contribución	contribution
demorar	to delay, take time
desatar	to untie, unleash, spark off
evangelio	gospel
narcotráfico	drug trafficking
choque	crash, collision
plenamente	fully
llanura	plain, prairie, plainness
inscribir	to register, record
trama	plot, theme
satélite	satellite
rastro	track, sign, flea market
cirugía	surgery
reportar	to bring, report
retomar	to retake, restart
timbre	doorbell, bell, seal, stamp
asco	disgust
niñez	childhood, infancy
conmover	to move, affect
enredar	to entangle, ensnare
ligeramente	slightly, lightly
abstracto	abstract
actriz	actress
estremecer	to shake, tremble
dominante	dominant, prevailing
redacción	editing, wording, essay
tejer	to sew, weave
resbalar	to slip
inundar	to flood, inundate
disparo	shot, discharge
bendición	blessing, benediction
capacitación	training
pollo	chicken
obligado	obliged, required
pez	(alive) fish
tortura	torture
párpado	eyelid
ofender	to offend
datar	to date
minoría	minority
diminuto	diminutive, tiny, minute
cómplice	accomplice
continuidad	continuity
anticipar	to anticipate, advance
situado	situated, located
agresión	aggression, attack
complementar	to complement, supplement
toma	outlet, dose, making
énfasis	emphasis
foco	focus
cadera	hip
rata	rat
desempleo	unemployment
ademán	gesture, expression
soplar	to blow (wind)
exilio	exile
mudar	to move, change
horno	oven, furnace
átomo	atom
nadar	to swim
ecológico	ecological, organic
relieve	"relief; poner de r.: to emphasize"
tímido	timid, shy, half-hearted
sopa	soup
ignorancia	ignorance
sudar	to sweat
algodón	cotton
respaldar	to back, support, endorse
modesto	modest, humble
prado	meadow, field, lawn
mercancía	goods, merchandise
insoportable	unbearable, intolerable
programación	programming, scheduling
comunitario	of the community
asesino	killer, assassin
insulto	insult
temblor	tremor, shudder, shiver
inconveniente	inconvenience, drawback
vigilancia	surveillance, vigilance
exagerar	to exaggerate
circo	circus
indudablemente	doubtless, undoubtedly
aludir	to allude to
vanguardia	vanguard, forefront
tentación	temptation
encargado	manager, person in charge
bacteria	germ, bacteria
injusticia	injustice
miserable	wretched, miserable
materno	maternal
entrevistar	to interview
vago	vague
matiz	shade, tint, nuance
mármol	marble
narración	narration, account
propiamente	exactly, properly
batería	battery, gun deck
apretado	tight, jammed
supuestamente	supposedly, allegedly
fascinar	to fascinate
tapa	cover, lid
bailarín	dancer
provincial	provincial
delegación	delegation
descenso	decline, descent, lowering
furioso	furious
viuda	widow
restricción	restriction
socialismo	socialism
probabilidad	probability
afortunadamente	luckily, fortunately
exitoso	successful
venganza	revenge, vengeance
albergar	to lodge, harbor
corporal	of the body, corporal
embajada	embassy
aspiración	ambition, aspiration
serpiente	snake
ordenado	organized, clean
revolver	to stir, mix, scramble
sinceramente	sincerely
preceder	to precede
dramático	dramatic
repleto	full, overcrowded
singular	single, singular
paralizar	to paralyze
violín	violin
vegetación	vegetation
expedición	expedition
gira	tour
librería	bookstore
fabuloso	fabulous, fantastic
reclamo	claim, complaint, protest
gama	range, musical scale
delincuente	delinquent
ladrón	thief
comunicado	statement, announcement
acentuar	to accent, stress
fotógrafo	photographer
bicicleta	bicycle
lana	wool
específicamente	specifically
reparar	to repair, restore
inscripción	inscription, registration
distante	distant, far, remote
tinta	ink
psicólogo	psychologist
ética	ethics
ansioso	anxious, eager
comportar	to behave
comisario	commissioner, delegate
consagrar	to consecrate, establish
incidente	incident
remontar	to go back to (time)
monstruo	monster, monstrosity
ceja	eyebrow, brow
profeta	prophet
arriesgar	to risk, venture
nativo	native
culto	cultured, educated
razonable	reasonable
seña	sign, mark, seal
confesión	confession, admission
capilla	chapel
autobús	bus
entrenar	to train
atar	to tie (up)
rigor	harshness, rigor
tolerar	to tolerate, put up with
asalto	assault, robbery
complacer	to please, satisfy
bigote	mustache
noción	notion, idea
esforzar	to make an effort, exert oneself
trono	throne
cerdo	pig, sow, slob
frustrar	to frustrate, prevent
espantar	to scare, frighten
seguimiento	follow-up
ritual	ritual, rite
bondad	goodness, kindness
espantoso	frightening, dreadful
autorización	authorization
vano	vain, useless
conde	count
decena	ten (of something)
profundizar	to deepen, analyze in depth
radicar	to lie, be situated
cerebral	cerebral
jurado	jury, juror
emocionar	to move, make/get excited
domicilio	residence, address
trepar	to climb
replicar	to reply
represión	repression
lápiz	pencil
celeste	heavenly, sky blue
bulto	bulk, shape
parto	birth
rozar	to touch (lightly)
frustración	frustration
aspirante	candidate, applicant
coraje	courage, toughness
problemática	problems, difficulties
magnético	magnetic
precipitar	to plunge, hurl, rush
perjudicar	to endanger
juzgado	court, tribunal, judge
ahorro	saving, thrift
concretar	to materialize, fulfill
pasto	grass, pasture
jugo	juice
bravo	fierce, angry
guatemalteco	Guatemalan
gabinete	cabinet, den, office
balance	outcome, balance
idéntico	identical
mojar	to make wet, dampen
burla	mockery, joke, trick
finanzas	treasury, finances
globo	balloon, globe
inducir	to lead to
fusión	fusion, union
convivencia	coexistence, living together
elaborado	thorough, elaborate
ardiente	passionate, ardent
intérprete	performer, interpreter
exquisito	exquisite, superb
cobertura	coverage
chiquillo	kid, youngster
cubierto	covered
republicano	republican
adquisición	acquisition
sentimental	sentimental
heredero	heir, heiress
párrafo	paragraph
delegado	delegate, representative
rebelión	rebellion
propiciar	to favor, foster, aid
capitalismo	capitalism
docena	dozen
alquilar	to rent, hire
continuamente	continuously
climático	climatic
convivir	to coexist
reconstruir	to reconstruct
evocar	to evoke, recall
excluir	to exclude, reject
golfo	gulf, bay
documentación	documentation
convención	convention, assembly
parir	to give birth
abundar	to be plentiful
platicar	to talk, chat
agrupación	group, association
densidad	density, thickness
compensar	to compensate, make up for
batir	to beat (object)
simbólico	symbolic
hallazgo	finding, discovery
brisa	breeze, air
apresurar	to hurry up, speed up
suizo	Swiss
residuo	residue, waste
plomo	lead, bullet
ordinario	vulgar, ordinary
lamentable	regrettable
renovación	renewal, renovation
tigre	tiger
lío	mess, problem, bad situation
inocencia	innocence
lobo	wolf
recostar	to lean
previamente	previously
niebla	fog
sucesión	succession, series
activar	to activate, stimulate
velar	to watch over
superficial	superficial
susto	fright, scare
aborto	abortion
tambor	drum
abrigo	overcoat, shelter
cigarro	cigarette, cigar
debatir	to debate, discuss
ajuste	adjustment, settlement
acertar	to get right
patada	kick, punt
racional	rational
imperial	imperial, imperialist
mono	monkey
planificar	to plan
alentar	to encourage
aferrar	to grasp, clutch
casado	married
mención	mention
aguja	needle, spire, stylus
eternidad	eternity
mentalidad	mindset, mind
diccionario	dictionary
dinámica	dynamics
perla	pearl
geografía	geography
emerger	to emerge, surface
configurar	to make up, comprise
cordillera	mountain range
arrugar	to wrinkle, crumple
hervir	to boil
bendecir	to bless, thank
acera	sidewalk
televisor	television set
ruptura	breakup, rupture
imaginario	imaginary
eficiencia	efficiency
discriminación	discrimination
transferencia	transfer, transference
voltear	to turn over, turn around
vigencia	validity
teniente	lieutenant, deputy mayor
inconsciente	unconscious, thoughtless
presunto	alleged, presumed
contactar	to reach, contact
pasta	pasta, dough
tercio	third
reinar	to reign, prevail
desempeño	performance, achievement
portero	porter, doorkeeper, goalie
improvisar	to improvise
nacionalidad	nationality
gracioso	funny, charming, amusing
resplandor	brightness, radiance
paja	straw, thatching
vigor	force, strength, vigor
pecar	to sin
decoración	decoration
verbal	verbal, oral
repertorio	repertoire, list, index
disfrazar	to disguise, hide, conceal
automáticamente	automatically
restauración	restoration, renovation
vertical	vertical, upright
polo	pole, polo, polo shirt
sucesor	successor
semestre	semester
rancho	ranch, farm
inseguridad	insecurity
independientemente	independently
alivio	relief, unburdening
colmo	"climax; para c.: to top it all"
cemento	cement, concrete
entendimiento	understanding
disculpar	to excuse
coordinar	to coordinate
disminución	reduction, decrease
sonriente	smiling
fraude	fraud
realismo	realism
bloquear	to block, obstruct
libremente	freely
campamento	camp, camping
sordo	deaf, dull
diversión	fun, entertainment
liderar	to lead, head
navegación	navigation, shipping
oscilar	oscillate
arreglo	arrangement
intermedio	interim, intermediate
despreciar	to despise, scorn
enloquecer	to madden, derange
prosa	prose
pauta	guideline, rule, standard
ensayar	to test
aburrido	boring, bored
monja	nun
arrebatar	to snatch, grab
meditar	to meditate, ponder
centenar	hundred
frágil	fragile, weak
buque	ship, vessel, hull
impartir	to impart, administer
gestionar	to manage, handle
protagonizar	to have the leading role in
cazar	to hunt
ballet	ballet
derramar	to shed, pour out
ubicación	position, location
erguir	to straighten, raise
renacimiento	rebirth, Renaissance
condena	sentence (in prison), penalty
farmacia	pharmacy, drugstore
tarifa	rate, tariff
distinción	distinction
intercambiar	to exchange
actualización	update, modernization
magistrado	judge, magistrate
competitivo	competitive
repentino	sudden
matemático	mathematical
silueta	silhouette, outline
suscribir	to endorse, subscribe
vacuna	vaccine, vaccination
frecuentar	to frequent, visit
finca	property, estate
inicialmente	initially
espontáneo	spontaneous
militante	member, militant
útil	useful
divorcio	divorce
cubierta	covering, top, lid
honesto	honest
carencia	lack, shortage
corporación	corporation
extra	extra
divisar	to distinguish, perceive
mejora	improvement
prejuicio	prejudice
consolar	to console
adolescencia	adolescence
órbita	orbit, socket, field
espléndido	splendid, generous
mutuo	mutual
chupar	to suck
nudo	knot
sobresalir	to stand out, excel
sumir	to sink, plunge
molestia	bother, nuisance, trouble
resonar	to resound, ring, echo
trescientos	three hundred
desprecio	contempt, disdain
compás	rhythm, time, compass
trigo	wheat
transparencia	transparency, slide
economista	economist
remediar	to heal, cure
proveniente	coming from
suscitar	to arouse, provoke
funcional	functional
biología	biology
remitir	to remit
terrorista	terrorist
aniversario	anniversary
expediente	dossier, proceedings
teñir	to dye
pretensión	pretension, claim, aspiration
guerrilla	guerrilla
recto	right, straight, honest
bíblico	biblical
engaño	deceit, falsehood, hoax
insinuar	to insinuate, hint
adónde	to where?
balón	ball
pilar	pillar, column
suspiro	sigh
célebre	famous, renowned
prohibición	prohibition
recepción	reception, waiting room
oficialmente	officially
informativo	informative
manifiesto	poner de m.: to show
colina	hill, slope
descendiente	descendant
manta	blanket
realista	realistic
guante	glove
petrolero	oil, petroleum
show	show, display
opositor	opponent
marítimo	maritime, marine
raya	line, ray, stripe
preservar	to preserve
cañón	canyon, cannon
capricho	caprice, whim
nido	nest
almorzar	to have lunch
murmullo	murmur, whispering
terremoto	earthquake
sereno	serene, calm
monarquía	monarchy
analista	analyst
carreta	cart, wagon
retiro	withdrawal, retreat
disputa	dispute, argument, quarrel
costarricense	Costa Rican
consuelo	comfort, consolation
graduar	to adjust, graduate
olímpico	Olympic, Olympian
química	chemistry, chemist
sugerencia	suggestion
dinámico	dynamic
verter	to pour, spill, shed
frecuentemente	frequently, often
interrogar	to question, interrogate
irregular	irregular
rematar	to finish off, finish up
creatividad	creativity
oveja	sheep, ewe
advertencia	warning, notice
anular	to annul, cancel
manipular	to manipulate, handle
operador	operator
restaurar	to restore, reinstate
diariamente	daily
vibrar	to vibrate, tremble
coser	to sew
implementar	to implement
suicidio	suicide
sistemático	systematic
valoración	assessment, valuation, evaluation
florecer	to flower, bloom, flourish
ascenso	promotion, climb
pánico	panic
talla	size (of clothing), stature
acta	(meeting) proceedings, minutes
inclinación	slope, incline, tendency
veinticuatro	twenty-four
deducir	to deduce, infer
nene	baby, small child
reja	grill, railing
ingrediente	ingredient
hectárea	hectare
prestación	benefit, lending of service
hormona	hormone
centavo	cent
idear	to devise, design
abismo	abyss, large gap
sanguíneo	blood, bloody
suministrar	to supply, provide
islámico	Islamic
debilitar	to weaken, debilitate
cristianismo	Christianity
asignatura	subject, course
pila	(baptismal) font, battery, heap
ilustración	illustration
exploración	exploration
trayecto	trajectory, course, path
proveedor	supplier, dealer
arquitectónico	architectural
litro	liter
pescador	fisherman
himno	hymn, anthem
expandir	to expand
umbral	threshold, outset
regar	to water, irrigate
pulso	pulse, pulsation
competente	competent, able
usado	worn out, old, used
vitamina	vitamin
laberinto	maze, labyrinth
persistir	to persist
excelencia	excellence
malestar	discomfort, unease, unrest
grandeza	greatness, size
descarga	unloading, discharge
mixto	mixed, co-ed
maleta	suitcase, case
alegar	to plead, argue
filtrar	to seep, filter
traición	treason, betrayal
medalla	medal, medallion
ganancia	gain, profit
equivaler	to be equivalent, tantamount (to)
reposo	rest, peace
ayudante	helper, assistant
porvenir	future, time to come
aldea	small village
reinado	reign, rule
ingenio	ingenuity, talent, wit
menú	menu
avergonzar	to embarrass, shame
carnaval	carnival
traicionar	to betray
configuración	configuration, shape
susurrar	to whisper, murmur
subterráneo	underground
deterioro	deterioration, damage
nacionalista	nationalist, nationalistic
agrario	agrarian, agricultural
electrón	electron
oscurecer	to get dark
espectro	ghost, specter
ente	entity, being, firm
forestal	forest
rector	principal, rector
filo	(cutting) edge
exportar	export
camiseta	T-shirt
duelo	grief, affliction
indicador	indicator, gauge
fondos	funds
ironía	irony
reposar	to rest, lie down
cartón	cardboard, carton, sketch
casita	cottage
crema	cream
coincidencia	coincidence
aplicado	applied
variante	variant, difference
remover	to remove
cátedra	academic chair
comando	command, order
atentado	(terrorist) attack, offence
ansia	anxiety, anguish
conllevar	to involve, bring
peculiar	peculiar
minero	mining
liso	smooth, flat, straight
cerámica	ceramics, pottery
manto	cloak
antepasado	ancestor
periodístico	journalistic
irritar	to irritate
cúpula	cupola, dome
despedida	goodbye, farewell
calificación	evaluation, qualification
transcurso	passing, course, lapse
resignar	to resign, relinquish
captura	capture, snapshot, screenshot
crónico	chronic
demostración	demonstration
orar	to pray, speak
asaltar	to assault
volcar	to turn/knock over, empty
moto	motorcycle
bando	faction, side
whisky	whisky
truco	trick, ruse
jugada	move, play
rencor	grudge, spite
correctamente	correctly
caridad	charity
gobernación	government, management
chorro	stream, jet, spurt
sucesivamente	successively, one by one
estimación	estimate
directivo	executive, manager
pupila	pupil
terminal	terminal, final
asimilar	to assimilate
inmigrante	immigrant
jaula	cage, crate, playpen
directivo	managerial, administrative
proximidad	proximity
traslado	transfer
tranquilizar	to calm down
manuscrito	manuscript
cabecera	head, header
pudrir	to rot, decay
guapo	handsome, beautiful
eliminación	elimination
bloqueo	blockade, block
insólito	unusual, uncommon
lente	lens, [pl] glasses
suprimir	to suppress, delete
porción	part, portion, share
recobrar	to recover, regain
insultar	to insult, berate
salsa	sauce, salsa
ventanilla	(vehicle) window
lámina	sheet (of metal)
tenso	tight, tense
coordinador	coordinator, organizer
procesar	to process, prosecute
reservado	reserved, booked
correspondencia	correspondence, connection
yacimiento	deposit, field
presentir	to sense in advance
mueca	face, grimace
resuelto	resolved, determined
riguroso	rigorous, severe
recorte	clipping, cutting, trimming
cardenal	cardinal
barrer	sweep, clean out
gusano	worm, caterpillar
apuesta	wager, bet
bruja	witch, hag
complejidad	complexity
protocolo	protocol, convention
dictador	dictator
francamente	frankly, openly
espera	wait
guión	script, hyphen
estrictamente	strictly
derrumbar	to knock down, demolish
sureste	southeast
lastimar	to hurt, damage
apurar	to speed up, hurry up
heroico	heroic
diecinueve	nineteen
desbordar	to overflow, spill over
sal	salt
arrepentir	to repent, regret
biografía	biography
cuidadosamente	carefully
desembocar	to flow, lead into
horizontal	horizontal
colchón	mattress
rosado	pink, rosy
toalla	towel
fármaco	drug, medicine
salpicar	to splash, splatter
sancionar	to sanction, penalize
carpeta	folder, file
trasero	behind, back
apetito	appetite
cercanía	nearness, proximity
resucitar	to resuscitate
estreno	premiere, debut
apóstol	apostle
naval	naval
volcán	volcano
presumir	to boast, show off, suppose
corteza	bark, crust, rind, peel
adorno	decoration, adornment
económicamente	economically
disculpa	apology, excuse
censura	censorship, criticism
ampliación	enlargement, extension
refugiar	to take shelter, give refuge
honrar	to honor
muralla	city wall
rondar	patrol, serenade
frustrado	frustrated
almohada	pillow
procesión	procession
suspensión	suspension
enfriar	to cool
apartamento	apartment
desplazamiento	movement, removal
reportaje	news report
fundir	to melt, cast, smelt
retraso	delay
acorde	agreement, accord
rescate	rescue, ransom
estrés	stress
cría	breeding, raising
observador	observer
editorial	editorial
manual	manual, handbook
multa	fine, penalty, citation
catalán	Catalan
comunión	communion
flexible	flexible
arco	arch, arc, bow
transferir	to transfer
entrañas	insides, bowels
restringir	to limit, restrict
incidencia	ocurrence, impact
tumor	tumor, growth
enfatizar	to emphasize, stress
monarca	monarch
recitar	to recite
repasar	to review, revise
barbaridad	atrocity
costoso	costly, expensive
experimental	experimental
princesa	princess
sentenciar	to sentence, condemn
progresivo	progressive
informático	computer
recortar	to trim, cut off, clip
tramo	section, stretch, plot
camioneta	van, bus
polaco	Polish
empapar	to soak, drench
apoderar	to take power
escupir	to spit
temeroso	fearful
comprador	buyer
