miras	heritage; inheritance
kas	(n) muscle (v) to strain; to flex
bant	tape
ithal	imported
uyumlu	compatible; harmonious
muhteşem	magnificent
doğuş	birth
yazılım	software
seçmen	voter
sahte	fake
ter	sweat, perspiration
ikili	binary, dual
ör	to knit
olanaksız	impossible
laiklik	secularism
fırın	oven; bakery
hitap	addressing
bar	pub, bar
bozuk	broken, damaged
benzerlik	similarity
kalkış	(v) to try to (n) departure, take off
maruz	exposed to
sanayileş	to become industrialized
tıka	to plug; to block
reel	real
bağışla	to forgive; to donate
cilt	skin; volume
kabullen	to accept
koridor	corridor
becer	to accomplish, to do
liberal	liberal
blok	block
dinsel	religious
belirleyici	characteristic
kariyer	career
ceset	corpse
eşek	donkey
laboratuvar	laboratory
sıçra	to jump
yemin	oath
çeviri	translation
metal	metal
hassas	sensitive
kilometre	kilometer
servet	wealth, fortune
şüphesiz	certain, without doubt
farklılaş	to differentiate, to change
ihraç	exportation
yetersizlik	insufficiency
çorba	soup
kademe	rank, level
ihtiyar	elderly
atom	atom
eğit	to educate; to train
bağımlılık	addiction, dependency
keskin	sharp
meraklı	curious
insanoğlu	human; human being
çarşı	market place
köken	origin
kurumsal	institutional
bürü	to cover up
süper	super
hallet	to handle, to solve
gayrı	other than
mağaza	department store, shop
uzunluk	length
herif	guy; husband
banyo	bathroom
şiddetli	intense, severe
sıyır	to strip off; to peel off
semt	neighborhood
festival	festival
kaptan	captain
kırsal	rural
kısmen	partly
faydalan	to benefit from
divan	divan, sofa; council
telaş	hurry
cinsiyet	gender
işleyiş	procedure
çırp	to scramble, to flap
taraftar	supporter, fan
norm	norm
ısı	heat
tüy	feather, hair
tabiat	nature
önemse	to care about
çil	freckle
istihbarat	intelligence
meşhur	famous; well-known
dolap	cupboard, wardrobe
dışla	to exclude
maden	mine; mineral
moral	mood; morale
popüler	popular
muhabbet	conversation, chat
protokol	ceremonial, protocol
liderlik	leadership
kabar	to swell, to become fluffy
birdenbire	suddenly
vurgu	emphasis
kıta	continent; military detachment
kuruş	kurus
borçlan	to get into debt
halı	rug, carpet
sanık	suspect
yarın	tomorrow
görünüş	appearance
küçücük	tiny
tavan	ceiling
kamyon	truck, lorry
karakol	police station
vazife	duty
set	barrier
yaşlan	to grow old
boşuna	in vain
yorgunluk	fatigue
yanak	cheek
duyarlı	sensitive
hayırlı	good; beneficial
elma	apple
jandarma	gendarme
faydalı	useful
nitelen	to be modified, to be called, to term
cinsellik	sexuality
göçmen	immigrant, refugee
çamaşır	laundry; clothes
beyan	declaration
yükümlülük	liability, obligation
kira	rent
kaçak	(n) fugitive (adj) illegal
şeref	honor
akademik	academic
ayaklan	to rebel
harp	war
uğruna	for the sake of
uzaklık	distance
kurmay	general staff officer (military)
süreli	periodical, periodic
eyalet	state; province
üşü	to feel cold
cumartesi	Saturday
acil	(adj) urgent (n) emergency
cehennem	hell
güvenli	safe, secure
verim	output; productivity
bankacılık	banking
vesile	means
derhal	immediately
kürsü	desk; stand
yanlışlık	error, mistake
farket	to notice, to realize
komik	funny
evre	phase, stage
biyolojik	biological
çürü	to rot, to decay
satıcı	salesman
tarımsal	agricultural
gümüş	silver
talimat	directive; instruction
pamuk	cotton
köle	slave
kirli	dirty; polluted
hatıra	memory
ihanet	betrayal
içten	sincere
şiş	(v) to swell; to inflate (n) skewer; knitting needle
yakıt	fuel
bela	trouble
vade	term, date
bağımlı	dependent; addicted
baraj	dam
eksen	axis
yıldırım	lightning, thunderbolt
lokanta	restaurant
doğruluk	truth; straightness
emperyalizm	imperialism
yolsuzluk	corruption
sınıflandır	to classify
yırt	to tear
meşgul	busy
esnaf	tradesman
özgün	genuine
video	video
yinele	to repeat
mimari	(n) architecture (adj) architectural
yüklü	loaded
plastik	plastic
fare	mouse, rat
işveren	employer
kumaş	cloth, fabric
gol	goal (football)
alem	universe; entertainment
yetişkin	adult, grown-up
çöl	desert
sebze	vegetable
dayak	beating
affet	to forgive
pazarlık	bargain
kıymet	value, worth
protein	protein
zarf	envelope; adverb
armağan	gift, present
haliyle	naturally; consequently
çiftlik	farm
onca	so much
gözet	to consider; to guard
kritik	(n) critique (adj) critical
gezegen	planet
kod	code
bira	beer
başarısızlık	failure
zehir	poison
benlik	ego; personality
resmen	officially
müddet	period
yücel	to become great
efsane	legend
hadise	event, incident
kaliteli	high quality
icra	performance; enforcement
radikal	radical
şahit	witness
yaratıcılık	creativity
iman	faith
esir	captive
aktivite	activity
dalgalan	to fluctuate; to wave
avlu	backyard
gözaltı	custody
torba	bag, sack
imge	image
bilgilen	to be informed
zenginleş	to become wealthy
yanısıra	besides, in addition to
cenk	combat, battle
pantolon	pants
propaganda	propaganda
emanet	security, safekeeping
mesleki	professional
laik	secular
lüks	luxurious
belirsizlik	indefiniteness; uncertainty
atölye	workshop
yaralı	wounded, injured
muamele	treatment
danışman	consultant, adviser
ulaşım	transportation
kanlı	bloody
ilişkili	related to
maksat	purpose, aim
sinirlen	to get angry
gözlük	glasses
kule	tower
vaat	promise
han	inn
arkadaşlık	friendship
peynir	cheese
hafıza	memory
saçma	(adj) ridiculous, absurd (n) buckshot, slug
ittifak	alliance
sembol	symbol
protesto	protest
öncü	pioneer
meğer	to my surprise
sosyalizm	socialism
konak	mansion
ipucu	clue, hint
ani	sudden
materyal	material
soyut	abstract
madem	since, as
eşik	threshold
çukur	pit, hole
dükkan	shop
menfaat	benefit
organik	organic
masum	innocent
tırnak	nail
anlamsız	meaningless
mana	meaning
çiftçi	farmer
fert	person, individual
işsiz	unemployed
hasret	longing
politikacı	politician
kaş	eyebrow
üslup	style
yakında	soon
bilhassa	especially
prim	bonus, premium
giyim	clothing, dressing
terörist	terrorist
borsa	stock exchange
zihniyet	mentality
cemiyet	society
adil	fair
veli	parent of a student
vapur	ship
yuvarlak	circular, round
kıs	to reduce, to lessen
hakaret	insult
hacim	volume
bakkal	grocery
del	to drill
görevlendir	to assign
ajans	agency
anlatı	narration
domates	tomato
mil	mile; shaft
sıklık	frequency
kül	ash
kastet	to mean, to imply
had	limit; extremity
çaresiz	desperate
muhafaza	protection
serp	to sprinkle
kirlilik	pollution
vadi	valley
odaklan	to focus
çamur	mud
hemşire	nurse
macera	adventure
neşe	joy
öğretmenlik	teaching, tutoring
yargıç	judge
mahkum	prisoner
hapishane	prison, jail
irdele	to examine in detail
haz	pleasure, delight
çarpıcı	striking
bağlılık	loyalty, attachment
sadık	loyal
organize	organized
fetih	conquest
buğday	wheat
bahane	excuse
desen	pattern
seyir	course
olgunlaş	to mature
sürücü	driver
röportaj	interview
ruhsal	psychological
emret	to order, to command
sınıfla	to classify
gübre	fertilizer
tanıtım	publicity
ihlal	transgression, violation
mülk	real estate
koç	ram
kese	small bag; pouch
negatif	negative
hakikaten	really, truly
rakı	raki
genetik	(n) genetics (adj) genetic
iade	return
zorlaş	to get difficult
karış	hand span
gerginlik	tension
illa	in any case
bari	at least
biç	to cut into shape, to harvest
aptal	stupid, fool
kaset	cassette
milliyetçi	(adj) nationalistic (n) nationalist
teorik	theoretical
fatura	invoice, bill
reaksiyon	reaction
noktala	to end; to punctuate
teşebbüs	attempt
oyla	to vote
coğrafi	geographical
alkışla	to applaud
lamba	lamp
tokat	slap
zihinsel	mental
af	amnesty, forgiveness
şapka	hat
yalvar	to beg
indirge	to degrade
yaratık	creature, alien
ortaokul	middle school
idam	capital punishment
tarikat	sect, religious group
kirala	to rent
metot	method
posta	mail, post
arı	bee
çiğne	to chew
insani	humane, humanely
aktör	actor
yavaşla	to slow down
kamusal	public
sonbahar	fall, autumn
virüs	virus
göbek	navel, belly
bağlantılı	connected
borçlu	debtor, indebted
doğrul	to straighten out
koalisyon	coalition
yanaş	to draw near
dişi	female
ırmak	river
çadır	tent
stres	stress
küfür	swearing, cursing
samimi	sincere
minik	tiny
serüven	adventure
yedek	spare
evrim	evolution
kızıl	crimson red
damga	stamp
tüccar	merchant
bütünüyle	completely
prens	prince
ibadet	worship
tarihçi	historian
kasa	safe, deposit
koruyucu	protective
nöbet	shift
erdem	virtue
acımasız	merciless
süreklilik	continuity
köşk	pavilion, mansion
düzlem	plane (geometry)
haberleş	to communicate
yumuşa	to soften
keşif	discovery
düşmanlık	hostility
alkış	applause
hırs	ambition
hayranlık	admiration
amir	chief
algı	perception
burjuva	bourgeois
mecbur	obliged
vatandaşlık	citizenship
raf	shelf
platform	platform
duyarlılık	sensitivity
oksijen	oxygen
örtülü	covered
tahsil	education
önder	leader
rehber	guide
söyleşi	conversation, interview
takvim	calendar
ilkel	primitive
depola	to store
taktik	tactics
muhtaç	in need of, needy
sözlü	oral
yeraltı	underground
direnç	resistance
mucize	miracle
tütün	tobacco
delil	evidence
tesir	effect, influence
sakınca	drawback, inconvenience
donat	to equip; to decorate
kuzu	lamb
sentez	synthesis
icat	invention
damat	groom, son-in-law
yasla	to lean
kesit	cross section
sevk	shipping
küçümse	to look down on
zeytin	olive
kıskan	to envy
parasal	monetary
nimet	godsend, blessing
vekil	representative; proxy
yokla	to inspect
hırsız	thief, burglar
görsel	visual
numaralı	numbered
otomatik	automatic
zil	bell
sinyal	signal
heyecanlı	exciting, nervous
mağara	cave
oruç	fasting
nitelikli	high quality
istatistik	statistics
tipik	typical
muhtar	mukhtar, neighborhood governor
üzüm	grape
güncel	current
beşinci	fifth
ayet	verse of the Koran
hayali	imaginary
panik	panic
sezon	season
objektif	objective, unbiased
ipek	silk
ahlaki	ethical, moral
iktisat	economics
misyon	mission
mor	purple, violet
haykır	to shout
rektör	rector
finans	finance
sevimli	cute; lovely
teşhis	diagnosis
dehşet	terror; horror
çene	jaw
tüp	cylinder; tube
yenilgi	defeat
yapay	artificial, imitation
eğri	curved, crooked
değin	up to, until
kıpırda	to move
filozof	philosopher
muhtemelen	probably
leke	stain, spot
grev	strike (of workers)
sakal	beard
bakteri	bacterium
bık	to get bored by or with
terket	to abandon
ceket	jacket
direniş	resistance, opposition
imalat	manufacture
indirim	discount
kirlen	to get dirty, to become polluted
çete	gang
olumsuzluk	negativity
kadeh	glass, goblet
oturum	session
has	peculiar
kin	grudge
abart	to exaggerate
pis	dirty
çoban	shepherd
gri	gray
espri	humor, joke
sarhoş	drunk
selamla	to greet, to salute
babaanne	grandmother (father’s mother)
aniden	suddenly
artı	plus
ün	fame, reputation
zar	dice; membrane
çeşitlilik	variety, diversity
öbürü	the other one
kararlaştır	to be decided, to be agreed on
türe	to derive, to come into existence
çeyrek	(a) quarter (of)
sözde	allegedly
muhtemel	probable, likely
odun	firewood
ödenek	allocation
uydu	satellite
vaka	case; event
genişlik	width
izah	explanation
köklü	essential, long-established
tedirgin	uneasy, worried
şirin	sweet, charming
içişleri	internal affairs
çılgın	mad, crazy, wild
grafik	graph, diagram
tuzak	trap, snare
hoşgörü	tolerance
haberdar	informed of
müsaade	permission
kıvır	to curl
pilot	pilot
dayanak	base, foundation
olağan	usual, ordinary
gündelik	daily
bük	to bend
sade	simple, plain
kompleks	complex
hamle	move
işaretle	to mark
heyecanlan	to get excited
dize	line (of poetry)
unvan	title
büyükşehir	metropolis
okyanus	ocean
doruk	summit, peak
sütun	column
federasyon	federation
bileşen	component
muhakkak	certainly, undoubtedly
asgari	minimum
ofis	office
kaplı	covered, coated
öncelikli	primary, priority
dolaşım	circulation
ürk	to wince, to flinch
içecek	beverage, drink
ova	plain
birçoğu	many of them
elverişli	suitable, convenient
hakem	referee
muhatap	interlocutor
tüfek	rifle, gun
özerklik	autonomy
patates	potato
mezarlık	graveyard, cemetery
vaziyet	condition, state
istem	will, volition
denklem	equation
düşle	to imagine
buluş	invention, discovery
terbiye	good manners, manners
safha	phase, stage
fısılda	to whisper
nesnel	objective
havalan	to be ventilated
medeni	civilized
bisiklet	bicycle
katsayı	coefficient
belgele	to document
yepyeni	brand new
orijinal	original
şaşırtıcı	surprising
donanım	hardware; equipment
ölçüm	measure
dinleyici	listener, audience
doz	dose
körfez	gulf, bay
utanç	shame
beton	concrete
alçak	low
bürokrasi	bureaucracy
emeklilik	retirement
yakınlaş	to become closer
kısal	to become shorter, to shrink
cisim	substance, matter, object
sipariş	order
gereklilik	necessity, need
yakışıklı	handsome
saklı	hidden
katliam	massacre
perspektif	perspective
sözlük	dictionary
hareketli	active
taşıma	transportation
sayısız	countless, innumerable
burjuvazi	bourgeoisie
dedikodu	gossip
bambaşka	quite different
literatür	literature
detay	detail
beyefendi	gentleman
tazminat	compensation
kaldırım	pavement
avcı	hunter
kopya	copy
garson	waiter, waitress
geçit	gateway, passage
yabancılaş	to become alienated
uçurum	cliff
kına	(v) to condemn (n) henna
futbolcu	football player
tünel	tunnel
talebe	student, pupil
muayene	examination
yuvarla	to roll
kıyamet	doomsday
istisna	exception
avla	to hunt
ilköğretim	primary education
levha	plate
çevrele	to surround, to encircle
bekçi	watchman, guard
öğreti	doctrine, tenets
öncülük	leadership
lig	league
imar	development
uçuş	flight
solcu	leftist
muhabir	reporter
mum	candle
şenlik	festival
şanslı	lucky
çizelge	table
sınırlandır	to limit
paylaşım	sharing
nine	grandmother
ajan	secret agent, spy
taslak	draft, sketch
yumruk	fist
pul	stamp
helikopter	helicopter
kahverengi	brown
kavur	to roast
nasip	(one’s) lot, share
yanlı	biased
soğan	onion
meme	breast
kelebek	butterfly
üzgün	unhappy, sad
yükseliş	rise; increase
tabanca	pistol
muhalif	opponent
kararlılık	determination
layık	deserving, worthy of
şefkat	kindness, compassion
hanımefendi	lady
girişimci	entrepreneur
organizma	organism
pekiş	to reinforce
dayanışma	solidarity
büyükelçi	ambassador
pasta	cake
başarısız	unsuccessful
sorgu	interrogation
havaalanı	airport
pazartesi	Monday
sakat	disabled, handicapped
galip	winner
tereddüt	hesitation
kabiliyet	talent, ability
varoluş	existence
vahşi	wild, savage
yastık	pillow, cushion
medrese	madrassah
meşru	lawful, legal, legitimate
diyet	diet; blood money
burç	sign, zodiac; tower
pişman	regretful, sorry
federal	federal
saygılı	respectful
demet	bunch, bouquet
kovala	to chase, to pursue, to follow
bileşik	compound
referans	reference
tecavüz	aggression; rape
neşeli	merry, cheerful, joyful
siyasetçi	politician
mektep	school
yum	to shut eyes or mouth
mutsuz	unhappy, sad
tesadüf	coincidence
emperyalist	imperialist
geçim	a living, welfare
kilitle	to lock
çorap	stocking, sock
ahşap	wooden
kimya	chemistry
maske	mask
bağdaş	to be compatible
fener	lantern, flashlight
sayısal	numerical; digital, quantity
çaresizlik	hopelessness, despair
mevki	position, rank
arsa	land, field
yaptırım	sanction
molekül	molecule
ışın	ray, beam
haftalık	weekly
partili	partisan
kalıntı	remains, ruins
açılım	expansion; opening out
sanal	imaginary, virtual
parala	to tear into pieces
rahmetli	deceased, late
kılık	outfit; appearance
koğuş	ward
hasar	damage
gaye	aim, goal, purpose
yatırımcı	investor, depositor
ıslak	wet, damp
bilek	wrist
sark	to hang down, to hang out
şerit	ribbon, band; lane
zulüm	cruelty, oppression
yıkım	demolition; destruction
arşiv	archives
esnek	elastic, flexible
tahlil	analysis
aşağıla	to insult
