trots	pride
procedure	procedure
ticket	ticket
regionaal	regional
voetballer	football player
weekeinde	weekend
oproep	call
protest	protest
extreem	extreme
Vlaming	Fleming
middenvelder	midfielder
presteren	to achieve
autoriteit	authority
stilaan	gradually
parking	car park
arresteren	to arrest
buit	booty
aanvaller	attacker
toernooi	tournament
militair	soldier
aanzienlijk	considerable
onduidelijk	unclear
EU	EU
toekomstig	future
uitstel	delay
fietser	cyclist
tip	tip
basisschool	primary school
dateren	to date (from)
voorjaar	spring
defensie	defence
firma	company
aankoop	purchase
moslim	Muslim
zanger	singer
set	set
Limburgs	Limburg
vertegenwoordigen	to represent
elftal	team
hiervoor	for this
uitdaging	challenge
drama	drama
origineel	original
beschadigen	to damage
festival	festival
opereren	to operate
crisis	crisis
favoriet	favourite
muzikaal	musical
spectaculair	spectacular
record	record
score	score
aanmerking	comment
voordien	before then
islamitisch	Islamic
stadion	stadium
selecteren	to select
bondscoach	national coach
afwerken	to finish, to work through
verantwoorden (zich)	to justify
scheidsrechter	referee, umpire
mikken	to aim
topman	executive
decennium	decade
gevangenisstraf	imprisonment
speeldag	match day
aflevering	episode
democratie	democracy
imago	image
indrukwekkend	impressive
overname	takeover
inbreken	to break into
omschrijven	to describe
deelname	participation
westers	Western
behoud	preservation
kloof	cleavage, gap
Chinees	Chinese
trend	trend
specialiseren	to specialize
testen	to test
celstraf	imprisonment
stedelijk	urban
wettelijk	legal
budget	budget
scenario	scenario
anoniem	anonymous
commissaris	commissioner
junior	junior
belegger	investor
collectief	collective
mobiel	mobile
vertegenwoordiger	representative
coalitie	coalition
toegankelijk	accessible
respectievelijk	respectively
streven	to pursue, to strive (for)
wereldkampioen	world champion
digitaal	digital
aantonen	to demonstrate
instituut	institute
concluderen	to conclude
Waals	Walloon
mentaal	mental
Leuvens	Leuven
administratief	administrative
najaar	autumn, fall
categorie	category
cruciaal	crucial
kwartaal	quarter
getuigen	to witness
fonds	fund
cliënt	client
inkomsten	revenues, income
vrijwilliger	volunteer
begroting	budget
uitzenden	to broadcast
fit	fit
religieus	religious
omstreeks	about
uitbater	manager
binnenlands	domestic
artiest	artist
hanteren	to employ
schadevergoeding	compensation
buurtbewoner	local resident
lokaal	classroom
grotendeels	largely
volstaan	to suffice
gemeenteraadslid	local councillor
haal	~ run off with
voorts	furthermore
forceren	to force
handelaar	trader
circa, ca.	approximately
netwerk	network
luchthaven	airport
domein	domain
uitstellen	to delay
motiveren	to motivate
vrijdagavond	Friday evening
gemeentehuis	local government offices
producent	producer
ingreep	a) operation b) intervention
jury	jury
wetenschapper	scientist, scholar
inclusief	including
verplaatsing	move(ment)
strafschop	penalty kick
slotfase	final phase
factor	factor
blesseren	to injure
schepencollege	local council
correctioneel	correctional
analyse	analysis
favoriet	favourite
deels	partly
gewest	region
vestiging	establishment
affiche	poster
analist	analyst
lichtgewond	slightly injured
daling	drop
Iraaks	Iraqi
zender	a) transmitter b) channel channel
zoektocht	search
stadhuis	town hall
verdubbelen	to double
deelgemeente	borough
liberaal	liberal
zogeheten	so-called
hervatten	to resume
respecteren	to respect
vergelijkbaar	comparable
confrontatie	confrontation
efficiënt	efficient
zondagavond	Sunday evening
treffer	goal
aanpassing	adjustment
schatting	estimate
ondernemer	entrepreneur
reputatie	reputation
omstreden	controversial
vonnis	judgement
aannemer	contractor
inbreker	burglar
specialist	specialist
dramatisch	dramatic
vergunning	permit
expert	expert
stichting	foundation, institution
sponsor	sponsor
eigendom	property
riskeren	to risk
aandeelhouder	shareholder
gerechtelijk	judicial
senior	senior
wijzigen	to change
fenomeen	phenomenon
secretaris	secretary
aftrap	kick-off
voorleggen	to submit, to present
uitgave	a) expense b) edition
onderhoud	maintenance
aantreden	to take office
ambitieus	ambitious
voorstander	supporter
belonen	to reward
ontwerp	design
vertraging	delay
hedendaags	contemporary
Israëlisch	Israeli
Rotterdams	Rotterdam
woordvoerster	spokeswoman
Marokkaans	Moroccan
live	live
industrie	industry
exclusief	exclusive
vernieuwing	renewal
hoofdrol	leading role
integratie	integration
vanop	from
fusie	merger
automobilist	motorist, driver
domineren	to dominate
olympisch	Olympic
gelijkspel	draw
werkloos	unemployed
regime	regime
rijbewijs	driving licence
transfer	transfer
toeristisch	tourist
beschuldiging	accusation
sporthal	sports hall
Afrikaans	African
financiën	finance(s)
radicaal	radical
promotie	promotion
documentaire	documentary
debuut	debut
bijdragen	to contribute
klus	job
Franstalig	French(-speaking)
ontgoocheld	disillusioned
kunstwerk	work of art
elektronisch	electronic
allochtoon	foreign
verbod	ban, prohibition
melding	report
personeelslid	employee
lijsttrekker	party leader
overzicht	survey
herstel	recovery
deskundig	expert
vernielen	to destroy
besturen	to govern to drive
strategie	strategy
misbruik	abuse
betrokkenheid	involvement
actrice	actress
allochtoon	immigrant
vrijlaten	to release
terrorist	terrorist
terrorisme	terrorism
overlast	nuisance
onderzoeksrechter	~ examining magistrate
eenheid	unit, unity
mobiliteit	mobility
publicatie	publication
liter	litre
zangeres	(female) singer
criterium	criterion
overtreding	violation, offence
evolutie	evolution
verkrijgen	to obtain
bedrijfsleven	business world
rechtszaak	trial
vooraleer	before
minderjarig	underage
voetbalclub	football club
fraude	fraud
toekennen	to award
alternatief	alternative
aanloop	run-up
premie	premium
tribune	stand
omroep	broadcasting company
haalbaar	feasible
vooralsnog	for the time being
ministerie	ministry
natie	nation
’s ochtends	in the morning
arrestatie	arrest
oostelijk	east, eastern
artistiek	artistic
ondervragen	to interrogate, to question
hervorming	reform
fiscaal	fiscal
scholier	pupil
realistisch	realistic
betreuren	to regret
lat	bar
kostprijs	cost price
verwittigen	to notify
kleedkamer	dressing room
concept	concept
inleveren	a) to hand in b) to sacrifice
hectare	hectare
wagen	to risk
blokkeren	to block
donderdagavond	Thursday evening
woensdagavond	Wednesday evening
conditie	condition
Arabisch	Arabic
lidstaat	member state
opvolgen	to succeed, to follow to follow
balans	balance
handtekening	signature
middenveld	midfield
inzake	concerning
conservatief	conservative
file	traffic jam
netjes	neat(ly)
gebruiker	user
vaststelling	conclusion
sneuvelen	a) to fall b) to break
persconferentie	press conference
islam	Islam
voluit	in full
ruimtelijk	spatial
fietspad	cycle lane
Fransman	Frenchman
kartel	cartel
hinder	nuisance, disruption
peloton	peloton
raak	~ home, telling
reserve	substitute
botsing	collision
infrastructuur	infrastructure
parcours	trail
aanrijden	to hit, to run into
dinsdagavond	Tuesday evening
klassement	list of rankings
comité	committee
troef	ace
VN	UN
nieuweling	newcomer
matig	mediocre
concern	group
beperking	restriction
resteren	to remain
versterking	strengthening
tiener	teenager
installatie	system
veroordeling	conviction
kwartfinale	quarter-finals
capaciteit	capability
elektriciteit	electricity
criticus	critic
legendarisch	legendary
’s morgens	in the morning
race	race
opkomst	turnout
ogen	to look
oprichting	foundation, establishment
maker	creator
verduidelijken	to clarify
grondwet	constitution
gouverneur	governor
elite	elite
gewelddadig	violent
adviseur	counsellor, adviser
Haags	Hague
gelijkaardig	similar
stage	internship
erkenning	recognition
kwalificatie	qualification
complex	complex
bevorderen	to promote
stabiel	stable
congres	congress
crimineel	criminal
toename	increase
première	premiere, first night
berichtgeving	coverage
variëren	to vary
grondgebied	territory
promoten	to promote
toerisme	tourism
socialistisch	socialist
werkloosheid	unemployment
divisie	division
veelal	often
volwassene	adult
mandaat	mandate
sukkelen	to trudge, to trot
percentage	percentage
beklagen (zich)	to complain
gistermiddag	yesterday afternoon
daadwerkelijk	actual
doorbraak	breakthrough
reportage	report
sanctie	sanction
Pools	Polish
beheren	to manage
complex	complex
verdenking	suspicion
asielzoeker	asylum seeker
strategisch	strategic
variant	variant
liberaal	liberal
structureel	structural
minderheid	minority
volksgezondheid	public health
maandagavond	Monday evening
arbeidsmarkt	labour market
optimistisch	optimistic
aankopen	to purchase
mix	mix
klassieker	classic
juweel	jewel
overval	raid
lening	loan
goederen	goods
regie	direction
faillissement	bankruptcy
crimineel	criminal
corruptie	corruption
vermeend	supposed
socialist	socialist
peiling	poll
breuk	fracture
aanhanger	supporter adherent
binnenhalen	to bring in
prominent	prominent
parlementslid	member of parliament
overstap	switch(-over)
drastisch	drastic
zetelen	to reside
uitreiken	to present
vrees	fear
demonstratie	demonstration
stunt	stunt
impact	impact
wielrennen	cycle racing
fabrikant	manufacturer
trio	trio
sluiting	closure
parlementair	parliamentary
opstappen	to go away, to step down
genre	genre
promoveren	a) to obtain one’s doctoral degree b) to be promoted
impuls	impulse
onterecht	unfair, undeserved
sporen	to travel by train
pleidooi	plea
religie	religion
gram	gram
berucht	notorious
constructie	construction
leverancier	supplier
opstarten	to start (up)
prof	professional, pro
verhoor	interrogation
technologie	technology
grootschalig	large-scale
baten	to avail
weren	to keep out
criminaliteit	criminality
overschrijden	to exceed, to step over
volwaardig	full
keeper	(goal)keeper
wijziging	change
verwijzing	reference
management	management
aangifte	report, declaration
betaalbaar	affordable
verzorging	care
introduceren	to introduce
nationaliteit	nationality
populariteit	popularity
prijken	to shine
onderstrepen	to underline
gelijknamig	of the same name
betogen	to argue
zuidelijk	southern
werkgelegenheid	employment
drietal	three(some)
afdwingen	to enforce
bundelen	to bundle
benutten	to make use of
assistent	assistant
delegatie	delegation
terugblikken	to look back
stranden	to run ashore
uitstraling	radiation, look
inschakelen	to switch on
resulteren	to result
verkrijgbaar	available
samenstelling	composition
misbruiken	to abuse
verhoging	increase
symbolisch	symbolic
slogan	slogan
rente	interest
vorming	formation formation, training
wethouder	alderman, councillor
ontvoeren	to abduct
welzijn	welfare
song	song
circuit	circuit
beu	tired
misdrijf	crime
komedie	comedy
opstelling	line-up
solidariteit	solidarity
relativeren	to put in perspective
alarm	alarm
buurland	neighbouring country
chemisch	chemical
beheer	management
ingrijpend	radical
inspiratie	inspiration
authentiek	authentic
werkzaam	employed, active active
soortgelijk	similar
racisme	racism
extern	external
federatie	federation
tegenslag	setback
etappe	stage, leg
senator	senator
aanklacht	charge, complaint
hip	fancy
psychiatrisch	psychiatric
componist	composer
noordelijk	northern
subsidiëren	to subsidize
onveilig	unsafe
vrijmaken	to set free, to keep free
voeding	nutrition, food
uitwijzen	to show
rebel	rebel
referendum	referendum
presentator	presenter
racistisch	racist
publiciteit	publicity
etnisch	ethnic
benoeming	appointment
discriminatie	discrimination
schadelijk	harmful
rubriek	column section
bestempelen	to label
verdeling	distribution division
moskee	mosque
doelgroep	target group
bewind	government, regime
regulier	regular
dj	disc jockey
wielrenner	cyclist
burgeroorlog	civil war
eenzijdig	unilateral, one-sided
oprichter	founder
historicus	historian
column	column
simpelweg	simply
brandstof	fuel
groepering	group, grouping
bestuurlijk	administrative
dumpen	to dump
matigen	to moderate
bekendheid	fame
anno	anno, in the year
verspreiding	spread
ligging	location
westelijk	west, western
uh	er
hè	~ isn’t it, don’t I
hoor	you know
ah	oh
oké, OK	OK
hé	~ hey
gij, ge	you
allee	~ come on
mekaar	each other
jawel	yes, indeed
goh	~ gosh
naartoe	to there
negentien	nineteen
snappen	to understand
jouw	your
weer	weather
hu	ugh
eventjes	quickly
joh	~ mate, you
hartstikke	terribly
ontzettend	tremendous, terrible
sorry	sorry
grappig	funny
awel	oh well
vijfentwintig	twenty-five
