esinle	to inspire
karanfil	carnation
büyülü	enchanted, magical
kıpkırmızı	crimson
camia	community
malik	possessor, owner
yayıncılık	publishing
sabret	to be patient
ufacık	tiny
yayınevi	publishing house
körükle	to stir up
kabine	cabinet
özveri	self-sacrifice
tenkit	criticism
titiz	fastidious
özgürleş	to liberate
bucak	subdistrict, corner
ödünç	loan
kulis	backstage, backroom
ahali	people, inhabitants
tekerlek	wheel
nikah	official wedding
kurcala	to tamper; to fiddle
devinim	movement, action
ehliyet	license
obje	object
kapıcı	doorman
ürkütücü	freaky
kibrit	matches
ikindi	mid-afternoon
ikilem	dilemma
etkisiz	ineffective
temellen	to gain ground, establish
yazarlık	authorship
eleştirmen	critic
piknik	picnic
papatya	daisy
karikatür	caricature
nizam	order
gebe	pregnant
havza	basin
ferdi	individual
nabız	pulse
fosil	fossil
kostüm	costume, suit
bombardıman	bombardment
tüt	to smoke
oto	auto
ezgi	melody
mutabakat	agreement
meşrutiyet	constitutional monarchy
bencil	selfish
latife	witty remark
doğulu	Oriental
şan	glory
gülünç	funny
acılı	bitter; spicy
kurtarıcı	savior
geometrik	geometric
nazır	facing; the minister
kaçıncı	which
vagon	wagon
patlak	burst, punctured
sendrom	syndrome
çingene	gypsy
çakıl	pebble
özgüven	self-confidence
sığınak	shelter, refuge
çeşitle	to vary, to diversify
yöneticilik	administratorship
sistemli	systematic
kuvvetlen	to gain strength
ışıklı	illuminated
ruhsat	license
güreş	wrestling
çizim	drawing
zindan	dungeon
komplo	conspiracy
yetkin	competent
sağır	deaf
mistik	mystical
dirsek	elbow
mobilya	furniture
sakız	chewing gum
lezzetli	delicious
uzam	extent, space
makas	scissors
astsubay	petty officer
kadife	velvet
abdest	(ritual) ablution
pusu	ambush
paketle	to pack, to wrap up
muhit	neighborhood
eğitimli	educated
dinci	religious fanatics
aksaklık	malfunction
binbaşı	major
metropol	metropolis
paradigma	paradigm
terzi	tailor
devşir	to gather, to fold up
hürmet	respect
yaşamsal	vital
tahribat	damage
zümre	group
yasadışı	illegal
kasap	butcher
koloni	colony
düşünceli	thoughtful, considerate
vahşet	barbarity
anons	announcement
nezaket	politeness, courtesy
rasgele	randomly
faks	fax
terfi	promotion, raising
serçe	sparrow
bilişsel	cognitive
yatılı	boarding
yenilikçi	innovative
kaplumbağa	turtle
ergen	adolescent
varlıklı	rich, wealthy
riskli	risky
terlik	slippers
kimsesiz	orphan
karne	school report
acıklı	tragic, sad
ırkçı	racist
fısıltı	whisper
silk	to shake out, to shrug
yudumla	to sip
kazık	stake
yüklem	predicate
yüksekokul	college
periyod	period
duraksa	to hesitate
sarfet	to spend
gayrimenkul	real estate
ağıt	lament
çırılçıplak	stark naked
tabela	signboard
iletim	transmission; convection
ambargo	embargo
çevreci	environmentalist
ahiret	afterlife
hara	stud farm
tişört	T-shirt
meta	object, goods
takı	jewelry, ornament
suskun	silent
uslu	well-behaved
sandal	sandal, rowboat
kıtlık	shortage
kesici	cutter
sapık	pervert
üvey	step
kısık	hoarse
broşür	brochure
trajedi	tragedy
saflık	purity
ibret	lesson
çılgınlık	madness
pusula	compass; memorandum
deha	genius
öyküle	to narrate
alim	scholar
alkollü	drunk, alcoholic
tas	bowl
araştırıcı	researcher, investigator
ilik	marrow; buttonhole
lokal	local
mülteci	refugee
anadil	mother tongue
ikamet	residing
küfret	to swear
istikrarsızlık	instability
sansür	censorship
arkeoloji	archeology
feminist	feminist
hazırlıklı	prepared
tecrübeli	experienced
dana	calf
balta	ax
iltifat	compliment
sefalet	misery, poverty
somutlaş	to embody, to become concrete
üniforma	uniform
idareci	director
tercüman	translator
kadınlık	womanhood
makarna	pasta
manastır	monastery
erik	plum
azami	maximum
zerre	bit
enkaz	ruins
sakar	clumsy
ekin	crop; culture
kurumsallaş	to institutionalize
prosedür	procedure
ikame	replacement
terazi	scales
sıç	to excrete; to mess up
travma	trauma
uyarıcı	warning, stimulus
savunucu	defender, champion
denizci	sailor
dramatik	dramatic
yıprat	to wear out
vedalaş	to say goodbye, farewell
forma	uniform
sığır	cattle
elit	elite
ekol	ecole, school
alaycı	mocking
ambulans	ambulance
satranç	chess
serinlik	coolness
cılız	weak
oya	lace
takviye	reinforcement
musluk	faucet, tap
çalgı	musical instrument
mazlum	oppressed
mikroorganizma	microorganism
müsteşarlık	undersecretariat
portföy	portfolio; wallet
kahvehane	cafe
yorumcu	commentator
teyit	confirmation
dolaysız	direct
çehre	face
tazele	to freshen
asfalt	asphalt
lüzum	need
alçal	to go down
yapılı	sturdy
kısacık	very short
ölümsüz	immortal
direktif	directive, order
aşçı	cook
parfüm	perfume
kanepe	couch, sofa
yaratılış	creation, genesis
sağcı	rightist, right-wing
mantıksal	logical
fren	brake
tetik	trigger
ılımlı	moderate
eklemle	to joint, to join
yapayalnız	all alone
öpücük	kiss
bot	boat; boot
harbiye	military academy
şükret	to thank God, to praise
hafız	hafiz, preacher
kılıf	cover
kandil	oil lamp; candle
başucu	bedside
iskemle	chair
çıkarım	inference
akçe	money, coin
birarada	together
cömert	generous
titreşim	vibration
elektrikli	electrical
endişelen	to worry, to be anxious
bolluk	abundance; looseness
traktör	tractor
korkak	coward
rutin	routine
romancı	novelist
esaslı	thorough, essential
ölümcül	mortal, fatal
manyetik	magnetic
gecelik	nightdress
nicelik	quantity
çekmece	drawer
buzul	glacier
daimi	permanent, constant, regular
hareketsiz	motionless
kuşkulan	to suspect
tereyağı	butter
gelişmişlik	development
susuz	waterless
müdafaa	defense
ayrıcalıklı	privileged
saldırganlık	aggression
besbelli	obvious
kestane	chestnut
dona	to decorate, to equip
çapraz	cross
salgıla	to excrete
sağlayıcı	provider, supplier
cehalet	ignorance
telif	copyright
huysuz	grumpy, irritable
kıvılcım	spark
kebap	kebab
dimdik	straight up; very steep
eczane	pharmacy
uyumsuzluk	incompatibility
arabesk	arabesque
pavyon	pavilion
doktrin	doctrine
çayır	meadow
yapılaş	housing
aciz	incapable, helpless
tatbikat	practice
buharlaş	to evaporate
dikdörtgen	rectangle
yanılsama	illusion
esinti	breeze
serum	serum
değirmen	mill, grinder
paralellik	parallelism
yeniçeri	janissary
çiğ	raw, uncooked
mama	baby food
akis	echo, reflection
sevecen	loving
viski	whisky
kür	cure
tribün	grandstand
bağışıklık	immunity
usan	to get bored
muharebe	battle, fight
anten	antenna
hıçkır	to hiccup, to sob
coşkulu	enthusiastic, exuberant
arzet	to present
nüsha	copy
ilerici	progressive
kampüs	campus
mülakat	interview
çimen	grass
sodyum	sodium
şölen	feast
pankart	banner
teyp	tape recorder
tutarlılık	consistency
tabur	battalion
yaşıt	peer
alaca	multicolored
fahri	honorary
demle	to brew
kota	quota, limit
yeral	to appear in, to take part
şüphelen	to suspect
temenni	wish
imdat	help
harçlık	pocket money
lafla	to chat
vasiyet	bequest, will
sual	question
sonlan	to be over, to end
aşağılık	vulgar
sıkıyönetim	martial law
saydam	transparent
büyükelçilik	embassy
büfe	buffet
sedir	couch
tasavvur	dream, envisagement
homojen	homogeneous
tesadüfen	by chance, coincidentally
dalgalı	wavy
farz	duty
nezaret	supervision; prison
yaygınlık	prevalence
şifa	healing, recovery
yardımcılık	aide
paça	cuff; trotter
geometri	geometry
kaçamak	evasive; excuse
bağlayıcı	connector; binding
esne	to yawn; to stretch
sözel	verbal, oral
kabin	cabin
vuruş	beat, hit, shoot
trajik	tragic
uykusuz	sleepless
çağla	to splash
devamlılık	continuity
düzlük	flatness, straightness
kütük	log; register
alakalı	related, concerned
ütopya	utopia
ortaöğretim	secondary education
sek	to hop
harici	external, abroad
sevap	merit
flört	flirtation
nutuk	speech
kuytu	secluded
leylek	stork
melodi	melody
sulh	peace
sekizinci	eighth
kirpik	eyelash
parantez	parenthesis
tufan	flood, deluge
ıstırap	pain, misery
sos	sauce
yönetsel	administrative
makbul	appropriate
buruş	to wrinkle, to crease, to crush
dekan	dean
temsilcilik	representation, agency
eşitle	to equalize
mazi	the past
girişimcilik	entrepreneurship
hanedan	dynasty
besteci	composer
tescil	registration, registry
meşrulaş	to legitimize
düğümle	to knot, to tie
ağar	to dawn; to whiten
ışı	to shine, to radiate
aldan	to be deceived
bayi	franchiser, distributor
avantajlı	advantageous
danıştay	council of state
iftar	breaking of a fast (during Ramadan)
yakıcı	burning
kukla	puppet
tatsız	tasteless, unpleasant
pabuç	shoe
güneşli	sunny
gerici	conservative
mazeret	excuse
şer	evil
pist	landing field, track
tabu	taboo
seçici	selector, choosy
tuzla	to salt
gırtlak	throat; eating
dokuzuncu	ninth
madam	madam
konjonktür	conjuncture
imren	to envy, to long for
ziyafet	banquet
çekiç	hammer
birleşim	conjunction, union
saygısızlık	disrespect
delilik	madness, insanity
pansiyon	pension, guesthouse
şikayetçi	complainer
kavanoz	jar
psikiyatri	psychiatry
kesinlik	certainty, definiteness
mahvet	to destroy, to ruin
düzensizlik	disorder; irregularity
montaj	montage
daktilo	typewriter
paralı	paid; rich
olanca	all of
aksiyon	action
irtica	reaction, reactionism
katalog	catalogue
baro	bar
kamaş	to be dazzled
küsur	fraction, or some
meşe	oak
asayiş	public safety
yas	mourning
üzücü	saddening, sober
mısra	line
ahenk	harmony
oral	oral
anavatan	motherland
yaşayış	life, manner of life
harbi	real, honest
menü	menu
birgün	one day
şehzade	prince
pano	board
argüman	argument
satım	sale
diyalektik	dialectic
resmet	to portray
analitik	analytical
kontenjan	quota
irfan	knowledge, insight
sağduyu	common sense
otomotiv	automotive
ambalaj	package
kak	to poke
hergün	everyday
dezavantaj	disadvantage
çöküntü	collapse; depression
afyon	opium
tetikle	to trigger
kuşkulu	suspicious
kolesterol	cholesterol
duyarlık	sensitivity
isabetli	exact, well-directed
terminal	terminal, station
beylik	principality, seigniory
şahane	magnificent
kuraklık	drought
helva	halva
rağbet	demand
hasat	harvest
dizge	system
tahıl	grain
öbek	group, heap
fotokopi	photocopy
mücevher	jewelry
yirminci	twentieth
mangal	barbecue
ermiş	saint
rekabetçi	competitive
direksiyon	steering wheel
adaletsizlik	injustice
derinlemesine	deeply, thoroughly
daracık	skintight, quite narrow
valiz	baggage
belle	to memorize
salkım	bunch
süzgeç	strainer, filter
hiyerarşik	hierarchical
topuk	heel
çelişkili	contradictory
pasaj	passage; arcade
çiçekli	abloom, flowered
eşdeğer	equivalent
kavrayış	comprehension
tedarik	supply
doçent	associate professor
davetiye	invitation card
güncelle	to update
hıçkırık	hiccup
anlayışlı	understanding, considerate
baki	permanent
tomurcuk	bud
uçsuz	untipped; endless
fonksiyonel	functional
topal	crippled
dilenci	beggar
kontrollü	controlled, restrained
mevzi	position (military)
nasihat	advice
lojman	lodging
namuslu	honorable
çekingen	shy, timid
kilim	rug, carpet
musevi	Jewish
kaynana	mother-in-law
ampul	lightbulb
süpürge	broom
harem	harem
ölümsüzlük	immortality
hece	syllable
branş	field, subject
inatçı	stubborn
uzaylı	alien
ileti	message
atasözü	proverb
eldiven	glove
tanecik	particle, granule
tramvay	tram
kavşak	crossroads
armut	pear
sendikal	trade union
bıyıklı	mustached
diktatörlük	dictatorship
hırpala	to treat roughly, to misuse
fahişe	prostitute
eczacı	pharmacist
fişek	cartridge
facia	disaster
anabilim	department
antibiyotik	antibiotic
elçilik	embassy
şahsen	personally
kayaç	rock
stadyum	stadium
kurumuş	dry
öksür	to cough
hudut	border
yama	to patch
kabir	grave
olta	fishhook
aidiyet	belonging
envanter	inventory
değnek	stick, wand
sabahleyin	in the morning
staj	internship
kafatası	skull
kopuş	disengagement
sirk	circus
emlak	real estate
çocuksu	childish
dinamizm	dynamism
ambar	storehouse
bilgelik	wisdom
yemyeşil	lush green
üçer	three each
bitkin	exhausted
iktisatçı	economist
kültürlü	cultured
kireç	lime
seferberlik	mobilization
düpedüz	sheer, absolutely
hegemonya	hegemony
edebiyatçı	literary figure
ördek	duck
bildirge	declaration
barbar	barbarian
havuç	carrot
loş	dim
indeks	index
çevirmen	translator
çalkala	to shake; to rinse
yağma	looting
terörizm	terrorism
spekülasyon	speculation
fizikçi	physicist
baskıcı	oppressive
vefa	fidelity, loyalty
soygun	robbery
babacan	friendly, fatherly
anormal	abnormal
ast	subordinate, inferior
başkaldır	to rebel
