oei	oops
kust	coast
schitterend	brilliant
vis	fish
storten	to deposit
anderzijds	on the other hand
brug	bridge
Duitser	German
visie	vision
vandaan	from
vrede	peace
invoeren	to introduce
ongeluk	accident
jagen	to hunt
lezer	reader
opbouwen	to construct
baby	baby
handig	handy
papa	daddy
verschillen	to differ
erover	about
techniek	technique
uitgeven	to spend
verslag	report
gedeelte	section
geheim	secret
enthousiast	enthusiastic
wegen	to weigh
koop	buy
voren	forward
vluchten	to flee
constant	constant
overwegen	to consider
schatten	to estimate
vergadering	meeting
camera	camera
element	element
gevoelig	sensitive
boot	boat
plus	plus
test	test
voorspellen	to predict
nauw	tight
schuldig	guilty
combineren	to combine
noteren	to note
scheppen	a) to shovel b) to create
beperkt	limited
kwartier	quarter (of an hour)
blok	block
wisselen	to exchange
boer	farmer
grondig	thorough
aanvallen	to attack
bod	offer
pad	1) path 2) toad
ambtenaar	civil servant
gezien	considering
handelen	to act
ingaan	to enter
prins	prince
daarentegen	on the other hand
ondergaan	to undergo
ondersteunen	to support
opening	opening
pijnlijk	painful
eten	food
graad	degree
juridisch	juridical
as	a) axis b) ash
benoemen	to appoint
norm	norm
wild	wild
aantreffen	to find
afnemen	to take (away)
kritisch	critical
verzoek	request
bestellen	to order
confronteren	to confront
troep	a) army b) mess
vals	FALSE
à	to
beslag	a) batter b) fittings
volwassen	adult
meester	master
gezondheid	health
hof	court
tenzij	unless
verminderen	to reduce
blazen	to blow
vertalen	to translate
overig	remaining
vlug	quick
automatisch	automatic
correct	correct
omgaan	to handle
toepassen	to apply
afspreken	to arrange
diezelfde	the very same
meten	to measure
binden	to bind
veroveren	to conquer
verzet	resistance
gezamenlijk	joint
aantrekkelijk	attractive
drug	drug
milieu	environment
signaal	signal
ondernemen	to undertake
vak	field, profession
vreselijk	terrible
aanleggen	to build
ontwerpen	to design
stelling	a) proposition b) scaffolding
bestaan	existence
appartement	apartment
cent	cent
pensioen	pension
samenwerken	to collaborate
scherm	screen
intern	internal
park	park
opmerken	to notice
mengen	to mix
schelen	to care
kapot	broken
onderling	mutual
belachelijk	ridiculous
doorgaans	usually
ramp	disaster
vervelend	annoying
achten	to deem
inkomen	income
nadeel	disadvantage
koken	to cook
opname	shot, recording
aanspreken	a) to address b) to appeal to
klimmen	to climb
nabij	near
afleggen	to do
bescherming	protection
evenveel	same
hoogtepunt	peak, highlight
roman	novel
theater	theatre
prettig	nice
spijtig	regrettable
uitsluiten	to exclude
verwijten	to blame
omkeren	to reverse
opgeven	a) to give b) to give up
sparen	to save
tijdschrift	magazine
garanderen	to guarantee
integendeel	(on the) contrary
rit	ride
waarover	about which
zijde, zij	side
agenda	diary, agenda
beantwoorden	to answer
plat	flat
stimuleren	to stimulate
betrekking	relation
drank	drink
geheim	secret
lokken	to lure
loon	wage
ongelooflijk	incredible
kilo	kilo
pot	pot
daad	act
ei	egg
regen	rain
vermogen	a) power b) fortune
schrik	fright
storen	to disturb
ondervinden	to experience
trachten	to attempt
uitzending	broadcast
vanzelf	automatically
haven	harbour
professor	professor
aangenaam	pleasant
bestrijden	to dispute
katholiek	Catholic
verbazen	to surprise
waaruit	from which
daaraan	thereto
koningin	queen
oefenen	to practise, to exercise
onderscheiden	to distinguish
opkomen	a) to come up b) to fight for
pikken	a) to pinch b) to tolerate
vastleggen	to fix
fabriek	factory
uitsluitend	exclusively
slikken	to swallow
vierkant	square
krachtig	powerful
theorie	theory
terugkeer	return
dikwijls	often
innemen	a) to swallow b) to take up
leraar	teacher
tempo	pace
toeval	coincidence
streep	stripe
geboorte	birth
kortom	in short
wil	will
koppelen	to couple
paal	pole
structuur	structure
toerist	tourist
uitvoering	implementation
inzicht	insight
kat	cat
tweemaal	twice
verplaatsen	to move
echtgenote	wife
letter	letter
schaal	a) dish b) scale
afwachten	to wait
bibliotheek	library
althans	at least
huren	to rent
kamp	camp
voedsel	food
zwanger	pregnant
arbeider	worker
excuus	excuse
midden	in the middle of
raden	to guess
negeren	to ignore
ophalen	a) to collect b) to pull up
accepteren	to accept
aspect	aspect
bodem	bottom
stom	stupid
aard	nature
concentreren (zich)	to concentrate
landschap	landscape
verwerven	to acquire
wekelijks	weekly
literatuur	literature
cadeau	gift
lengte	length
document	document
onzin	nonsense
temperatuur	temperature
terechtkomen	to land
bezwaar	objection
christelijk	Christian
nogmaals	again
vervoer	transport
onderweg	on the way
strand	beach
zwemmen	to swim
gewicht	weight
toestemming	permission
vernietigen	to destroy
evenwicht	balance
stroom	a) flow b) stream c) electricity
zeventien	seventeen
kring	circle
toepassing	application
vijand	enemy
staatssecretaris	Secretary of State
gunstig	favourable
reclame	advertisement
doek	cloth
oordeel	judgement
pand	property
vlag	flag
toestel	appliance
gedicht	poem
ingang	entrance
olie	oil
schilderij	painting
college	lecture
plein	square
datum	date
emotioneel	emotional
strijden	to fight
uitzonderlijk	exceptional
verlenen	to grant
vers	fresh
duur	duration
goud	gold
bovenop	on top
trappen	a) to kick b) to cycle
hierover	about this
bezetten	a) to occupy b) to set
boel	lot
fris	fresh
staken	a) to cease b) to strike c) to tie
verrichten	to perform
gunnen	to grant
methode	method
vergroten	to enlarge
status	status
massa	mass
random	all round
ton	a) barrel b) 1000 kilo c) 100,000 euro
e-mail	e-mail
functioneren	to function
nuttig	useful
tocht	tour
aandoen	a) to cause b) to put on
realiteit	reality
aanvullen	to complement
dodelijk	lethal
verstand	head
bevallen	a) to please b) to give birth
uiten	to express
begeleiding	supervision
gedeeltelijk	partial
registreren	to register
afbreken	to break off/down
informeren	to inform
permanent	permanent
daartoe	~ to it
agressief	aggressive
heus	real
lenen	a) to borrow b) to lend
onschuldig	innocent
opvangen	a) to take care of b) to catch
vervullen	to fulfil
zenden	to send
afronden	a) to round up b) to finish
familielid	relative
namiddag	(late) afternoon
seksueel	sexual
bak	container
ondertekenen	to sign
aanwijzen	to show to
beest	beast
verzetten	to move
bakken	to bake
verkeren	to be
hallo	hello
overblijven	a) to remain b) to stay behind
voornaam	a) prominent b) main
bijten	to bite
minimaal	minimum
totdat	until
vernemen	to learn
held	hero
meid	girl
daaruit	from it
regeling	regulation
ring	ring
terugvinden	to find again
verbetering	improvement
vervolg	continuation, sequel
humor	humour
omvatten	to include
vasthouden	to hold
onderhouden	to maintain
avontuur	adventure
beheersen	to command
vanzelfsprekend	obvious
varen	to sail
constateren	to ascertain
inrichten	to furnish
louter	mere
verderop	further down
begraven	to bury
gerucht	rumour
machine	machine
symbool	symbol
bocht	curve, bend
instrument	instrument
spontaan	spontaneous
cursus	course
middelbaar	a) middle b) secondary
bevoegdheid	authority
exact	exact
maximum	maximum
seks	sex
studio	studio
gans	whole
invullen	to fill in
bende	gang
gigantisch	gigantic
mannelijk	male
communicatie	communication
lelijk	ugly
afkomst	origin
bestuderen	to study
hoogleraar	professor
gevecht	fight
identiteit	identity
overdag	by day
passagier	passenger
schakelen	to switch
stemming	a) vote b) mood
aanvragen	to request, to apply for
duidelijkheid	clearness
inspireren	to inspire
instellen	to set
alcohol	alcohol
creatief	creative
hetgeen	that which, what
gsm	mobile phone
rondlopen	to walk about
aanbrengen	to apply
langdurig	prolonged
afvragen	to wonder
beoordelen	to judge
trouw	faithful
afschaffen	to abolish
intensief	intensive
personage	person, character
verlagen	to lower
wijden	to devote
zwembad	swimming pool
ingewikkeld	complicated
overdreven	overdone
pauze	break, half-time
verstandig	wise
vertrouwen	to trust
afleiden	a) to distract b) to deduce
gas	gas
leerkracht	teacher
opeens	suddenly
paniek	panic
verzinnen	to invent
doelstelling	goal
strikt	strict
zodanig	such
bol	sphere
hechten	to attach
kleuren	to colour
tekening	drawing
bom	bomb
boord	collar
uitkijken	to watch
zeldzaam	rare
alleszins	in every way
bedreiging	threat
kleren	clothes
medicijn	drug, medicine
opzet	a) planning, design b) intention
uitbrengen	to publish, to release
collectie	collection
wetgeving	legislation
kleding	clothing
joods	Jewish
kanaal	channel
klimaat	climate
regeren	to reign, to govern
terras	terrace
aanzien	respect
bijeenkomst	meeting
doorbreken	to break through
zuiver	pure
besparen	to save
keuren	to test, to taste
onthouden	to remember
supermarkt	supermarket
aanduiden	to indicate
tent	tent
vermoeden	presumption
evenals	as well as
Grieks	Greek
ingrijpen	to intervene
kasteel	castle
ruil	exchange
bereiden	to prepare
braaf	good
neerleggen	to put down
berekenen	to calculate
moreel	moral
saai	boring
