de	the
eind, einde	end
bestaan	to exist
rond	around
vaak	often
trekken	to draw
aantal	number
achter	behind
natuurlijk	natural
naam	name
laatst	last
deel	part
belangrijk	important
misschien	maybe
gebeuren	to happen
iedereen	everyone
bijna	almost
probleem	problem
vier	four
sinds	since
erg	very
per	by, per
geleden	ago
nodig	necessary
noemen	to name
vraag	question
proberen	to try
zaak	a) case b) business
spreken	to speak
allemaal	all
pas	only
helemaal	completely
men	one, you
kennen	to know
bekend	(well-)known
terwijl	while
huis	house
geval	case
duidelijk	clear
gebruiken	to use
vertellen	to tell
kort	short
vroeg	early
vanaf	from
weg	gone
eigenlijk	actually
via	through
iemand	someone
eerder	sooner
mooi	nice
schrijven	to write
vijf	five
gisteren	yesterday
sterk	strong
paar	couple
u	you
hen	them
vandaag	today
waarom	why
moment	time, moment
manier	way
moeilijk	difficult
wereld	world
opnieuw	again
daarom	therefore
geld	money
zeer	very
soms	sometimes
groep	group
stad	town, city
enig	only
ver	far
genoeg	enough
stuk	piece
zwaar	heavy
zoeken	to search
kans	chance
ja	yes
leggen	to put
waarin	wherein
tien	ten
voelen	to feel
winnen	to win
begin	start
vast	fixed, certain
naast	next to
bijvoorbeeld, bv.	for example
slecht	bad
verliezen	to lose
buiten	outside
zorgen	to provide
Nederlands	Dutch
oog	eye
beetje	bit
zoveel	so much
zes	six
meteen	immediately
bovendien	also
woord	word
graag	gladly, with pleasure
beide	both
kiezen	to choose
hopen	to hope
laat	late
vol	full
daarna	afterwards
lezen	to read
verschillend	different
betalen	to pay
miljoen	million
partij	party
soort	kind of
ooit	one day
ding	thing
weg	road
sommige	some
ieder	each
leiden	to lead
slechts	only
niemand	nobody
wachten	to wait
welk	which
sluiten	to close
boven	above
verwachten	to expect
nee	no
foto	photo
wonen	to live
helpen	to help
punt	a) full stop b) item c) point
raken	to touch, to hit
leren	to learn
dezelfde	same
hard	hard
feit	fact
leven	to live
titel	title
reden	reason
slaan	to hit
afgelopen	last
volledig	full
inderdaad	indeed
thuis	at home
half	half
open	open
vriend	friend
langs	past
hoofd	head
uiteindelijk	final
bedrijf	business
kant	side
voorbij	past
rijden	to drive
gemakkelijk, makkelijk	easy
zodat	so that
vrij	free
politie	police
verhaal	story
artikel	a) article b) product, object
boek	book
onderzoek	research
kopen	to buy
zowel	both
betekenen	to mean
bezig	busy
gevolg	result
school	school
hangen	to hang
plan	plan
wanneer	when
daarmee	with it
extra	additional
pakken	to take
nadat	after
ruim	spacious
voeren	to have, to carry out
ongeveer	about
idee	idea
zin	a) sentence b) sense
zondag	Sunday
geloven	to believe
zaterdag	Saturday
hoeven	to need (to)
staat	state
veranderen	to change
leuk	nice
bieden	to offer
auto	car
rest	rest
vader	father
familie	family
precies	exact
steken	a) to stab b) to put
trouwens	anyway
begrijpen	to understand
moeder	mother
stoppen	to stop
lid	member
leveren	to supply
laag	low
tonen	to show
waarbij	in which
praten	to talk
vorm	form
zichzelf	herself, himself, itself, yourself, themselves
hetzelfde	the same
juist	"really; on the contrary"
meter	metre
rol	role
prijs	price
tellen	to count
reageren	to react
waarvan	whose
jongen	boy
waarop	on which
dienst	service
ervan	of it
draaien	to turn
roepen	to call
daarvoor	therefore, for that
gelukkig	happy
sturen	to send
dragen	to carry
verkopen	to sell
resultaat	result
minuut	minute
niks	nothing
verdwijnen	to disappear
daarbij	with it, besides
totaal	total
meestal	mostly
succes	success
besluiten	to decide
kosten	to cost
straat	street
ouder	parent
organiseren	to organize
bijzonder	special
acht	eight
duren	to last
water	water
wijzen	to point
terecht	correct, deserved
vormen	to form
persoon	person
waarschijnlijk	probably
zeven	seven
waardoor	as a result of which
klinken	to sound
periode	period
merken	to notice
helft	half
recht	right
opzetten	to set up
gebruik	use
gevoel	feeling
beeld	statue
grond	ground
normaal	normal
bouwen	to build
zoon	son
deur	door
rood	red
ontstaan	to start
meisje	girl
enorm	enormous
nacht	night
hoewel	although
uw	your
gelijk	equal
vergeten	to forget
bereiken	to reach
algemeen	general
passen	to suit
richten (zich)	to focus
verschil	difference
programma	programme, program
lachen	to laugh
groeien	to grow
verdienen	to earn
verschijnen	to appear
krant	newspaper
eten	to eat
nummer	number
belang	importance
jullie	you
situatie	situation
kilometer	kilometre
toekomst	future
zwart	black
verklaren	to explain
honderd	hundred
bepaald	certain
aandacht	attention
waarmee	with which
daardoor	therefore
speciaal	special
beslissen	to decide
bepalen	to determine
dochter	daughter
plaatsen	to place
stem	a) voice b) vote
Frans	French
dienen	to serve (as)
gebied	area
richting	direction
vertrekken	to leave
openen	to open
voorkomen	a) to occur b) to prevent
dood	death
missen	to miss, to lack
morgen	tomorrow
antwoord	answer
heten	to be called
persoonlijk	personal
voorbeeld	example
weekend	weekend
slagen	to succeed
doel	goal
gelden	to apply
stappen	to step
licht	light
klaar	ready
muziek	music
ondanks	in spite of
liever	rather
twintig	twenty
buurt	neighbourhood
slachtoffer	victim
reactie	reaction
bekijken	to look at
contact	contact
televisie	television
tegenover	opposite, against
kaart	map
voorlopig	provisional
avond	evening
voet	foot
rekening	bill
breken	to break
eeuw	century
betreffen	to concern
kop	a) head b) cup
dicht	closed
direct	immediate
druk	busy
melden	to report
daarvan	thereof, from that
inmiddels	meanwhile
lukken	to succeed
film	film
mogelijkheid	possibility
markt	market
publiek	public
informatie, info	information
geraken	to get
alsof	as if
overigens	anyway
Duits	German
keuze	choice
rekenen	to count
oh	oh
blij	happy
nauwelijks	hardly
opnemen	to record
lijst	list
wit	white
officieel	official
diep	deep
hoogte	height
gezicht	face
stijgen	to rise
gesprek	conversation
rust	rest
kloppen	to knock, to beat
stap	step
blijkbaar	apparently
verlaten	to leave
ervaring	experience
dood	dead
geschiedenis	history
namelijk	namely
duur	expensive
ergens	somewhere
bewijzen	to prove
vervolgens	then
plek	place, spot
centrum	centre
geboren	born
groen	green
oorlog	war
politiek	politics
ondertussen	meanwhile
ruimte	space
durven	to dare
nieuws	news
band	bond
overlijden	to die
directeur	director
schieten	to shoot
zomer	summer
kracht	strength
wellicht	possibly, perhaps
genieten	to enjoy
bedoeling	intention
voorstellen	to propose
erop	on it
leeftijd	age
ontvangen	to receive
rug	back
behalve	except
bank	a) bank b) bench, sofa
absoluut	absolute
nogal	rather
lekker	tasty
negen	nine
hart	heart
bellen	to ring, to call
waar	TRUE
vreemd	strange, foreign
waarde	value
ziekenhuis	hospital
betrekken	to involve
oplossing	solution
verkeerd	wrong
slag	blow
bericht	message
dergelijk	such
duizend	thousand
collega	colleague
vrezen	to fear
overtuigen	to convince
moeite	difficulty
baan	job
last	load
rustig	quiet
tekst	text
bezoek	visit
hoop	a) hope b) pile
kamer	room
treffen	to hit, to strike
uiteraard	of course, naturally
orde	order
lijn	line
aanwezig	present
gang	corridor
voorzien	to provide
overal	everywhere
keren	to turn
tafel	table
middel	means
gezin	family
licht	light
dik	thick
dagelijks	daily
mening	opinion
eindelijk	finally
grens	border
menen	to believe, to think
beslissing	decision
telkens	each time
ontdekken	to discover
gooien	to throw
zoiets	something
wet	law
drinken	to drink
gebouw	building
luisteren	to listen
opdracht	task
twaalf	twelve
stil	silent
verleden	past
hoeveel	how many, how much
voldoende	sufficient
dreigen	to threaten
spel	game
eenmaal	a) just b) once
wijze	way
zorg	a) care b) worry
los	loose
tevreden	satisfied
brief	letter
sterven	to die
been	leg
omgeving	environment, surroundings
broer	brother
daarin	therein
onmiddellijk	immediate
indruk	impression
onderzoeken	to investigate
beschouwen	to consider
straks	later
taal	language
winkel	shop
ervoor	for it
breed	wide
regel	rule
lucht	air
hulp	help
daarop	on it
warm	hot
tegenwoordig	nowadays
tekenen	to draw
volk	people
voordeel	advantage
lief	nice
serieus	serious
ernstig	serious
arm	arm
vanwege	because of
regelmatig	regular
vriendin	a) (female) friend b) girlfriend
bed	bed
top	top
kennis	a) knowledge b) acquantaince
flink	significant
stand	a) position b) score
mama	mummy
eindigen	to end
relatie	relation
bang	afraid, frightened
slapen	to sleep
macht	power
kerk	church
beroep	profession
lichaam	body
rijk	rich
ontwikkelen	to develop
regelen	to regulate, to arrange
kwijt	lost
beseffen	to realize
allerlei	all kinds of
dorp	village
gedachte	thought
invloed	influence
delen	to share
vliegen	to fly
jammer	a pity
Nederlands	Dutch
herinneren	to remember
beloven	to promise
afstand	distance
prachtig	wonderful
bezoeken	to visit
eerlijk	honest, fair
voorstel	proposal
veilig	safe
Engels	English
vlak	right
bewust	conscious, aware
optreden	to appear
feest	party
geel	yellow
kwestie	question, issue
perfect	perfect
links	a) left b) left-wing
god	god
springen	to jump
dier	animal
hoek	corner
enig	only
bal	ball
eenvoudig	simple
vergelijken	to compare
verplichten	to oblige
mond	mouth
vullen	to fill
tiental	ten
redden	to save
studie	study
afsluiten	to close
gat	hole
kleur	colour
goedkoop	cheap
liefde	love
modern	modern
positie	position
gast	guest
grijpen	to grab
aanleiding	reason, occasion
terrein	ground
interessant	interesting
rij	row
universiteit	university
zulk	such
les	lesson
degelijk	sound
erin	in it
zingen	to sing
aanbieden	to offer
onderwerp	topic
vanavond	tonight
gevaarlijk	dangerous
danken	to thank, to owe
trouwen	to marry
erbij	there
afspraak	appointment
wensen	to wish
kwaad	a) angry b) evil
verlopen	to go
mijzelf, mezelf	myself
muur	wall
stemmen	to vote
boodschap	1) message 2) purchase, shopping
gek	crazy
zak	bag
dak	roof
zee	sea
vakantie	holiday
alweer	again
ziek	ill
verhuizen	to move (house)
schuiven	to push, to pull
bureau	desk
stevig	firm
zomaar	just
bedenken	to think (up)
doordat	because
controleren	to check
helaas	unfortunately
boom	tree
drukken	to print
dubbel	double
vieren	to celebrate
beweging	movement
tegelijk	at the same time
verbinden	a) to link b) to bandage
schuld	a) debt b) blame
bus	bus
leeg	empty
sfeer	atmosphere
taak	task
pijn	pain
verband	a) link b) bandage
geluk	happiness, luck
voordat	before
onmogelijk	impossible
zon	sun
nergens	nowhere
fijn	nice
slot	lock
gezond	healthy
verdelen	to divide
leerling	pupil
tenminste	at least
midden	middle
behandelen	to treat
rechts	a) right b) right-wing
loop	course
fout	wrong
redelijk	reasonable
studeren	to study
donker	dark
lied	song
zacht	soft
behoorlijk	decent, considerable
reis	trip, journey
beurt	turn
simpel	simple
beneden	under, down
vinger	finger
blauw	blue
werkelijk	real
opstellen	to draw up
student	student
waard	worth
raar	strange
apart	separate
oor	ear
pak	1) suit 2) bunch
begrip	understanding
lastig	difficult
wakker	awake
tuin	garden
verzamelen	to collect
eraan	with it
angst	fear
realiseren	to realize
gelegenheid	opportunity
neus	nose
schoon	clean
antwoorden	to answer
ineens	suddenly
lijden	to suffer
langzaam	slow
beschrijven	to describe
herkennen	to recognize
besteden	to spend
fiets	bicycle
koud	cold
hond	dog
dame	lady
meemaken	to experience
uitkomen	to come out
aardig	nice
mis	wrong
ermee	with it
verandering	change
waarvoor	what for
radio	radio
zover	so far
daarover	about it
opzicht	regard
plezier	pleasure
aankomen	to arrive
toestand	state
station	station
bloed	blood
toevallig	accidental
heer	gentleman
uitnodigen	to invite
teken	sign
baas	boss
maat	1) size 2) rhythm 3) mate
bewegen	to move
oplossen	to solve
haar	hair
vandaar	hence
dokter	doctor, GP
ontmoeten	to meet
stof	dust
achteraf	afterwards
vooruit	forward
geluid	sound
blad	a) journal, magazine b) leaf
boos	angry
bos	1) forest 2) bunch
knap	a) good-looking b) smart, clever, able
zus	sister
trein	train
prima	excellent
doorgaan	to continue
type	type
nadenken	to think
natuur	nature
aannemen	to assume
geweldig	great
recht	straight
eruit	out
gezellig	enjoyable, cosy
bloem	flower
herhalen	to repeat
twijfelen	to doubt
droog	dry
inhoud	content
ochtend	morning
verjaardag	birthday
plaat	a) record b) plate
kost, kosten	cost(s)
behoefte	need
allebei	both
bewaren	to keep
uitleggen	to explain
rand	edge
achtergrond	background
min	minus
opmerking	remark
figuur	figure
opvallen	to strike, to catch the eye
ruzie	quarrel, row
winter	winter
overkomen	to happen to
heerlijk	lovely
bespreken	to discuss
tegelijkertijd	at the same time
uitgaan	to go out
slim	smart, clever
blik	look
schouder	shoulder
raam	window
zwijgen	to keep silent about
stoel	chair
glas	glass
knikken	to nod
plotseling	sudden
schudden	to shake
verder	further
buigen (zich)	to bend
meneer	Mr sir
glimlachen	to smile
trap	stairs
lip	lip
ogenblik	moment
middag	afternoon
keuken	kitchen
schrikken	to be frightened
koffie	coffee
borst	chest
omhoog	up
stilte	silence
staren	to stare
huilen	to cry
duwen	to push
voorzichtig	careful
fluisteren	to whisper
knie	knee
gauw	soon, quickly
ach	oh
grijs	grey
glijden	to slide
jas	coat
schreeuwen	to shout
werpen	to throw
mevrouw	madam
haast	almost
slaap	sleep
adem	breath
wind	wind
vriendelijk	friendly
traan	tear
wang	cheek
buik	belly
fles	bottle
broek	trousers
telefoon	telephone
schoen	shoe
dringen	to push
herinnering	memory
bruin	brown
kruipen	to crawl
gebaar	gesture
hemel	sky
steen	stone
vloer	floor
lijf	body
rennen	to run
lach	laugh, smile
sigaret	cigarette
huid	skin
verbergen	to hide
toon	tone
geur	odour
tand	tooth
aarzelen	to hesitate
kleden	to dress
aarde	earth
geest	mind, spirit
branden	to burn
glimlach	smile
overeind	up
smal	narrow
brood	bread
zodra	once, as soon as
schenken	to donate
vrolijk	cheerful, merry
kast	cupboard
mompelen	to mumble
nek	neck
keel	throat
zuchten	to sigh
trillen	to tremble, to shake
he	hey
voortdurend	continuous
voorhoofd	forehead
roken	to smoke
dansen	to dance
bloot	bare
spiegel	mirror
houten	wooden
vuur	fire
zwaaien	to wave
opzij	aside
verte	distance
hals	neck
dun	thin
tas	bag
spoor	a) trace b) track
gezelschap	company
geloof	faith, religion
klap	blow
rook	smoke
binnenkomen	to enter
leunen	to lean
vogel	bird
café	café, pub
ophouden	to stop
verschrikkelijk	terrible
schaduw	shadow
luid	loud
verlangen	desire
tong	tongue
wagen	car
wijn	wine
verbaasd	surprised, amazed
wassen	to wash
drukte	bustle, commotion
vlees	meat
zuster	sister
tikken	to tap
strak	tight
opstaan	to stand up
traag	slow
vaag	vague
snijden	to cut, to slice
blond	blond
gordijn	curtain
vegen	to sweep
dromen	to dream
terugkomen	to return
rollen	to roll
grap	joke
knijpen	to pinch
afscheid	farewell, goodbye
dronken	drunk
wolk	cloud
slaapkamer	bedroom
wrijven	to rub
jurk	dress
tante	aunt
vertrek	a) room b) departure departure
uitzien	to look
gras	grass
dichtbij	close
paard	horse
stapel	pile
nat	wet
verdriet	sadness
doos	box
kennelijk	obviously
naderen	to approach
ziel	soul
berg	mountain
stoten	to bump, to knock
kerel	guy
heffen	to lift
ruiken	to smell
wekken	to wake up
spijt	regret
thee	tea
bier	beer
strelen	to caress, to stroke
bezitten	to possess
zucht	sigh
morgen	morning
aankijken	to look at
enigszins	somewhat
helder	clear
oom	uncle
glanzen	to shine
verliefd	in love
woede	rage
poot	leg, paw
verbazing	amazement
stel	set, couple
volkomen	completely
verlangen	to long
kussen	pillow
onverwacht	unexpected
duiken	to dive
tillen	to lift
mager	lean
waarschuwen	to warn
vent	fellow, bloke
overkant	other side
wenkbrauw	eyebrow
strekken	to straighten
spul	stuff, things
vertrouwd	familiar
wand	wall
zweet	sweat
thuiskomen	to come home
plastic	plastic
opwinden (zich)	to get excited, to get worked up
barsten	to crack
spraak	speech
bril	(pair of) glasses
sleutel	key
kin	chin
hout	wood
honger	hunger
rusten	to rest
schat	treasure, dear
wonder	miracle
weggaan	to leave
teen	toe
verrassen	to surprise
allang	a long time ago
stralen	to shine
koel	cool
wenden (zich)	to turn
klok	clock
koffer	suitcase
lamp	lamp
hoed	hat
dwars	diagonal
deken	blanket
voordeur	front door
achterlaten	to leave behind
blind	blind
lijk	corpse
optrekken	a) to accelerate b) to put up
moed	courage
kalm	calm
zorgvuldig	careful
vervolgen	to continue a) to continue b) to prosecute
terugkeren	to return
vel	sheet
rukken	to snatch, to tear
kussen	to kiss
gulden	guilder
verdieping	floor
heilig	holy
zand	sand
warmte	heat
schuin	oblique
slepen	to drag
schilderen	to paint
vuist	fist
vouwen	to fold
tak	branch
laken	sheet
rok	skirt
ontsnappen	to escape
nieuwsgierig	curious
hijgen	to gasp, to pant
vuil	dirt
hal	hall
bar	bar
gewoonte	habit
naakt	nude, naked
hevig	violent, fierce
keurig	neat
roze	pink
stinken	to smell
haastig	hasty
mes	knife
liegen	to lie
kraken	to crunch, to crack
eeuwig	eternal
tevoren	before
gemak	ease
reiken	to reach
schamen (zich)	to be ashamed
wijd	wide
kaal	bald
lot	fate
glimmen	to glow, to shine
knippen	to cut
eenzaam	lonely
onderbreken	to interrupt
bedekken	to cover
slok	sip
vlek	stain
scheuren	to tear
wijs	wise
achterover	backwards
merkwaardig	curious
horloge	watch
ongetwijfeld	undoubtedly
gillen	to scream
plank	plank, board
net	neat, tidy
verlegen	shy
mouw	sleeve
steek	stitch, twinge
golf	wave
plafond	ceiling
touw	rope
stromen	to flow
nerveus	nervous
schoonheid	beauty
maag	stomach
stijf	stiff
kruis	cross
staart	tail
duim	thumb
strijken	to brush, to stroke
ademen	to breathe
voorover	face forward
ergeren (zich)	to annoy
uitdrukking	expression
rechtop	upright
bil	buttock
gespannen	tense
nagel	nail
hardop	aloud
rivier	river
dij	thigh
bewonderen	to admire
woedend	furious
wijsvinger	index finger
stok	stick
eindeloos	endless
smeken	to beg
evenmin	as little as nor
doorbrengen	to spend
tasten	to grope
zweven	to float
dadelijk	immediately
ellende	misery
achteruit	backwards
knoop	knot, button
poos	while
klemmen	to stick, to jam
uitzicht	view
ruit	window
kist	chest
bezorgd	concerned
opgewekt	cheerful
achteren	back
badkamer	bathroom
vloeken	to curse, to swear
dankbaar	grateful
hap	bite
halverwege	halfway
jongeman	young man
schokken	a) to shake, b) to shock
omlaag	down
hek	fence
genoegen	pleasure
wanhopig	desperate
verwonderen	to surprise
betrappen	to catch
stuur	steering wheel, handlebars
ijzeren	iron
voorgoed	permanently
druppel	drop
haten	to hate
aanraken	to touch
gestalte	shape
chauffeur	driver
plakken	to stick
heuvel	hill
zoet	sweet
verlichten	to light, to illuminate
ouderwets	old-fashioned
schok	shock
tegemoet	towards
hersenen, hersens	brain
medelijden	pity
bevrijden	to free
somber	gloomy
zuigen	to suck
ontbijt	breakfast
woonkamer	living room
grijnzen	to grin
waaien	to blow
juffrouw	a) lady b) teacher
doordringen	to penetrate
kreet	cry
heftig	violent
maan	moon
bukken (zich)	to bend
slap	weak
kwalijk	evil, bad
logeren	to stay
angstig	anxious
sneeuw	snow
omdraaien (zich)	to turn (round)
stoep	pavement
bezorgen	to give
onzeker	uncertain
pijp	pipe
glad	smooth
kus	kiss
koesteren	to cherish
spreiden	to spread
vatten	to catch, to grasp
ontmoeting	meeting
moeizaam	laborious
koe	cow
besef	understanding
ijs	ice
maaltijd	meal
geheugen	memory
begeven	to break down
klank	sound
knop	button
ontspannen	to relax
hol	hollow
opgelucht	relieved
hollen	to run
grootvader	grandfather
opwinding	excitement
verdomme	damn
scheef	crooked, oblique
verontschuldigen (zich)	to excuse (oneself)
gewoonlijk	usually
verraden	to betray
zenuwachtig	nervous
heup	hip
ernaar	to it, at it, after it
onzichtbaar	invisible
bekennen	to confess
hitte	heat
moeilijkheid	difficulty
zakdoek	handkerchief
vanmiddag	this afternoon
fluiten	to whistle
hemd	vest, shirt
spoedig	soon
aandachtig	attentive
alstublieft, alsjeblieft, a.u.b.	please
peinzen	to ponder
diepte	depth
sluipen	to sneak
spotten	to joke, to mock
kreunen	to groan
grinniken	to chuckle
troosten	to comfort
overhemd	shirt
vaart	speed
fantasie	fantasy
wond	wound
duisternis	darkness
kou	cold
roerloos	motionless
afloop	end
lui	people
hoorn	receiver, horn
vriendschap	friendship
haak	hook
parkeren	to park
portier	1) door 2) doorkeeper
taxi	taxi
beven	to tremble
vreugde	joy
uniform	uniform
pols	wrist
rechterhand	right hand
struik	bush
eenzaamheid	loneliness
ruk	jerk
pan	pan
graf	grave
vannacht	tonight, last night
wuiven	to wave
dol	crazy
opsteken	to light up
emotie	emotion
slingeren	to swing
hartelijk	warm
klappen	to clap
laars	boot
elleboog	elbow
vlam	flame
gemeen	mean
sissen	to hiss
verwarring	confusion
zojuist	just (now)
vanmorgen	this morning
pet	cap, hat
praatje	talk, chat
zwellen	to swell
ongeduldig	impatient
turen	to stare
geslacht	sex
zoenen	to kiss
boterham	sandwich
doch	but
blozen	to blush
bidden	to pray
wonderlijk	wonderful
lift	lift
betreden	to enter
drogen	to dry
teleurstellen	to disappoint
arriveren	to arrive
zilveren	silver
scheren	to shave
brullen	to roar
vochtig	moist
opkijken	to look up
dwalen	to wander
gloeien	to glow
smijten	to throw, to fling
bescheiden	modest
weglopen	to walk away, to run away
roos	rose
bemoeien (zich)	to interfere
schoot	lap
zeuren	to whine, to nag
snuiven	to sniff
overvallen	to surprise, to overtake to raid, to assault
langzamerhand	gradually
schedel	skull
deuropening	doorway
onderdrukken	to suppress
likken	to lick
afwezig	absent
krul	curl
giechelen	to giggle
dekken	to cover
kont	bottom
verbeelding	imagination
versleten	worn
grootmoeder	grandmother
ontroeren	to move
amuseren (zich)	to amuse
bek	mouth
schaamte	shame
portret	portrait
aardappel	potato
plas	puddle
ruw	rough
spoelen	to wash
hel	hell
haasten (zich)	to hurry
lichten	to lift
begrafenis	funeral
engel	angel
irriteren	to irritate
onrustig	restless
huiskamer	living room
sok	sock
verrassing	surprise
uitgeput	exhausted
groeten	to greet
rinkelen	to ring
struikelen	to stumble
bewondering	admiration
ontwijken	to avoid
prikken	to prick
wanhoop	despair
lusten	to like
zonlicht	sunlight
hak	heel
ontwaken	to wake up
wijf	woman, broad
bladeren	to glance through
halfuur	half (an) hour
kaars	candle
opluchting	relief
zolder	loft
verdomd	damn(ed)
loslaten	to let go, to release
begroeten	to greet
piepen	to squeak
sigaar	cigar
kraan	tap, crane
verheffen (zich)	to rise
venster	window
lap	rag
voetstap	footstep
uitsteken	a) to hold out b) to stick/stand out
driftig	angry, short-tempered
hoer	whore
verbijsteren	to bewilder
eigenaardig	peculiar
douche	shower
spier	muscle
opbellen	to call (up)
handdoek	towel
gevel	façade
schelden	to curse
bot	bone
straal	beam
emmer	bucket
snor	moustache
grauw	grey
vluchtig	brief, quick
persen	to press
plechtig	solemn
mand	basket
meegaan	to go (along) with
ontgaan	to escape
intens	intense
vergeven	to forgive
tamelijk	rather
troost	comfort
baard	beard
poetsen	to clean
verbreken	to break up/off
wringen	to worm
tapijt	carpet
zenuw	nerve
geheimzinnig	mysterious
volmaakt	perfect
koek, koekje	biscuit
schuur	barn, shed
nietwaar	is(n’t) it
spijten	to regret
vrijen	to make love
horizon	horizon
daarnet	just (now)
hok	shed
meubel	piece of furniture
erachter	behind (it, them)
knopen	to knot, to tie
druipen	to drip
stiekem	secret
spannen (zich)	to tense, to tighten
soep	soup
geduldig	patient
zweten	to sweat
staal	steel
geleiden	to guide, to lead
ongerust	anxious
uitstrekken	to reach out
balkon	balcony
nest	nest
wagen (zich)	to risk
kier	crack
linkerhand	left hand
wal	quay
grommen	to growl
onverschillig	indifferent
drempel	threshold, doorstep
smeren	to spread, to butter
omhelzen	to embrace
kaak	jaw
ketting	chain
onttrekken (zich)	to withdraw
overheen	across, over
minnaar	lover
onvermijdelijk	inevitable
verheugen (zich)	to be happy
nieuwsgierigheid	curiosity
oneindig	infinite
genot	delight
treurig	sad
knielen	to kneel
voorbijgaan	to pass
scène	scene
verdiepen (zich)	to go into, to be caught up in
plagen	to tease
gretig	eager
mat	mat
vingertop	fingertip
afschuwelijk	horrible
wankelen	to stagger
dof	dull
krijsen	to shriek, to scream
snikken	to sob
erom	around it about it
blinken	to shine
wenken	to beckon
kruisen	to cross
razen	a) to race b) to rage
hijzelf	himself
opendoen	to open
koperen	copper
fraai	beautiful
whisky	whisky
gebaren	to gesture
villa	villa
verontwaardigd	outraged, indignant
krabben	to scratch
zweren	to swear
oprapen	to pick up
kachel	stove, heater
verzinken	to sink
bloeden	to bleed
tik	tap
rillen	to shiver
doodstil	stock-still
raadsel	mystery
onrust	unrest
onhandig	awkward
beroerd	miserable
poes	cat
kraag	collar
fronsen	to frown
huiveren	to shiver
overhandigen	to hand (over)
tafereel	scene
stikken	to choke
vreten	to stuff
daarachter	behind it, behind them
echtpaar	couple
ernst	seriousness
vergaan	to perish
kroeg	pub
brok	piece
krankzinnig	insane
blaffen	to bark
vensterbank	windowsill
bewustzijn	awareness
schuifelen	to shuffle
gek	fool, idiot
cirkel	circle
kleven	to stick
urenlang	endless, for hours
smerig	dirty
knaap	boy
duister	dark
wapperen	to blow
kauwen	to chew
afkeer	aversion
opdat	so that
ontdoen	to remove, to discard
lepel	spoon
verlossen	to release, to free
Hollands	Dutch
zinken	to sink
oprecht	sincere
veer	a) feather b) spring
opschieten	to hurry up
aanblik	sight
ernaast	next to it, beside it
menigte	crowd
neuken	to screw
knipperen	to blink
ergernis	annoyance
slank	slim
triomfantelijk	triumphant
rek	rack
vermoeien	to tire (out)
opschrijven	to write down
misselijk	sick
verven	to paint
benauwd	stuffy
nauwkeurig	accurate
kruk	stool
hulpeloos	helpless
innerlijk	inner
eeuwigheid	eternity
rond, rondje	round
voorlezen	to read (aloud)
stampen	to stamp
deksel	lid
ditmaal	this time
rots	rock
verschuilen (zich)	to hide
plooi	pleat, crease
ofschoon	although
wreed	cruel
nalaten	a) to refrain from b) to leave
gelaat	face
stuiten	to encounter to stop
gracht	canal
dominee	vicar
sla	lettuce
leegte	emptiness
berusten	to resign oneself to
doven	to extinguish
vermoeid	tired
wikkelen	to wrap
