bir	a, an
sık	(v) to squeeze (adv) frequent
koru	(v) to protect (n) grove, small wood
görev	duty, assignment
savaş	(n) war (v) to fight, to battle
madde	matter, substance
kısa	short
kaynak	source
gelir	income
yeniden	once again
parti	party
merkez	center
hazırla	to prepare
şöyle	thus
yazı	writing
hizmet	service
akıl	mind, reason; wisdom
başkan	president
bölüm	part, portion, section
fakat	but, however, yet
gerçek	real, true, genuine
örnek	example, sample
haber	news
belirle	to determine
oran	ratio; proportion
öğrenci	student
program	program; schedule
belli	obvious
yön	direction
topla	to gather; to collect
oda	room
seç	to select; to choose
gelecek	future, next
doğ	to be born
mümkün	possible
inan	to believe
hatta	even, moreover
değerlen	to gain value
kültür	culture
tart	to weigh
arka	back
hava	air; weather
ayak	foot
toprak	earth, soil
aslında	in fact
ayrıca	separately; additionally
üniversite	university
daya	to lean
düzey	level, rank
can	soul; life
asker	soldier
hangi	which
kapa	to close, to shut
dol	to get full, to fill
benze	to resemble
bas	to step on; to print, to press
uygun	appropriate
eğer	if, unless
sosyal	social
ana	mother; main
çıkar	benefit
sınıf	class, category
din	(n) religion (v) to stop, to cease
üretim	production
kurum	institution
büyü	(v) to grow (n) magic, spell
film	film, movie
bağlı	tied to; bound to
unut	to forget
in	(v) to descend; to get off (n) lair, cave
birkaç	a few
seçim	election; selection
ekonomik	economic
ürün	product, produce
ihtiyaç	necessity
gönder	(v) to send (n) flagpole
etkile	to affect; to influence
deniz	sea
incele	to analyze
ders	lesson; course
san	to suppose; to imagine
sat	to sell
bey	gentleman
yüzde	percent
varlık	existence
üye	member
yardım	help, aid
yemek	food, meal, eating
politika	politics, policy
duygu	feeling, sense
kaldır	to lift, to raise
oyun	game
görüş	point of view; vision
oğul	son
derece	degree
dinle	to listen
ileri	front; forward; advanced
gazete	newspaper
kötü	bad
birçok	a lot of
bilim	science
ölüm	death
hükümet	government
sun	to present; to submit
yat	(v) to lie down (n) yacht
kar	(v) to mix; to blend (n) snow; profit
ortam	milieu, medium
telefon	telephone
sabah	morning
uzak	remote, far
ele	to sieve
götür	to take to
yazar	writer, author
parça	piece, fragment
şehir	city
kısım	part, section
aşk	love
önem	importance
hafta	week
köy	village
yabancı	(adj) strange; foreign (n) stranger, foreigner
yüksel	to rise
hatırla	to remember
kolay	easy
kent	city
kavram	concept
örneğin	for example
yöntem	method
böylece	in this way
aşağı	bottom; lower, down
ayrı	separate, apart
çeşitli	varied, various
tane	piece
hisset	to feel; to perceive
dönüş	(v) to turn into (n) turning, rotation; return
rağmen	despite
ışık	light
yukarı	up, upstairs; upper
öde	to pay
yet	to suffice
tamam	the whole, complete; okay
cevap	answer, reply
duru	clear
gerçekten	truly
bakım	maintenance, care
şirket	company
üret	to produce
hız	speed
tekrar	(n) repetition (adv) again
akşam	evening
sürekli	continuous
bağla	to tie
vur	to hit, to strike
ait	belonging to
hayır	no; donation
koşul	condition
araştırma	research, investigation
sebep	cause, reason
öte	further
isim	name
sanki	as if
YANLIŞ	wrong, false
kafa	head; mind
kimi	some
ölçü	measurement
ortak	(adj) common (n) partner, associate
proje	project
yetiş	to catch
renk	color
ilişkin	related to
yasa	law
tabii	natural; of course
meydan	square (city)
öğretmen	teacher
azal	to lessen; to decrease
yalnız	alone; only
davranış	behavior
yerleş	to settle
dışarı	out
plan	plan
birinci	first
sokak	street
dolayısıyla	hence; accordingly
sağ	alive; right side
beraber	together
kuruluş	establishment
kardeş	brother/sister; sibling
uy	to fit
kanun	law, statute
kork	to fear
çoğu	most of
hedef	target; mark
mal	goods, property
savun	to defend
gerekli	necessary, needed
işlem	procedure
doğu	the East
yüzyıl	century
iz	track, trace
fikir	idea, thought, opinion
faaliyet	activity
sektör	sector
sanat	art
toplumsal	social
kurul	committee
hoca	teacher; hodja
mücadele	struggle
enerji	energy
kaybet	to lose
sağlık	health
destek	support
boz	(v) to damage (adj) gray
millet	nation
koş	to run
tak	to attach; to wear
işçi	worker, employee
ekonomi	economy
acı	(n) pain; bitter (v) to hurt; to become bitter (adj) bitter to the taste; hot, peppery
sevgi	love, affection
yönelik	directed
araç	tool, vehicle
geniş	wide, broad
teknik	technique
bazen	sometimes, now and then
sınır	limit, border, boundary
ağız	mouth
doğal	natural
nitelik	quality
sol	(n) left (v) to become pale, to fade
ilgi	interest
hanım	lady
çöz	to solve; to untie
toplantı	meeting, gathering
toplam	total, sum
çalışan	employee, working
banka	bank
yana	towards
rol	role
yarı	half, semi
kon	to put; to land
örgüt	organization
uluslararası	international
doktor	doctor
çevir	to rotate, to turn; to translate
eş	(n) pair; mate (v) to dig (adj) identical
abi	(older) brother
batı	the West
kol	arm
çözüm	solution
ardından	following
kontrol	control
müzik	music
hukuk	law
dost	friend
veri	data
teknoloji	technology
değişiklik	change, alternation
araba	car
kamu	public
polis	police
kap	(v) to grab, to seize; to catch (n) pot, plate, container
ağır	heavy
boyunca	alongside; throughout
boy	height; length
kural	rule
yardımcı	aide, helper
anlayış	understanding
pazar	market
ruh	soul, spirit
kır	(v) to break (n) countryside (adj) gray
model	model
şiir	poem, poetry
çal	to steal; to play an instrument
siyasi	political
herhangi	whichever, any
bakış	glance; view
başarı	success
hesap	calculation
milli	national
yavaş	slow
piyasa	market
çerçeve	frame
şart	condition
ciddi	serious
niye	why
yalnızca	just; only
yakala	to catch
güvenlik	security, safety
beri	since
izin	permission
miktar	quantity
birey	individual
tercih	preference
düzen	order
il	city
hastalık	illness, sickness
cumhuriyet	republic
tip	type
talep	demand
dakika	minute
masa	table
kesim	part, portion; sector
resim	picture, photograph
beyaz	white
yaklaşmak	to approach
ağla	to cry
hayvan	animal
vergi	tax
başkası	someone else
kimlik	identity
öğret	to teach
televizyon	television
güneş	sun
duvar	wall
fiyat	price
taş	(n) stone (v) to boil over
siyasal	political
kan	blood
dolu	full, filled
giy	to put on, to wear
tanımla	to define
yansı	to echo; to reflect from
eser	work, opus
güven	(v) to trust (n) trust
ilke	principle
henüz	yet
boyut	dimension
uza	to get longer
defa	time
sanayi	industry, industrial
güçlü	strong, powerful
falan	or anything like that
sar	to wrap, to roll
işaret	sign
birleş	to unite
esas	fundamental
sevgili	beloved
eylem	action
kıl	human hair
çaba	effort
sene	year
hani	so
uğra	to stop by
kelime	word
fotoğraf	photograph
suç	crime
bahçe	garden
ceza	punishment
aş	(v) to cross over (n) food, cooked food
ekle	to add
yönetici	manager; administrator
birden	suddenly
iktidar	ruling body, power
içer	to include, contain
değişik	different, unusual
koca	husband
yaklaşım	approach
dolayı	because of, due to
ticaret	trade, commerce
tamamla	to complete
demokrasi	democracy
sok	to insert
yatırım	investment
ters	adverse, reverse
üçüncü	third
nüfus	population
özgürlük	freedom, liberty
yıllık	annual, yearly
beyin	brain
derin	deep; profound
yay	(v) to spread (n) bow, arc
artış	increase
hayal	fantasy
değişim	change
karı	wife
müdür	director, chief, headmaster
yaklaşık	approximate, approximately
metin	text
istek	wish, desire
kalp	heart
sıcak	hot
harca	to spend
mevcut	present
saç	(n) hair (v) to scatter
korku	fear
hızlı	rapid, speedy
mektup	letter
meslek	profession, occupation
evlen	to marry
iddia	claim
dök	to pour
takım	team
kişilik	personality
çiçek	flower
katkı	contribution
çağır	to call; to invite
zarar	damage
kriz	crisis
kullanım	use, usage
yönel	to head towards
olanak	opportunity; means, resource
ulusal	national
gez	to stroll; to go around
lazım	required, necessary
kurtul	to be rescued
firma	firm, company
mesela	for example
dene	to try, to test
sermaye	capital
çağ	era, epoch, age
rapor	report
dağ	mountain
mahkeme	law court
kara	(adj) black, dark (n) land
ilerle	to go forward
sahne	stage
merak	curiosity
ilgilen	to show interest; to take care
destekle	to support
hazır	ready, prepared
mutlu	happy
düşük	low; fallen; reduced
iletişim	communication
vakit	time
aşama	level
çiz	to draw
acaba	I wonder
davran	to treat
dolaş	to stroll; to tangle
gözle	to watch; to observe
yatak	bed
şaş	to amaze
bilgisayar	computer
paylaş	to share
basın	press
yanıt	answer, reply, response
uyan	to wake up
hoş	pleasant
meclis	assembly
hasta	sick, ill
çoğunluk	majority
ateş	fire, fever
normal	normal
baskı	press; pressure; print
dün	yesterday
uç	(v) to fly (n) tip (adj) extreme
problem	problem
şarkı	song
kulak	ear
köşe	corner
dergi	periodical, magazine
rahat	(adj) comfortable, relaxed (n) comfort
belediye	municipality
geçmiş	past
sözcük	word
anayasa	constitution
kurtar	to save; to rescue
doğa	nature
tepki	reaction
gündem	agenda
dava	lawsuit; case
birer	each, one each
mesele	matter, issue
yara	wound
kuş	bird
pay	share, lot
yararlan	to benefit from
aktarmak	to transfer; to carry over
genellikle	generally
bina	building
vurgula	to emphasize
kop	to break off
bağır	to shout
çay	tea
hüküm	verdict
çarp	to bump, to crash; to multiply
sıkıntı	distress, trouble
karanlık	dark
etkinlik	activity
inanç	belief
sigara	cigarette
ağaç	tree, wood, timber
resmi	official
tamamen	totally, completely, entirely
başarılı	successful
tablo	table; painting
gizli	secret; hidden
kay	to slide
birim	unit
sorumluluk	responsibility
ak	(v) to flow (adj) white
yeterli	sufficient
dal	(n) branch (v) to dive; to lose oneself in
boş	empty
paşa	pasha; army general
etraf	surroundings
bakanlık	ministry
beden	body; size
yaşlı	old
giriş	entrance
oy	(v) to carve (n) vote
silah	arm, weapon
başbakan	prime minister
vazgeç	to give up
yürek	heart; courage
ata	(v) to appoint (n) ancestor
bitki	plant
asıl	original; fundamental
bahset	to mention
teşekkür	thanking
planla	to plan
aday	candidate
fırsat	opportunity
etkili	effective
zorla	(v) to force (adv) forcefully
engelle	to obstruct, to block
emir	order; prince
lira	lira
uyu	to sleep
uğraş	(v) to struggle; to deal with (n) occupation
günlük	daily; diary
soğuk	cold
canlı	living; animate
doğrudan	directly
ordu	army
tarz	style; manner
itibaren	from
besle	to feed
değ	to touch
görüntü	image; appearance
belge	document
öncelik	priority
ünlü	famous
vücut	body
lider	leader
ince	thin; slim
saygı	respect
siyaset	politics
mutlaka	absolutely
kesin	certain, definite; absolute
başar	to succeed in
elbette	of course, surely
sapta	to determine
çizgi	line
roman	novel
unsur	element
borç	debt, loan
konum	location
yıldız	star
öteki	the other
öner	to propose
üstelik	even more, further more
hızla	rapidly
yoğun	intense, dense
herhalde	possibly, probably
başlangıç	start, beginning
salon	living room, hall
kaynaklan	to originate from
kuvvet	strength, power, force
kenar	side, edge
yurt	homeland, country
milletvekili	member of parliament
kayıp	loss, missing
yık	to demolish
rastla	to run into
düşman	enemy
önle	to prevent
mesaj	message
hücre	cell
idare	administration
pencere	window
olumlu	positive, affirmative
ilginç	interesting
kere	time; times
faktör	factor
kuzey	North
bakan	minister
balık	fish
kayıt	record
kırmızı	red
dert	trouble
erken	early
kaydet	to record
bula	to cover with
uzan	to lie down; to stretch out
sayfa	page
dahil	including
serbest	free
cümle	sentence; totality
sakla	to hide; to conceal
yetki	authority
zengin	rich, wealthy
öykü	story
ada	(n) island (v) to devote
hastane	hospital
yolla	to send
tavır	manner, attitude
seyret	to watch
gönül	heart
belirli	definite, specific, certain
malzeme	material, supplies, equipment
satış	sale
tespit	conclusion
top	ball
umut	hope
diğeri	the other one
kredi	credit
farklılık	difference
çıkış	exit
bazısı	some of which
tedavi	cure, treatment
böl	to divide
tarım	agriculture
ziyaret	visit, call
uzman	expert, specialist
üz	to upset; to sadden
temsil	representation
dik	(v) to plant; to erect (adj) straight, steep, upright
şiddet	intensity, severity; violence
ek	(v) to plant; to spread (n) supplement, appendix
karşın	in spite of
yit	to disappear, to vanish
yeşil	green
internet	internet
bebek	baby
hesapla	to calculate; to estimate
ocak	cooker, oven; January
vatandaş	citizen
denge	balance
barış	(n) peace (v) to make peace, to reconcile
ortalama	average, mean
yorum	interpretation, comment
hata	mistake, error, fault
engel	obstacle, difficulty; handicap
memur	civil servant, bureaucrat
uzaklaş	to leave, to move away
tepe	hill; top
olumsuz	negative
takip	follow-up, pursuing
öz	self, essence
yönet	to manage; to rule; to govern
müşteri	customer
okur	reader
topluluk	group, community
yerel	local
ücret	fee; wage
bilinç	consciousness
girdi	input
gemi	ship, vessel
sözleş	to make an appointment; to agree
sınav	examination, exam
yağ	(v) to rain, to snow (n) oil, fat
olgu	fact, case
aydın	intellectual
hafif	light; easy
tehlike	danger
öğretim	education, instruction
kalem	pen, pencil
yayınla	to publish; to broadcast
kaza	accident
dizi	string (of beads); row; series
algıla	to perceive, to realize
değerli	valuable
tanım	definition
modern	modern
maliyet	cost
bağ	tie
güney	south
öneri	suggestion, proposal
adet	number, piece
aralık	interval, gap; December
sil	to wipe up
tiyatro	theater, drama as an art
hala	aunt, father’s sister
uçak	airplane
itibar	esteem, regard, prestige
görevli	in charge, on duty
koku	smell, odor
kalite	quality
tahmin	guess; estimation
alış	to get used to
ilaç	medicine, drug
analiz	analysis
sorumlu	responsible
devrim	revolution
takdir	appreciation
gelenek	tradition, custom
yarar	benefit
orman	forest, wood
seviye	level
risk	risk
hat	line
kültürel	cultural
uyku	sleep
efendi	gentleman
doğrusu	actually, really
cep	pocket
felsefe	philosophy
sefer	journey; time
ağ	net; network
çeşit	kind, sort, variety
parmak	finger; toe
düzel	to become smooth; to improve
yetkili	authorized
güzellik	beauty; kindness
makine	machine
sanatçı	artist, craftsman
atla	to jump; to skip
neredeyse	soon; almost, nearly
kavuş	to rejoin, to reunite; to reach
diş	tooth; tusk
rekabet	rivalry, competition
edebiyat	literature
kapsam	scope, extent
sinema	cinema
eğilim	tendency, inclination
yetenek	ability, capability, talent
spor	sport
başlık	headgear; headline, title
emin	safe, secure; sure
kitle	mass; crowd of people
kanal	channel
otel	hotel
basit	simple
hele	above all, especially, in particular
eylül	September
haklı	right; rightful
patla	to burst, to explode
gelişim	development, growth
daire	circle; apartment, flat
teklif	proposal, offer
siyah	black; dark
er	(v) to attain; to reach (n) private
yağmur	rain
birşey	something
yargı	opinion; judgment
saldırı	attack
asla	never, by no means
heyecan	excitement, thrill
sus	to remain silent
yükle	to load
beğen	to like, to admire
kıyı	shore, coast, bank
rüya	dream
sırt	back, dorsal side (of a person or animal)
yen	to beat
oyuncu	player
başvur	to apply; to consult
yalan	lie
dokun	to touch
tutum	manner, attitude
husus	matter, subject; case
altın	gold
şans	luck, chance
insanlık	mankind
kalabalık	(adj) crowded (n) crowd
öngör	to foresee, to envisage
kapalı	shut, closed; covered
devir	(n) rotation; period, era (v) to turn over
eşya	things, belongings
başkanlık	presidency
bağımsız	independent
tatlı	sweet; pleasant, nice
bütçe	budget
uyum	harmony; adaptation
aşırı	excessive, extremely
standart	standard
gazeteci	journalist
bilimsel	scientific, scholarly
komşu	neighbor
mutluluk	happiness, joy
işbirliği	cooperation
girişim	attempt; enterprise, initiative
işlev	function
denetim	inspection; control
elektrik	electricity; electric
abla	older sister
yaprak	leaf
eleştiri	criticism
dalga	wave
kahve	coffee; café
sivil	(n) civilian (adj) civil
gülümse	to smile
ömür	life
kavga	quarrel, fight; struggle
organ	organ
dair	about, concerning, relating to
dahi	(n) genius (conj) also, too; even
gençlik	youth; the young
benimse	to adopt, to internalize
evlilik	marriage
anı	memory
boşluk	emptiness
yıka	to wash
geçerli	valid
kış	winter
davet	invitation
buyur	to command, to order
müdahale	intervention, interference
mahalle	neighborhood; quarter
çift	pair; couple
teslim	delivery; submission
örgütle	to organize
kaybol	to disappear
dağıt	to distribute; to scatter
usta	master; expert; artist
medya	media
liste	list
ekmek	bread
lise	high school
sert	hard, tough; strong
memleket	country, homeland
emek	work, labor
cam	glass
genişle	to widen, to broaden
it	(v) to push (n) stray dog
köpek	dog
deri	skin; leather
dede	grandfather
doğrultu	direction
laf	remark, word
öncelikle	first of all
yayımla	to publish; to broadcast
şair	poet
öp	to kiss
sultan	sultan
tesis	establishment; facility
demokratik	democratic
adalet	justice
yorumla	to interpret
tören	ceremony
eksik	missing, deficient
bol	plentiful, abundant
tanrı	God
dini	religious
sevinç	joy, delight, happiness
zorunlu	obligatory; compulsory
özgür	free
yaygın	widespread; prevalent
sıkı	(adj) tight, firm (adv) tightly, firmly
salla	to wave; to shake
burun	nose
sağlam	healthy, strong
önlem	measure; precaution
yolculuk	journey, trip; voyage
suçla	to accuse
nitekim	likewise; thus, hence
geçiş	passing, crossing; transition
gaz	gas
uyar	to warn; to stimulate
yasak	prohibition; ban
eğ	to lean, to bend
ilan	announcement; advertisement
içerik	content
ekip	team, crew
deprem	earthquake
not	note; grade
arzu	wish, desire, longing
oluşum	formation; constitution
büyüklük	size; greatness
sırala	to line up; to arrange
sürü	(n) herd, flock (v) to drag along
es	to blow
nükleer	nuclear
yarım	half
koltuk	armchair
rejim	regime; diet
tehdit	threat, menace
mavi	blue
eşit	equal
komisyon	commission, committee
temsilci	representative, delegate
gözde	favorite
petrol	petrol, oil
sergile	to exhibit, to display; to show
kuru	(v) to dry, to get dry (adj) dry, dried
ulus	nation
çocukluk	childhood
köylü	villager, peasant
bayram	religious festival, national holiday
sağlıklı	healthy
demir	iron
gerekçe	justification, ground
hazırlık	preparation
dek	until, till
suret	form; manner
parçala	to smash up, to tear
sınırlı	bounded; limited
numara	number
faiz	interest
beklenti	expectation, anticipation
doğum	birth
geleneksel	traditional
kesinlikle	definitely, certainly, absolutely
fabrika	factory, plant
bağlantı	connection
otobüs	bus
imkan	possibility; opportunity
kale	castle; goalpost
sessiz	quiet, silent
karakter	character
kart	(n) card (adj) aged; stale
radyo	radio
sıcaklık	heat, warmth
kök	root; origin
ihracat	export
sığ	(v) to fit into (adj) shallow
yerli	local, native
sarı	yellow; blond; pale
etkin	active; effective
ısın	to warm, to heat up
rahatsız	uncomfortable; uneasy
cami	mosque
aracılık	mediation
zemin	ground; floor
kişisel	personal
mayıs	May
sohbet	conversation, chat
strateji	strategy
ton	ton
ilçe	district, country
anımsa	to remember, to recall
dernek	association, society
adım	step
aylık	monthly; salary
yazık	pity, shame
nefes	breath
mali	fiscal, financial
kapsa	to contain, to cover
yazılı	inscribed; written; registered
amca	(paternal) uncle
gelin	bride; daughter-in-law
personel	personnel, staff
servis	service
galiba	probably, likely
gösteri	show; performance
eleştir	to criticize
tatil	holiday, vacation; rest
bacak	leg
fakülte	faculty
zayıf	weak; thin
tüketim	consumption
huzur	tranquility, peace
kedi	cat
kahraman	hero, heroine
don	(v) to freeze (n) pants; frost
maç	match
halka	hoop; circle; ring
yayın	publication; broadcast
bağlam	context
rakam	digit, numeral
kuşak	generation
teori	theory
eleman	staff, employee
as	to hang, to suspend
kadro	staff, personnel, group
seslen	to call out; to address
devre	period; session; circuit
dayalı	based on/upon
cumhurbaşkanı	president
kavra	to comprehend; to grasp
akım	current; trend
deneyim	experience
kamuoyu	public opinion
gök	sky
imza	signature
güçlen	to get strong
dip	bottom, base
söylem	discourse
tıpkı	identical, same; just like
zira	because
kral	king
filan	so and so, or some
döv	to beat
tat	(n) flavor, taste (v) to taste
site	building complex; site
niçin	why?, what for?
saray	palace
zevk	pleasure, delight
yönlen	to direct toward
deli	insane, crazy, mad
çağdaş	contemporary
ödül	prize, reward
çök	to collapse
mekanizma	mechanism
ölü	dead
garip	strange, unusual
deyiş	saying; poem
ertesi	next, following
net	clear, sharp
öğle	noon
imzala	to sign
teşvik	encouragement; motivation
niyet	intention, purpose
reddet	to refuse, to decline
nesne	thing; object
ört	to cover; to hide; to shut
ölç	to measure; to evaluate
sır	secret, mystery
reklam	advertisement
operasyon	operation, surgery
mart	March
potansiyel	potential
birtakım	some
çabuk	quickly
paket	package, parcel
saha	field, area, region
zihin	mind, intellect
adeta	as if
komutan	commander
darbe	hit
ayı	bear
ekim	sowing, planting; October
meyve	fruit
kanat	wing
olasılık	probability
civar	neighborhood, vicinity
turizm	tourism
üstlen	to undertake
dudak	lip
süt	milk
yarış	(v) to race; to compete (n) race, competition
mantık	logic; reason, sense
mezun	graduate
terör	terror
kutla	to congratulate; to celebrate
dinlen	to rest, to relax
ihtimal	probability, possibility
klasik	classic, classical
kapasite	capacity
yasal	legal; lawful
şeker	sugar; candy
omuz	shoulder
çoğal	to increase; to multiply
boya	(v) to paint, to dye (n) paint
karşılıklı	mutual, reciprocal
bardak	glass
anlamlı	meaningful
göç	(v) to migrate (n) migration, immigration
dar	narrow; tight
dağıl	to scatter, to disperse
puan	point; score
tüketici	consumer
yavru	young animal; child
işgal	occupation
amaçla	to aim, to intend
boşal	to become empty
yumurta	egg
uğur	charm, luck
kağıt	paper
nisan	April
dua	prayer
defter	notebook
cinsel	sexual
temiz	clean; fresh
egemen	sovereign
renkli	colored; colorful
gecik	to be late
park	park; car park
ufak	small, little, young
bat	to sink
katılım	participation, attendance
fırla	to pop out, to rush out
kutu	box, case
zorluk	difficulty, hardship
yapım	construction
cins	type, kind; breed
fayda	use, benefit, advantage
tarihsel	historical; historic
metre	meter
dosya	file, dossier
sınırla	to limit
yargıla	to judge
maddi	material, physical
arazi	land; fields
temas	contact, touch
kilise	church
gölge	shadow; shade
politik	political, politic
temizle	to clean
öğe	element, component
yoğunlaş	to become dense, to thicken
tren	train
yakından	closely; intimate
sap	(v) to turn to; to deviate (n) handle
ayrıntı	detail
yeterince	enough, sufficiently
katı	hard, rigid; tough
çözümle	to analyze
pratik	practical; handy
yor	to tire
kaygı	anxiety, worry
adlandır	to name
ez	to crush; to mash
alışkanlık	habit
vatan	fatherland
iyileş	to get better; to recover
irade	willpower
hedefle	to aim
ayna	mirror
emekli	retired
gösterge	indication, sign; index
sorgula	to interrogate
kuşkusuz	certainly, undoubtedly
trafik	traffic
özgü	peculiar
gereksinim	need, requirement
konuk	guest
test	test
derle	to compile, to collect
kasım	November
yüzey	surface
alın	forehead
perde	curtain
namaz	prayer
sabit	fixed, stable, constant
kaya	boulder
harf	letter
taban	floor; base
eri	to melt, to dissolve
yöre	region, neighborhood
memnun	pleased, content
dolar	dollar
yapılan	to structure
terim	term
eskiden	formerly, previously
mutfak	kitchen
kilo	kilo
dağılım	distribution; dispersion
performans	performance
enflasyon	inflation
sula	to water
cephe	front, side
peygamber	prophet
ucuz	cheap
eksiklik	lack, deficiency, shortage
egemenlik	sovereignty, dominance
nihayet	at last, finally
alışveriş	shopping
marka	trademark, brand
öfke	anger, rage
ağırlık	weight
birik	to accumulate
dev	giant
bireysel	individual
birikim	saving
doy	to be satiated, to be full up
kurban	sacrifice; victim
kocaman	huge, enormous
emniyet	safety; confidence
çanta	handbag
ayakkabı	shoe
aynen	just like
tıp	medicine
sonsuz	endless, eternal; infinite
göğüs	chest; breast, bosom
tarif	description; definition
kalın	thick
bedel	value, worth
inşa	construction
ideoloji	ideology
geçici	temporary, transitory
kayna	to boil
yasakla	to forbid, to ban
ticari	commercial
elbise	dress
boşa	to divorce
boğ	to choke, to suffocate
kayıtlı	enrolled, registered
