coger	to hold, take, catch
durar	to last
paciente	patient
lenguaje	language, speech
habitante	inhabitant
original	original
consistir	to consist of
labor	labor, work, task
presión	pressure
analizar	to analyze
tono	tone
recuperar	to recuperate, recover
chica	girl, female
esconder	to hide, conceal
prácticamente	practically
introducir	to introduce, bring in
individuo	individual, person
entero	entire, whole, complete
pegar	to hit, stick (on)
cobrar	to charge (money)
circunstancia	circumstance
doce	twelve
verano	summer
encima	above, on top, in addition
nota	note, grade
velocidad	speed, velocity
salida	exit, escape, outcome
manifestar	to express, show
italiano	Italian
hombro	shoulder
administración	administration
transformar	to transform, change
recursos	resources
septiembre	September
matrimonio	marriage, married couple
familiar	familiar, of the family
dificultad	difficulty, obstacle
víctima	victim, casualty
líder	leader
básico	basic, essential
equilibrar	to balance
participación	participation, involvement
idioma	(specific) language
saltar	to jump, leap, hop
unión	union
ejercicio	exercise, practice
hotel	hotel
culpa	blame, fault
diciembre	December
inmediato	immediate
régimen	regime, diet
juez	judge
beneficio	benefit, profit
peligro	danger, menace
intención	intention
amiga	friend (f)
enero	January
norma	standard, pattern, norm
opción	option, choice
americano	American
independiente	independent, self-sufficient
acceso	access, entry
sábado	Saturday
vídeo	video
corte	court (f), cut (m)
manejar	to drive, handle
seco	dry, arid
ordenar	to put in order, organize
completamente	completely
indio	Indian
caber	to fit (into)
positivo	positive
lista	list, roster, roll
coche	car, carriage
respetar	to respect
inversión	investment, outlay
directamente	directly, straight away
límite	limit
jardín	garden
placer	pleasure
patio	courtyard, playground, yard
encargar	to entrust, [se] take charge of
concluir	to conclude, finish
asistir	to attend
cerrado	closed
encantar	to be very pleasing to
literario	literary
seguramente	surely, securely
tía	aunt
comienzo	start, beginning
lectura	reading
asumir	to assume, take on
componer	to compose, be part of
propósito	intention, purpose
abogado	lawyer
funcionario	civil servant
hogar	home, hearth
cocina	kitchen
quince	fifteen
merecer	to deserve, be worthy (of)
masa	mass, dough, bulk, crowd
revelar	to reveal, disclose
reflejar	to reflect
alegría	joy, happiness
exponer	to expound, expose
tradicional	traditional
adecuado	adequate, suitable
relacionar	to relate
dominar	to dominate, master
pese	in spite of
británico	British
enterar	to find out [se]
fenómeno	phenomenon
musical	musical
marzo	March
espejo	mirror, reflection
obstante	however, nevertheless
ejercer	to practice, exercise
periodista	journalist
ministerio	ministry
situar	to situate, place, locate
género	sort, gender, genre
dueño	owner, landlord (m)
luna	moon
tender	to tend to, lay out
octubre	October
concreto	concrete, real
plazo	deadline, installment
hola	hello, hi
terrible	terrible
recomendar	to recommend
aprobar	to pass (test), approve
incorporar	to incorporate, include
comisión	commission, committee
bien	goods, property, benefit
sexual	sexual
diverso	different, various, several
arrastrar	to drag, pull
acostumbrar	to be accustomed to
conmigo	with me
informe	report
congreso	congress
viernes	Friday
cercano	near
disco	disc, disk, record
hambre	hunger, starvation
eliminar	to eliminate, exclude
declaración	declaration, statement
web	Internet, web
victoria	victory, triumph
propuesta	proposal, proposition
bastar	to be sufficient
soñar	to dream
implicar	to implicate, imply
silla	chair, seat
describir	to describe
marcha	march, progress
impresión	impression, printing
comunicar	to communicate
marca	mark, brand, trademark
ritmo	rhythm
activo	active
robar	to rob, steal
canal	channel, canal
corriente	current, flow
poesía	poetry, poem
destruir	to destroy, ruin
reciente	recent
fundar	to found, base
doble	double
tendencia	tendency, style
vehículo	vehicle, car
temer	to fear
aparte	apart, aside, separately
actualidad	present (time)
solicitar	to solicit, request
reacción	reaction
contribuir	to contribute
sorpresa	surprise
envolver	to wrap
pérdida	loss
cuello	neck, collar
compromiso	compromise, engagement
ángel	angel
comprobar	to verify, prove
rechazar	to reject
cargar	to load (up), carry
raíz	root
integrar	to integrate, fit in
temperatura	temperature
señal	sign, mark, token
financiero	financial
frecuencia	frequency
discutir	to argue, discuss
banda	(musical) band, sash
confirmar	to confirm
transmitir	to transmit, broadcast
arreglar	to fix, arrange
secretario	secretary
candidato	candidate
exposición	exhibition, display
apuntar	to point, note, aim
daño	harm, injury, damage
club	club, society
atravesar	to cross
novio	boyfriend, groom
bailar	to dance
llamada	call, knock
cruz	cross, burden
punta	tip, point
juventud	youth
acaso	by chance, maybe
pintar	to paint
industrial	industrial
torno	en t. a: around
lindo	pretty, nice, lovely
intelectual	intellectual
derecho	right, straight
referencia	reference, allusion
sujeto	subject, individual
despedir	to say goodbye (to), dismiss
religión	religion
probablemente	probably
baño	bathroom, bath, swim
enseñanza	teaching, instruction
pan	bread
aportar	to provide, contribute
vino	wine
demanda	petition, request, demand
extraordinario	extraordinary, exceptional
adoptar	to adopt
desconocido	unknown
chino	Chinese
fotografía	photograph
golpear	to hit, strike
izquierda	left
constante	constant
parque	park
introducción	introduction
temporada	season, period, time
denominar	to call, name
dispuesto	willing, ready
huir	to flee, run away
dirigente	leader, director, manager
célula	cell (biology)
católico	Catholic
voto	vote
lector	reader, lecturer
diente	tooth, cog
debajo	underneath, below
papa	Pope (m), potato (f)
requerir	to require
universitario	university
lunes	Monday
triste	sad, unhappy
belleza	beauty
explicación	explanation
filosofía	philosophy
desnudo	nude, naked
limitar	to limit
molestar	to bother, disturb, upset
clave	key
proporcionar	to supply
regla	rule, ruler, regulation
amarillo	yellow
líquido	liquid
cadena	chain
barco	boat, ship
dividir	to divide
marchar	to go, leave, march
generalmente	generally, usually
político	politician
diseño	design
confianza	confidence, trust
legal	legal
escenario	stage, setting, scene
general	general
específico	specific
extremo	edge, border, end
intento	attempt, try
leche	milk
crítica	criticism, critique
avión	plane, airplane, aircraft
transporte	transportation, transport
ventaja	advantage, benefit
artístico	artistic
someter	to subject
estación	station, season
representante	representative
moda	fashion, form
entidad	entity
temor	fear
cometer	to commit
competencia	competition, contest
eléctrico	electric
distinguir	to distinguish
afuera	outside
aumento	increase, rise
federal	federal
girar	to rotate, revolve
griego	Greek
imposible	impossible
febrero	February
regalar	to give (as a gift)
interpretar	to interpret
diario	daily
batalla	battle
consumo	consumption
protección	protection
vencer	to overcome, conquer
devolver	to return, give back
agradecer	to thank for
occidental	occidental, Western
poema	poem
encender	to turn on
contrato	contract, agreement
lágrima	tear, teardrop
noviembre	November
carga	load, charge, cargo
educativo	educational
arrancar	to start (machine), uproot
doña	courtesy title (f), Mrs.
inicio	beginning, start
citar	to cite, quote
oposición	opposition
marco	frame, mark, setting
médico	medical
bosque	forest
nombrar	to name, appoint
montar	to ride, mount, assemble
empleo	work, job, occupation
emoción	emotion, excitement
edición	edition, publication
sumar	to add up, amount to
primo	cousin
obligación	obligation
acudir	to attend, go to, frequent
gestión	management, step, negotiation
atrever	to dare
concierto	concert, concerto
asociación	association
constitución	constitution
imperio	empire, fortune
estrategia	strategy
prometer	to promise
preciso	precise, necessary
sexo	sex
montaña	mountain
elevar	to elevate, raise
diálogo	dialogue, conversation
correcto	correct, suitable
volar	to fly
inmediatamente	immediately
categoría	category
fútbol	soccer
romano	Roman
soldado	soldier
medicina	medicine
playa	beach, seaside
reino	kingdom, reign
zapato	shoe
muestra	proof, sample, sign
intenso	intense, acute
absolutamente	absolutely, completely
total	(sum) total
campesino	peasant, farmer
admitir	to admit
democracia	democracy
misión	mission, task
exacto	exact, faithful, true
complejo	complex, complicated
tren	train, convoy
deporte	sport
secreto	secret
criterio	criterion
discurso	lecture, discourse, talk
agente	agent
fresco	cool, healthy, fresh
soledad	loneliness, solitude
planeta	planet
búsqueda	search
pasión	passion, desire
nube	cloud
dudar	to (have) doubt
dado	d. que: given that
aproximadamente	approximately
indígena	indigenous, native
atacar	to attack
aclarar	to clarify, clear up
perdonar	to forgive, excuse
frontera	border, frontier
soportar	to endure, stand (something)
rápidamente	rapidly, quickly
cabello	hair
justo	just
amistad	friendship
profesión	profession, occupation
copa	cup, glass, top (tree)
tienda	shop, store, tent
gas	gas
evento	event
soltar	to release, loosen, let out
kilómetro	kilometer
círculo	circle, club
nervioso	nervous, uptight
salvo	except for, but
atraer	to attract
callar	to be/make quiet
fiel	faithful, loyal
maravilloso	wonderful, marvelous
vivienda	housing, dwelling
mecanismo	mechanism
pago	payment
comité	committee, commission
preocupación	worry, concern
hundir	to sink, submerge
actor	actor
inmenso	immense, vast, huge
cifra	figure, number, amount
esquina	corner
municipio	municipality, town
conclusión	conclusion, end
trasladar	to move, transfer
emitir	to emit, give (off)
posterior	rear, backside
facultad	faculty, ability
auto	auto, car
escaso	scarce, very little
inventar	to invent, make up
excelente	excellent
opinar	to think, be of the opinion
disposición	disposal, disposition
ajeno	not belonging to, detached
personalidad	personality, celebrity
definitivo	definitive, conclusive
intervenir	to intervene
humanidad	humanity, mankind
perseguir	to persecute, pursue, chase
coincidir	to coincide, agree
nuevamente	anew, again
rama	branch, bough, limb
instituto	institute
herramienta	tool
grabar	to record, engrave
perfectamente	perfectly
avance	advance, progress
entrevista	interview, meeting
tardar	to delay, take long
vamos	come on
apartar	to move away, separate
mezclar	to mix
volumen	volume
lento	slow
nariz	nose
investigar	to investigate
peligroso	dangerous
derecha	right, right hand
adulto	adult, grown-up
saludar	to greet, say hello
techo	roof
moneda	coins, currency
temprano	early
percibir	to perceive, notice
beso	kiss
bolsa	bag, purse, stock exchange
fijo	fixed, steady
aun	even (though), still
lejano	distant
vacío	empty, vacant
quinto	fifth
ingresar	to join, deposit, admit
sesenta	sixty
relato	tale, story
ése	that one (m), [ésa (f)]
besar	to kiss
publicación	publication
cerebro	brain
conferencia	conference, lecture
practicar	to practice
ingreso	entrance, admission, income
comparar	to compare
evolución	evolution, development
falso	FALSE
droga	drug
promover	to promote
adentro	inside
universo	universe
llegada	arrival
registrar	to register, record
proceder	to proceed, start
pájaro	bird
poderoso	powerful
vaso	(drinking) glass, vase
laboral	labor, industry
colombiano	Colombian
biblioteca	library
consiguiente	por c.: consequently
alzar	to lift, raise
garantizar	to guarantee
comportamiento	behavior, conduct
plano	plane, map, level
ausencia	absence
electrónico	electronic
fase	phase, stage
agarrar	to grasp, catch
espectáculo	spectacle, show
selección	selection, choice
etcétera	etcetera
oscuridad	darkness
intervención	intervention
arquitectura	architecture
procedimiento	procedure, proceedings
doler	to hurt
animar	to cheer up
iniciativa	initiative
colección	collection
ámbito	sphere, space
confundir	to confuse
químico	chemical
evidente	evident, obvious
democrático	democratic
correo	mail, post (office)
unido	united
representación	representation
prohibir	to prohibit, forbid
increíble	incredible, unbelievable
polvo	dust, powder
delito	crime, offense
ruso	Russian
saludo	greeting
ocultar	to hide
quemar	to burn
hueso	bone
jueves	Thursday
perspectiva	perspective
interrumpir	to interrupt
tribunal	court
guardia	guard, watch, lookout
confiar	to trust, confide
crédito	credit, reputation
principalmente	principally, mainly
valle	valley
oído	hearing, ear
conducta	conduct, behavior
accidente	accident, irregularity
compra	shopping, buy, purchase
brindar	to offer
modificar	to modify
debate	debate
facilitar	to facilitate
encerrar	to shut (in)
acontecimiento	event, happening
colgar	to hang (up)
ignorar	to be unaware
felicidad	happiness
arena	sand
mentira	lie
argumento	argument, plot
clima	climate
lavar	to wash
anciano	old person
influir	to (have) influence
gordo	fat, thick
sugerir	to suggest, hint at
electoral	electoral
experimentar	to experience, experiment
reloj	clock, watch
listo	ready, clever, smart
paisaje	landscape
norteamericano	North American
abrazar	to hug, embrace
sección	section, cut
traje	suit, dress, costume
independencia	independence
breve	brief, short
individual	individual
segundo	second
equivocar	to be wrong
investigador	researcher, investigator
normalmente	normally
vestido	dress
confesar	to confess, admit
discusión	discussion, argument
once	eleven
cristal	glass, crystal, window
permanente	permanent
urbano	urban, city, urbane
gozar	to enjoy
palacio	palace
infantil	of children, childlike, infantile
costo	price, cost, expense
firma	company, signature, signing
órgano	organ
limpio	clean
científico	scientist
acusar	to accuse
limpiar	to clean
privar	to deprive (of)
puente	bridge
signo	sign, mark, symbol
tuyo	yours (sg/+fam)
carretera	highway, road
orquesta	orchestra, dance band
hierro	iron
inteligencia	intelligence
salón	hall, room
femenino	feminine, female
ciclo	cycle
aparato	apparatus, device
dibujo	drawing, sketch
revolucionario	revolutionary
gato	cat
perdón	forgiveness, pardon
capítulo	chapter
cero	zero, naught, nil
deuda	debt
ilusión	illusion, hope, dream
honor	honor, honesty
oferta	offer, bid, supply
montón	lot of, heap, pile
auténtico	authentic
capa	layer, coat
vuelo	flight
resistir	to resist, endure
pasear	to go for a walk, ride
delante	(in) front (of), ahead
revisar	to check, revise, inspect
código	code
disminuir	to decrease, diminish
habitual	usual, habitual, customary
presentación	presentation, introduction
vuestro	your (pl/+fam)
descansar	to rest
nacimiento	birth, origin
gris	gray, gloomy
judío	Jew
inútil	useless
estimar	to estimate, hold in esteem
largo	a lo l.: throughout, length
posteriormente	afterwards
absurdo	absurd
respirar	to breathe
ubicar	to find, locate
dominio	power, control
eterno	eternal
presupuesto	budget
división	division
metal	metal
efectivo	effective
apretar	to squeeze, tighten, compress
resistencia	resistance, opposition
acceder	to consent, agree, accede
operar	to operate
empleado	employee
variar	to change, vary
previo	previous
aventura	adventure
capitán	captain, chief
otorgar	to give, grant, award
precioso	beautiful, precious
asimismo	as well, also, moreover
fino	fine, delicate
humo	smoke
apagar	to turn off, extinguish
consultar	to consult
justo	fair, just
enamorar	to fall in love
borde	edge
aparición	appearance, apparition
regreso	return
reclamar	to demand, require
obrero	worker, laborer
escalera	stairs, ladder
cura	priest (m), cure (f)
universal	universal
latino	Latin
suave	soft, gentle, mild
efectivamente	in fact, actually, indeed
judicial	judicial
amenazar	to threaten
motor	engine, motor
acostar	to put/go to bed
arrojar	to throw, fling
triunfo	triumph, victory
brillante	brilliant, shiny, sparkling
vacío	emptiness, void
bolsillo	pocket
negativo	negative, pessimistic
repente	de + r.: suddenly
identidad	identity
alrededor	surrounding area, vicinity
plato	plate, dish
municipal	municipal, town
caliente	hot, warm, spirited
curioso	curious, strange
gasto	expense, expenditure
invierno	winter
pantalón	pants, trousers
variedad	variety
miércoles	Wednesday
impulsar	to push, promote, drive
cansado	tired, tiresome
figurar	to appear, represent, figure (in)
consumir	to consume, take in
instalación	installation, facilities
cuidado	care, carefulness
reina	queen
experto	expert
asomar	to appear, show, stick (out)
apreciar	to appreciate
riqueza	riches, wealth
votar	to vote
rincón	corner, nook
curiosidad	curiosity, quaintness
partida	game, match, departure
naturalmente	naturally
mental	mental
agencia	agency, branch
actuación	performance, acting
tasa	rate, fee, levy
manifestación	protest, manifestation
busca	search, hunt
rodilla	knee
convenir	to be agreeable, be convenient
interpretación	interpretation, interpreting
diputado	deputy, member
lentamente	slowly
empresario	manager, entrepreneur
ruta	route
empujar	to push, shove
destinar	to assign, appoint
pintor	painter
criticar	to criticize
archivo	archive, file, filing cabinet
caracterizar	to characterize, portray
pantalla	screen, monitor
llave	key, faucet, wrench
sucio	dirty, filthy, underhanded
ánimo	zest, spirit, heart
conversar	to converse, talk
carro	car, cart
alimentar	to feed, support
tremendo	tremendous, dreadful, huge
dulce	sweet
armar	to arm, put together
consciente	conscious, aware
impacto	impact
roca	rock
contemporáneo	contemporary
gastar	to spend (money)
cola	line, queue, tail
crítico	critical
columna	column, spine
escala	scale, ladder, rank
humor	mood, humor
esencial	essential
camisa	shirt
muro	(outer) wall, rampart
rueda	wheel
sustancia	substance, essence
testigo	witness
botella	bottle, flask
aguantar	to endure, put up with
estatal	state, government-owned
comunista	communist
denunciar	to denounce
fumar	to smoke
descender	to descend
ejecutar	to execute, carry out
inclinar	to bow, tilt, incline
chileno	Chilean
acariciar	to stroke, fondle, caress
espiritual	spiritual
justificar	to justify, excuse
entorno	environment, surroundings
húmedo	humid, damp
sustituir	to substitute, replace
verdaderamente	truly
llamado	call, calling
amenaza	threat
jornada	(working) day, shift
únicamente	only
perdido	lost
rayo	ray, beam, lightning
preferible	preferable
potencia	power, potential
conformar	to conform
semejante	similar, such, alike
vidrio	glass, pane
imaginación	imagination, fantasy
oración	prayer
sobrevivir	to survive, outlive
reflexión	reflection
pelear	to fight, struggle
corredor	broker, corridor, runner
relativo	relative
esposo	husband, spouse
fruto	fruit, result
gloria	glory, fame
dimensión	dimension, size
correspondiente	corresponding
escoger	to choose
externo	external, outward
violento	violent
junta	meeting, conference, seam
familiar	relative
claro	of course, clearly
conforme	in agreement with
fruta	fruit
protagonista	protagonist, main character
tropa	troops, forces
descubrimiento	discovery
sacerdote	priest
ligero	light (in weight), slight
avenida	avenue
reconocimiento	recognition, acknowledgment
respectar	to concern
típico	typical
excepción	exception
ingeniero	engineer
pobreza	poverty, lack, scarcity
bar	(snack) bar, café
setenta	seventy
significativo	significant, meaningful
fabricar	to manufacture
quejar	to complain
procurar	to try, seek
cariño	love, affection
lucir	to show (off), shine
débil	weak
calcular	to calculate, figure out
oler	to smell
contento	happy, content
continente	continent
conceder	to grant, concede
anual	annual, yearly
alcance	reach, scope
monte	mountain
ceder	to give way, yield
peseta	peseta (money)
jurídico	legal, juridical
tarjeta	card
temblar	to tremble, shake
colonia	colony, cologne
sano	healthy, wholesome
plástico	plastic
registro	register, record
combinar	to combine
firme	firm, steady
condenar	to convict, condemn
ochenta	eighty
liberar	to free, liberate
tensión	tension, stress, strain
divino	divine
herida	wound
sesión	session, meeting
conectar	to connect, plug in
evidentemente	evidently, obviously
oh	oh
fila	line, row, file
contexto	context
hilo	thread, yarn, wire
vergüenza	embarrassment
administrativo	administrative
engañar	to trick, deceive
raza	race, lineage
cáncer	cancer
juntar	to bring together
caída	fall, drop, falling
regalo	gift, present
castellano	Castilian, Spanish
angustia	anguish, distress
elaborar	to make, develop
pronunciar	to pronounce
templo	temple, church
peruano	Peruvian
tristeza	sadness
huevo	egg
ala	wing, flank
novia	girlfriend, bride
agradable	nice, pleasant
socialista	socialist
cultivo	cultivation, crop
juzgar	to judge
