lijf	body
ergeren (zich)	to annoy
uitdrukking	expression
rechtop	upright
bil	buttock
gespannen	tense
nagel	nail
hardop	aloud
rivier	river
dij	thigh
bewonderen	to admire
woedend	furious
wijsvinger	index finger
stok	stick
eindeloos	endless
smeken	to beg
evenmin	as little as nor
doorbrengen	to spend
tasten	to grope
zweven	to float
dadelijk	immediately
ellende	misery
achteruit	backwards
knoop	knot, button
poos	while
klemmen	to stick, to jam
uitzicht	view
ruit	window
kist	chest
bezorgd	concerned
opgewekt	cheerful
achteren	back
badkamer	bathroom
vloeken	to curse, to swear
dankbaar	grateful
hap	bite
halverwege	halfway
jongeman	young man
schokken	a) to shake, b) to shock
omlaag	down
hek	fence
genoegen	pleasure
wanhopig	desperate
verwonderen	to surprise
betrappen	to catch
stuur	steering wheel, handlebars
ijzeren	iron
voorgoed	permanently
druppel	drop
haten	to hate
aanraken	to touch
gestalte	shape
chauffeur	driver
plakken	to stick
heuvel	hill
zoet	sweet
verlichten	to light, to illuminate
ouderwets	old-fashioned
schok	shock
tegemoet	towards
hersenen, hersens	brain
medelijden	pity
bevrijden	to free
somber	gloomy
zuigen	to suck
ontbijt	breakfast
woonkamer	living room
grijnzen	to grin
waaien	to blow
juffrouw	a) lady b) teacher
doordringen	to penetrate
kreet	cry
heftig	violent
maan	moon
bukken (zich)	to bend
slap	weak
kwalijk	evil, bad
logeren	to stay
angstig	anxious
sneeuw	snow
omdraaien (zich)	to turn (round)
stoep	pavement
bezorgen	to give
onzeker	uncertain
pijp	pipe
glad	smooth
kus	kiss
koesteren	to cherish
spreiden	to spread
vatten	to catch, to grasp
ontmoeting	meeting
moeizaam	laborious
koe	cow
besef	understanding
ijs	ice
maaltijd	meal
geheugen	memory
begeven	to break down
klank	sound
knop	button
ontspannen	to relax
hol	hollow
opgelucht	relieved
hollen	to run
grootvader	grandfather
opwinding	excitement
verdomme	damn
scheef	crooked, oblique
verontschuldigen (zich)	to excuse (oneself)
gewoonlijk	usually
verraden	to betray
zenuwachtig	nervous
heup	hip
ernaar	to it, at it, after it
onzichtbaar	invisible
bekennen	to confess
hitte	heat
moeilijkheid	difficulty
zakdoek	handkerchief
vanmiddag	this afternoon
fluiten	to whistle
hemd	vest, shirt
spoedig	soon
aandachtig	attentive
alstublieft, alsjeblieft, a.u.b.	please
peinzen	to ponder
diepte	depth
sluipen	to sneak
spotten	to joke, to mock
kreunen	to groan
grinniken	to chuckle
troosten	to comfort
overhemd	shirt
vaart	speed
fantasie	fantasy
wond	wound
duisternis	darkness
kou	cold
roerloos	motionless
afloop	end
lui	people
hoorn	receiver, horn
vriendschap	friendship
haak	hook
parkeren	to park
portier	1) door 2) doorkeeper
taxi	taxi
beven	to tremble
vreugde	joy
uniform	uniform
pols	wrist
rechterhand	right hand
struik	bush
eenzaamheid	loneliness
ruk	jerk
pan	pan
graf	grave
vannacht	tonight, last night
wuiven	to wave
dol	crazy
opsteken	to light up
emotie	emotion
slingeren	to swing
hartelijk	warm
klappen	to clap
laars	boot
elleboog	elbow
vlam	flame
gemeen	mean
sissen	to hiss
verwarring	confusion
zojuist	just (now)
vanmorgen	this morning
pet	cap, hat
praatje	talk, chat
zwellen	to swell
ongeduldig	impatient
turen	to stare
geslacht	sex
zoenen	to kiss
boterham	sandwich
doch	but
blozen	to blush
bidden	to pray
wonderlijk	wonderful
lift	lift
betreden	to enter
drogen	to dry
teleurstellen	to disappoint
arriveren	to arrive
zilveren	silver
scheren	to shave
brullen	to roar
vochtig	moist
opkijken	to look up
dwalen	to wander
gloeien	to glow
smijten	to throw, to fling
bescheiden	modest
weglopen	to walk away, to run away
roos	rose
bemoeien (zich)	to interfere
schoot	lap
zeuren	to whine, to nag
snuiven	to sniff
overvallen	to surprise, to overtake to raid, to assault
langzamerhand	gradually
schedel	skull
deuropening	doorway
onderdrukken	to suppress
likken	to lick
afwezig	absent
krul	curl
giechelen	to giggle
dekken	to cover
kont	bottom
verbeelding	imagination
versleten	worn
grootmoeder	grandmother
ontroeren	to move
amuseren (zich)	to amuse
bek	mouth
schaamte	shame
portret	portrait
aardappel	potato
plas	puddle
ruw	rough
spoelen	to wash
hel	hell
haasten (zich)	to hurry
lichten	to lift
begrafenis	funeral
engel	angel
irriteren	to irritate
onrustig	restless
huiskamer	living room
sok	sock
verrassing	surprise
uitgeput	exhausted
groeten	to greet
rinkelen	to ring
struikelen	to stumble
bewondering	admiration
ontwijken	to avoid
prikken	to prick
wanhoop	despair
lusten	to like
zonlicht	sunlight
hak	heel
ontwaken	to wake up
wijf	woman, broad
bladeren	to glance through
halfuur	half (an) hour
kaars	candle
opluchting	relief
zolder	loft
verdomd	damn(ed)
loslaten	to let go, to release
begroeten	to greet
piepen	to squeak
sigaar	cigar
kraan	tap, crane
verheffen (zich)	to rise
venster	window
lap	rag
voetstap	footstep
uitsteken	a) to hold out b) to stick/stand out
driftig	angry, short-tempered
hoer	whore
verbijsteren	to bewilder
eigenaardig	peculiar
douche	shower
spier	muscle
opbellen	to call (up)
handdoek	towel
gevel	façade
schelden	to curse
bot	bone
straal	beam
emmer	bucket
snor	moustache
grauw	grey
vluchtig	brief, quick
persen	to press
plechtig	solemn
mand	basket
meegaan	to go (along) with
ontgaan	to escape
intens	intense
vergeven	to forgive
tamelijk	rather
troost	comfort
baard	beard
poetsen	to clean
verbreken	to break up/off
wringen	to worm
tapijt	carpet
zenuw	nerve
geheimzinnig	mysterious
volmaakt	perfect
koek, koekje	biscuit
schuur	barn, shed
nietwaar	is(n’t) it
spijten	to regret
vrijen	to make love
horizon	horizon
daarnet	just (now)
hok	shed
meubel	piece of furniture
erachter	behind (it, them)
knopen	to knot, to tie
druipen	to drip
stiekem	secret
spannen (zich)	to tense, to tighten
soep	soup
geduldig	patient
zweten	to sweat
staal	steel
geleiden	to guide, to lead
ongerust	anxious
uitstrekken	to reach out
balkon	balcony
nest	nest
wagen (zich)	to risk
kier	crack
linkerhand	left hand
wal	quay
grommen	to growl
onverschillig	indifferent
drempel	threshold, doorstep
smeren	to spread, to butter
omhelzen	to embrace
kaak	jaw
ketting	chain
onttrekken (zich)	to withdraw
overheen	across, over
minnaar	lover
onvermijdelijk	inevitable
verheugen (zich)	to be happy
nieuwsgierigheid	curiosity
oneindig	infinite
genot	delight
treurig	sad
knielen	to kneel
voorbijgaan	to pass
scène	scene
verdiepen (zich)	to go into, to be caught up in
plagen	to tease
gretig	eager
mat	mat
vingertop	fingertip
afschuwelijk	horrible
wankelen	to stagger
dof	dull
krijsen	to shriek, to scream
snikken	to sob
erom	around it about it
blinken	to shine
wenken	to beckon
kruisen	to cross
razen	a) to race b) to rage
hijzelf	himself
opendoen	to open
koperen	copper
fraai	beautiful
whisky	whisky
gebaren	to gesture
villa	villa
verontwaardigd	outraged, indignant
krabben	to scratch
zweren	to swear
oprapen	to pick up
kachel	stove, heater
verzinken	to sink
bloeden	to bleed
tik	tap
rillen	to shiver
doodstil	stock-still
raadsel	mystery
onrust	unrest
onhandig	awkward
beroerd	miserable
poes	cat
kraag	collar
fronsen	to frown
huiveren	to shiver
overhandigen	to hand (over)
tafereel	scene
stikken	to choke
vreten	to stuff
daarachter	behind it, behind them
echtpaar	couple
ernst	seriousness
vergaan	to perish
kroeg	pub
brok	piece
krankzinnig	insane
blaffen	to bark
vensterbank	windowsill
bewustzijn	awareness
schuifelen	to shuffle
gek	fool, idiot
cirkel	circle
kleven	to stick
urenlang	endless, for hours
smerig	dirty
knaap	boy
duister	dark
wapperen	to blow
kauwen	to chew
afkeer	aversion
opdat	so that
ontdoen	to remove, to discard
lepel	spoon
verlossen	to release, to free
Hollands	Dutch
zinken	to sink
oprecht	sincere
veer	a) feather b) spring
opschieten	to hurry up
aanblik	sight
ernaast	next to it, beside it
menigte	crowd
neuken	to screw
knipperen	to blink
ergernis	annoyance
slank	slim
triomfantelijk	triumphant
rek	rack
vermoeien	to tire (out)
opschrijven	to write down
misselijk	sick
verven	to paint
benauwd	stuffy
nauwkeurig	accurate
kruk	stool
hulpeloos	helpless
innerlijk	inner
eeuwigheid	eternity
rond, rondje	round
voorlezen	to read (aloud)
stampen	to stamp
deksel	lid
ditmaal	this time
rots	rock
verschuilen (zich)	to hide
plooi	pleat, crease
ofschoon	although
wreed	cruel
nalaten	a) to refrain from b) to leave
gelaat	face
stuiten	to encounter to stop
gracht	canal
dominee	vicar
sla	lettuce
leegte	emptiness
berusten	to resign oneself to
doven	to extinguish
vermoeid	tired
wikkelen	to wrap
afwezigheid	absence
dorst	thirst
smelten	to melt
kil	chilly
loeren	to peek
verpleegster	nurse
kletsen	to chat
hullen	to wrap
hoesten	to cough
ongewoon	unusual
openstaan	to be open
schrapen	to scrape
schijn	appearance
long	lung
verdragen	to bear
gebed	prayer
eraf	off
roeren	to stir
aanrecht	kitchen sink
onderbroek	underpants
verbeelden (zich)	to imagine
brommen	to mutter
stam	trunk
riem	a) belt b) oar
envelop	envelope
eronder	below
uitzoeken	to select, to choose
flard	fragment
geweer	gun
matras	mattress
grijns	grin
verschijning	appearance
gapen	to yawn
erf	yard
spuiten	to squirt, to spray
rommel	clutter
woest	fierce
verdwalen	to get lost
kuil	pit, hole
bejaard	elderly, aged
verdrinken	to drown
konijn	rabbit
heimwee	homesickness
glippen	to slip
doodgaan	to die
borrel	drink
beker	cup
bediende	servant, waiter
hinderen	to impede, to hinder
pest	plague
brutaal	cheeky
vergissing	mistake
krimpen	to shrink
machteloos	powerless
bedwingen	to suppress
aanraking	touch
kerkhof	cemetery
niettemin	nevertheless
intiem	intimate
stilstand	standstill
zeep	soap
stormen	to be stormy
reusachtig	huge
wippen	to hop
vork	fork
janken	to whine
golven	to wave, to flow
jaloezie	a) jealousy b) blind
gieren	to scream
rijzen	to rise, to arise
verdringen	to push away
omheen	around
metalen	metal
onaangenaam	unpleasant
prijzen	to praise a) to price b) to praise
schrift	a) writing b) notebook
weiland	meadow
sleuren	to drag
uitlaten	a) to take out b) to express (oneself)
modder	mud
bleek	pale
sjaal	scarf
ader	vein
hoogstens	at the most
doorzichtig	transparent
kinderlijk	childlike
prikkelen	a) to stimulate b) to irritate
stank	bad smell
bezigheid	activity
kous	stocking
aankleden	to dress
remmen	to brake
prompt	immediate
flits	flash
juichen	to cheer
achterblijven	to stay behind to be left behind
uitgang	exit
sussen	to soothe
schijnbaar	seeming, apparent
oever	bank
kooi	cage
kalmeren	to calm
vaas	vase
verdrietig	sad
boog	a) arch b) bend
etalage	shop window
verlammen	to paralyse
mantel	overcoat
kameraad	comrade
schikken	to arrange
binnenkant	inside
handschoen	glove
ongemakkelijk	uncomfortable
abrupt	abrupt
zwerven	to wander
verveling	boredom
vat	a) barrel b) grip
dagboek	diary
beschaafd	civilized
dwaas	foolish
tevergeefs	in vain
schotel	dish
aantekening	note
aankomst	arrival
bederven	a) to rot b) to spoil
champagne	champagne
zaad	seed
ongelovig	disbelieving unbelieving
tegel	tile
flitsen	to flash
nestelen	to nestle
doemen	to doom
ritueel	ritual
omgeven	to surround
losmaken	to release, to undo
hut	hut
kostbaar	expensive, valuable
secretaresse	(female) secretary
waken	to watch
bagage	luggage
worstelen	to struggle
beamen	to endorse
uitbundig	exuberant
vergeefs	vain
glans	shine
beklimmen	to climb
lint	ribbon
mensheid	humankind
verontrusten	to worry
langskomen	to pass by, to come round
achterhoofd	back of the head
geruststellen	to reassure
bezweren	to swear
dapper	brave
haard	fireplace
luidruchtig	noisy
buitenwereld	outside world
hoofdpijn	headache
mopperen	to grumble
rekken (zich)	to stretch
toekijken	to watch
ontkomen	to escape
onrecht	injustice
onbewust	unconscious
overslaan	to miss (out), to skip
opstijgen	to rise
aanlopen	to come towards
toonbank	counter
scheur	crack, tear
duif	pigeon
luchtig	light, airy
donderen	to thunder
daarboven	above it
handschrift	handwriting
wei	pasture, field
verzwijgen	to keep silent about, to conceal
ui	onion
heden	today
klem	trap
broeder	brother
rommelen	to rummage, to fiddle
geschenk	gift
applaus	applause
duin	dune
koppig	stubborn
aanvoelen	to feel, to sense
salon	salon
opengaan	to open
vooruitzicht	prospect
enthousiasme	enthusiasm
schuilen	to shelter, to hide
schaars	scarce
elegant	elegant
oceaan	ocean
vurig	fiery
muts	hat
daglicht	daylight
rotzooi	junk junk, mess
non	nun
schoonmaken	to clean
bespeuren	to sense, to find
pistool	pistol
voorbijganger	passer-by
lunch	lunch
vermoeidheid	fatigue
pal	directly
voornaam	first name
schuldgevoel	feeling of guilt
thans	at present, now
dierbaar	dear
barst	crack
naaien	to sew
mankeren	to be wrong
verstrijken	to go by
knappen	to crack
decor	décor, setting
chef	manager
vanachter	from behind
Japans	Japanese
stoet	procession
overzien	to overlook
instemmen	to agree
hardnekkig	persistent
diner	dinner
observeren	to observe
parfum	perfume
rugzak	backpack
opperen	to put forward
betonnen	concrete
waanzinnig	mad
naald	needle
feestelijk	festive
helm	helmet
lul	dick
ouderlijk	parental
inpakken	to pack (up)
eruitzien	to look (like)
verontwaardiging	outrage, indignation
voornemen	intention
masker	mask
achtervolgen	to chase
fluit	flute
opbergen	to store
kater	tomcat
asfalt	asphalt
baksteen	brick
overgeven	a) to surrender b) to vomit
nabijheid	proximity
krom	crooked, curved
beek	stream
uitstappen	to get off
mild	mild
vandoor	off, away
fotograaf	photographer
teruggaan	to return
balk	beam
ladder	ladder
voltrekken	to take place to celebrate
interieur	interior
wieg	cradle, cot
halfjaar	six months, half a year
veroorloven (zich)	to permit
onschuld	innocence
melodie	melody
klaarmaken	to prepare
inslaan	to take to smash
vertragen	to slow down to delay
eromheen	around it
nakijken	to watch, to follow to check
resoluut	resolute
schommelen	to swing to fluctuate
neerkomen	to come down
tragisch	tragic
zondagmiddag	Sunday afternoon
speels	playful
charme	charm
voorkant	front
halt	stop
mysterieus	mysterious
moeiteloos	effortless
zakenman	businessman
driemaal	three times
nutteloos	useless
serveren	to serve
parkeerplaats	car park, parking space
kei	cobble(-stone)
atelier	studio
portefeuille	wallet
hoede	guard
verzoenen (zich)	to reconcile
afwachting	expectation
plezierig	pleasant
opzettelijk	deliberate
fotograferen	to photograph
almaar	constantly, all the time
knallen	to pop, to bang
