emin	safe, secure; sure
laf	remark, word
öncelikle	first of all
yayımla	to publish; to broadcast
şair	poet
öp	to kiss
sultan	sultan
tesis	establishment; facility
demokratik	democratic
adalet	justice
yorumla	to interpret
tören	ceremony
eksik	missing, deficient
bol	plentiful, abundant
tanrı	God
dini	religious
sevinç	joy, delight, happiness
zorunlu	obligatory; compulsory
özgür	free
yaygın	widespread; prevalent
sıkı	(adj) tight, firm (adv) tightly, firmly
salla	to wave; to shake
burun	nose
sağlam	healthy, strong
önlem	measure; precaution
yolculuk	journey, trip; voyage
suçla	to accuse
nitekim	likewise; thus, hence
geçiş	passing, crossing; transition
gaz	gas
uyar	to warn; to stimulate
yasak	prohibition; ban
eğ	to lean, to bend
ilan	announcement; advertisement
içerik	content
ekip	team, crew
deprem	earthquake
not	note; grade
arzu	wish, desire, longing
oluşum	formation; constitution
büyüklük	size; greatness
sırala	to line up; to arrange
sürü	(n) herd, flock (v) to drag along
es	to blow
nükleer	nuclear
yarım	half
koltuk	armchair
rejim	regime; diet
tehdit	threat, menace
mavi	blue
eşit	equal
komisyon	commission, committee
temsilci	representative, delegate
gözde	favorite
petrol	petrol, oil
sergile	to exhibit, to display; to show
kuru	(v) to dry, to get dry (adj) dry, dried
ulus	nation
çocukluk	childhood
köylü	villager, peasant
bayram	religious festival, national holiday
sağlıklı	healthy
demir	iron
gerekçe	justification, ground
hazırlık	preparation
dek	until, till
suret	form; manner
parçala	to smash up, to tear
sınırlı	bounded; limited
numara	number
faiz	interest
beklenti	expectation, anticipation
doğum	birth
geleneksel	traditional
kesinlikle	definitely, certainly, absolutely
fabrika	factory, plant
bağlantı	connection
otobüs	bus
imkan	possibility; opportunity
kale	castle; goalpost
sessiz	quiet, silent
karakter	character
kart	(n) card (adj) aged; stale
radyo	radio
sıcaklık	heat, warmth
kök	root; origin
ihracat	export
sığ	(v) to fit into (adj) shallow
yerli	local, native
sarı	yellow; blond; pale
etkin	active; effective
ısın	to warm, to heat up
rahatsız	uncomfortable; uneasy
cami	mosque
aracılık	mediation
zemin	ground; floor
kişisel	personal
mayıs	May
sohbet	conversation, chat
strateji	strategy
ton	ton
ilçe	district, country
anımsa	to remember, to recall
dernek	association, society
adım	step
aylık	monthly; salary
yazık	pity, shame
nefes	breath
mali	fiscal, financial
kapsa	to contain, to cover
yazılı	inscribed; written; registered
amca	(paternal) uncle
gelin	bride; daughter-in-law
personel	personnel, staff
servis	service
galiba	probably, likely
gösteri	show; performance
eleştir	to criticize
tatil	holiday, vacation; rest
bacak	leg
fakülte	faculty
zayıf	weak; thin
tüketim	consumption
huzur	tranquility, peace
kedi	cat
kahraman	hero, heroine
don	(v) to freeze (n) pants; frost
maç	match
halka	hoop; circle; ring
yayın	publication; broadcast
bağlam	context
rakam	digit, numeral
kuşak	generation
teori	theory
eleman	staff, employee
as	to hang, to suspend
kadro	staff, personnel, group
seslen	to call out; to address
devre	period; session; circuit
dayalı	based on/upon
cumhurbaşkanı	president
kavra	to comprehend; to grasp
akım	current; trend
deneyim	experience
kamuoyu	public opinion
gök	sky
imza	signature
güçlen	to get strong
dip	bottom, base
söylem	discourse
tıpkı	identical, same; just like
zira	because
kral	king
filan	so and so, or some
döv	to beat
tat	(n) flavor, taste (v) to taste
site	building complex; site
niçin	why?, what for?
saray	palace
zevk	pleasure, delight
yönlen	to direct toward
deli	insane, crazy, mad
çağdaş	contemporary
ödül	prize, reward
çök	to collapse
mekanizma	mechanism
ölü	dead
garip	strange, unusual
deyiş	saying; poem
ertesi	next, following
net	clear, sharp
öğle	noon
imzala	to sign
teşvik	encouragement; motivation
niyet	intention, purpose
reddet	to refuse, to decline
nesne	thing; object
ört	to cover; to hide; to shut
ölç	to measure; to evaluate
sır	secret, mystery
reklam	advertisement
operasyon	operation, surgery
mart	March
potansiyel	potential
birtakım	some
çabuk	quickly
paket	package, parcel
saha	field, area, region
zihin	mind, intellect
adeta	as if
komutan	commander
darbe	hit
ayı	bear
ekim	sowing, planting; October
meyve	fruit
kanat	wing
olasılık	probability
civar	neighborhood, vicinity
turizm	tourism
üstlen	to undertake
dudak	lip
süt	milk
yarış	(v) to race; to compete (n) race, competition
mantık	logic; reason, sense
mezun	graduate
terör	terror
kutla	to congratulate; to celebrate
dinlen	to rest, to relax
ihtimal	probability, possibility
klasik	classic, classical
kapasite	capacity
yasal	legal; lawful
şeker	sugar; candy
omuz	shoulder
çoğal	to increase; to multiply
boya	(v) to paint, to dye (n) paint
karşılıklı	mutual, reciprocal
bardak	glass
anlamlı	meaningful
göç	(v) to migrate (n) migration, immigration
dar	narrow; tight
dağıl	to scatter, to disperse
puan	point; score
tüketici	consumer
yavru	young animal; child
işgal	occupation
amaçla	to aim, to intend
boşal	to become empty
yumurta	egg
uğur	charm, luck
kağıt	paper
nisan	April
dua	prayer
defter	notebook
cinsel	sexual
temiz	clean; fresh
egemen	sovereign
renkli	colored; colorful
gecik	to be late
park	park; car park
ufak	small, little, young
bat	to sink
katılım	participation, attendance
fırla	to pop out, to rush out
kutu	box, case
zorluk	difficulty, hardship
yapım	construction
cins	type, kind; breed
fayda	use, benefit, advantage
tarihsel	historical; historic
metre	meter
dosya	file, dossier
sınırla	to limit
yargıla	to judge
maddi	material, physical
arazi	land; fields
temas	contact, touch
kilise	church
gölge	shadow; shade
politik	political, politic
temizle	to clean
öğe	element, component
yoğunlaş	to become dense, to thicken
tren	train
yakından	closely; intimate
sap	(v) to turn to; to deviate (n) handle
ayrıntı	detail
yeterince	enough, sufficiently
katı	hard, rigid; tough
çözümle	to analyze
pratik	practical; handy
yor	to tire
kaygı	anxiety, worry
adlandır	to name
ez	to crush; to mash
alışkanlık	habit
vatan	fatherland
iyileş	to get better; to recover
irade	willpower
hedefle	to aim
ayna	mirror
emekli	retired
gösterge	indication, sign; index
sorgula	to interrogate
kuşkusuz	certainly, undoubtedly
trafik	traffic
özgü	peculiar
gereksinim	need, requirement
konuk	guest
test	test
derle	to compile, to collect
kasım	November
yüzey	surface
alın	forehead
perde	curtain
namaz	prayer
sabit	fixed, stable, constant
kaya	boulder
harf	letter
taban	floor; base
eri	to melt, to dissolve
yöre	region, neighborhood
memnun	pleased, content
dolar	dollar
yapılan	to structure
terim	term
eskiden	formerly, previously
mutfak	kitchen
kilo	kilo
dağılım	distribution; dispersion
performans	performance
enflasyon	inflation
sula	to water
cephe	front, side
peygamber	prophet
ucuz	cheap
eksiklik	lack, deficiency, shortage
egemenlik	sovereignty, dominance
nihayet	at last, finally
alışveriş	shopping
marka	trademark, brand
öfke	anger, rage
ağırlık	weight
birik	to accumulate
dev	giant
bireysel	individual
birikim	saving
doy	to be satiated, to be full up
kurban	sacrifice; victim
kocaman	huge, enormous
emniyet	safety; confidence
çanta	handbag
ayakkabı	shoe
aynen	just like
tıp	medicine
sonsuz	endless, eternal; infinite
göğüs	chest; breast, bosom
tarif	description; definition
kalın	thick
bedel	value, worth
inşa	construction
ideoloji	ideology
geçici	temporary, transitory
kayna	to boil
yasakla	to forbid, to ban
ticari	commercial
elbise	dress
boşa	to divorce
boğ	to choke, to suffocate
kayıtlı	enrolled, registered
bayan	Miss, Mrs., Ms., woman
kapla	to cover
içki	liquor
bel	waist; lower back
evren	universe; cosmos
denli	so, in so much as
titre	to shiver, to tremble
ayrım	distinction, discrimination
teyze	(maternal) aunt
istihdam	employment
mensup	member
hiçbiri	none; nothing
hakim	(n) judge (adj) dominating
gizle	to hide, to conceal
piş	to be cooked
anahtar	key
işletme	enterprise; management
kurtuluş	liberation
kader	fate, destiny
gövde	body
sal	(v) to release, to set free (n) raft
ekran	screen
tuhaf	strange, odd, weird
sinir	nerve
hediye	gift, present
yalnızlık	loneliness, solitude
ısrar	insistence
padişah	sultan
aykırı	contrary; against
tedbir	measure, precaution, action
çıktı	output
tekrarla	to repeat
toplu	collective
vakıf	foundation
temmuz	July
aktif	active; effective
inşaat	building, construction
dans	dance
gözük	to appear
netice	result, conclusion
onayla	to approve, to certify
yenile	to renew
sakin	(n) resident (adj) calm, tranquil
yanıtla	to answer, to reply
kanıtla	to prove
özen	(v) to imitate (n) care
endişe	anxiety, worry
arz	offer; supply
bank	bench
keşfet	to discover
soluk	breath
zafer	victory, triumph
usul	method, procedure
zannet	to suppose, to guess
çare	cure, remedy
bahar	spring
gayret	effort
tarihli	dated
etken	factor
yakış	to suit
müdürlük	management
seyirci	spectator
alternatif	alternative
şura	here or there
tümü	all, as a whole
fonksiyon	function
boğaz	throat
arayış	search
derinlik	depth
düğün	wedding reception
köprü	bridge
gerçi	though, yet, however
hepimiz	all of us
tel	wire, string
fon	fund
düzenli	regular, tidy
hızlan	to speed up, to accelerate
gıda	food, nourishment
dışişleri	foreign affairs
harita	map
reform	reform
haziran	June
sön	to die down
çap	diameter
canlan	to light up; to be refreshed
tüket	to consume
intihar	suicide
saf	(n) side (adj) pure
kulüp	club
küresel	global
döviz	currency
santral	telephone exchange; power plant
evrensel	universal
somut	concrete
pazarla	to market, to sell
dilim	slice, piece
dostluk	friendship
kuram	theory
kurt	wolf; worm
form	form, shape
deney	experiment
otomobil	car
çak	to nail
zamanla	in time
kasaba	small town
bulut	cloud
sürükle	to drag
ilet	to convey, to deliver
muhalefet	opposition
kongre	congress
öbür	other
psikolojik	psychological
makam	position, office
cinayet	murder
cesaret	courage
üretici	producer
sigorta	insurance
bayrak	flag
utan	to be ashamed
yeryüzü	earth, world
şık	(n) option (adj) chic
alacak	debt, credit
kutsal	sacred, holy
güçlük	difficulty
bulundur	to keep, to maintain
kapak	lid, cover, cap
yapış	to stick, to cling
heyet	committee, board
süz	to filter, to strain
profesör	professor
bağımsızlık	independence
futbol	football
adres	address
ağustos	August
gerçeklik	reality
alet	tool, instrument, device
mesafe	distance
özet	summary
tasarım	design
özetle	to summarize
vali	governor
akla	to clear
diz	(n) knee (v) to align, to line up
tehlikeli	dangerous
aksine	on the contrary, unlike
itiraz	objection
göl	lake
yurtdışı	abroad
rahatla	to feel better
gökyüzü	sky
ümit	hope
nefret	hate
yolcu	traveler, passenger
merdiven	stairway; ladder
evvel	before
toz	dust; powder
kemik	bone
bulgu	finding
organizasyon	organization
masal	fairy tale
üstün	superior, outstanding
denetle	to check, to inspect
yiyecek	food
tahta	wood
disiplin	discipline
işit	to hear
üyelik	membership
ip	rope, string
gözlem	observation
gündüz	daytime
koyun	sheep
ağrı	(n) ache, pain (v) to ache, to hurt
şubat	February
boyun	neck
tuz	salt
halen	at present, still
özle	to miss
öylesine	so, so very
ihale	bid
dinamik	(adj) dynamic (n) dynamics
mezar	grave
göm	to bury
oğlan	boy
dönüşüm	transformation
özlem	longing
yapıt	work
ibaret	composed of
iklim	climate
imparatorluk	empire
seçenek	option
ortalık	surroundings
belirgin	apparent, evident
um	to hope; to expect
sendika	union
keşke	if only
akıllı	wise, intelligent
zorunluluk	obligation
uyarı	warning
kuşku	suspicion; doubt
coğrafya	geography
soy	(v) to peel; to undress (n) race; family
olağanüstü	extraordinary
yarala	to injure
fiziksel	physical
doku	(n) tissue (v) to weave
beceri	talent, skill
hazine	treasure
deneme	test, trial; essay
otorite	authority
deyim	idiom
bilgin	scholar, scientist
parlamento	parliament
barın	to take shelter
ilim	science
kolaylık	easiness; convenience
konferans	lecture; conference
suçlu	guilty
sonuçlan	to result
tarla	field
gezi	excursion
keyif	joy, pleasure
yürürlük	validity
sakın	(v) to avoid (adv) don’t ever
tecrübe	experience
rakip	rival
ahlak	morals, morality
konser	concert
sıradan	common, ordinary
bütünleş	to become integrated
eşitlik	equality
maaş	salary, payment
saldır	to attack
kapitalizm	capitalism
çoktan	already
misafir	guest, visitor
suretiyle	thereby, by means of
yuva	nest; home
matematik	mathematics
herşey	everything
avukat	lawyer
azınlık	minority
görünüm	appearance, view
mevsim	season
işsizlik	unemployment
teşkilat	organization
hoşlan	to like
kampanya	campaign
karın	belly, abdomen
yangın	fire
yoksul	poor
bizzat	in person
akraba	relative
işyeri	workplace
bütünlük	integrity, completeness
tasarruf	saving
çağrı	call
sessizlik	silence
hapis	imprisonment
çığlık	scream
yararlı	useful
mühendis	engineer
tanık	witness
tez	(n) argument, thesis (adj) quick, rapid
alev	flame
gümrük	customs
avuç	palm
sabır	patience
onur	pride, honor
tasarı	proposal; bill
motor	motor
saniye	second
korkunç	awful, terrible
gürültü	noise
daima	always
bünye	structure; body
damar	vein
transfer	transfer
paralel	parallel
ilave	(n) addition (adj) additional
yüce	great, sublime
yaygınlaş	to become widespread
giysi	clothes, dress
cadde	street
zincir	chain
karşıt	contrary; opposite
bomba	bomb
isyan	rebellion
elektronik	electronic
uygarlık	civilization
diren	to resist
akış	flow, passing
kolaylaş	to get easy
gayet	quite, rather
alım	buying, purchase
statü	status
sofra	dinner table
gözyaşı	tear
şişe	bottle
etik	ethics
öyleyse	then, if so, so
cennet	heaven, paradise
teknolojik	technological
türkü	folk song
rahatlık	comfort
parlak	bright
moda	fashion
kurucu	founder
yürüyüş	walk; march
nehir	river
yanıl	to be mistaken
zirve	summit
ilkokul	primary school
refah	prosperity, welfare
sez	to sense, to perceive
satır	line
em	to suck; to absorb
sandık	chest, trunk
delik	hole
endüstri	industry
şarap	wine
dayı	(maternal) uncle
eşlik	company
yaka	collar; side
yorgun	tired
dola	to wind, to roll
ağa	landlord
temin	supply; assurance
mutlak	absolute
işgücü	workforce
kör	blind
kusur	defect, fault
eriş	to reach; to attain
yetersiz	insufficient, inadequate
pahalı	expensive
bellek	memory
dikkatli	careful
şube	branch office
karmaşık	complex
buz	ice
evlat	child
şoför	driver
başvuru	application
subay	officer
avantaj	advantage
ayarla	to adjust; to arrange
verimlilik	productivity
ölçek	scale; measure
demokrat	democrat, democratic
devrimci	revolutionary
konut	house
eğlence	entertainment
tayin	appointment
anlatım	exposition
kamp	camp
un	flour
ortaklık	partnership
çekici	(adj) attractive (n) tow truck
müthiş	terrific, excellent
hürriyet	freedom, liberty
istasyon	station
batılı	western
kuyruk	tail; line
sergi	exhibition, display
bay	Mr.
kötülük	evil
işkence	torture
tur	tour
kucak	lap, embrace
yönetmen	director, manager
günah	sin
dürüst	honest
kıyafet	dress
tasarla	to plan
dördüncü	fourth
hacı	hadji, pilgrim
anket	questionnaire, survey
düşünür	philosopher
dönük	facing
silahlı	armed
apartman	apartment building
ameliyat	surgery, operation
yenilik	newness, novelty
nesil	generation
sel	flood
mekan	place
mısır	corn
üstünlük	superiority
alay	regiment; mocking
güvence	guarantee
tavsiye	recommendation, advice
melek	angel
örnekle	to exemplify
cezaevi	prison house, jail
ufuk	horizon
aydınlat	to enlighten, to light up
kaz	(n) goose (v) to dig; to excavate
düz	flat, straight, smooth
arın	to become clean
ikna	convincing
uzay	space
hariç	except for
gurur	pride
kura	drawing lots
savcı	public prosecutor
sars	to shake
tohum	seed
duygusal	emotional
oyuncak	toy
kurşun	lead; bullet
çekim	draw, pull; shooting; attraction
toparla	to gather together; to summarize
zeki	smart, clever
altyapı	infrastructure
idari	administrative
özür	excuse; handicap
yazın	(n) literature (adv) in summer
eğlen	to have fun
medeniyet	civilization
kazanç	earnings, benefit
taksi	taxi
kategori	category
çelişki	contradiction, paradox, disagreement
ideal	ideal, perfect
cemaat	religious community
maalesef	unfortunately
iktisadi	economic, financial
tutku	passion
hayret	amazement, surprise
yaratıcı	creative
mükemmel	excellent, perfect
başlıca	principal, main
sosyalist	socialist
aleyh	against
aksi	irritable; opposite
açlık	hunger
aydınlık	(n) brightness (adj) light; bright
özelleş	to be specialized in
kararlı	determined; stable
istikrar	stability
verimli	productive, fruitful
turist	tourist
aydınlan	to be enlightened, to become clear
tabaka	layer, stratum
ihmal	negligence
hayli	a lot
çekirdek	seed; core
kok	to smell
ger	to tighten; to irritate
heykel	sculpture
zenginlik	richness, wealth
müze	museum
kabuk	peel; shell; bark
bunca	this much
danış	to consult
yoğunluk	density, intensity
tuvalet	toilet
kurs	course
katlan	to tolerate, to endure
açıklık	openness; clarity
örtü	cover
bildiri	notice; proclamation
kanıt	evidence, proof
özne	subject
yaşantı	experience
duman	smoke, fumes
kamera	camera
kullanıcı	user
delikanlı	young (man), juvenile
cihaz	gadget
vicdan	conscience
etkileşim	interaction
çelik	steel
kızar	to turn red; to be fried
araştırmacı	researcher
hekim	physician
şükür	gratitude, thankfulness to God
iyilik	goodness, kindness, favor
şahıs	person, individual
sekreter	secretary
dam	roof
mide	stomach; belly
gidiş	going, departure
asır	century
gözlemle	to observe
seyahat	journey, travel, voyage
besin	nourishment, food
ayıp	(n) shame, disgrace (adj) shameful
hikaye	story
yığ	to pile up
ayrılık	separation; division
koşulla	to condition
devamlı	always, continuously
yığın	heap, pile, stack
daral	to become narrow, to get tight
gerile	to regress
öv	to praise
senaryo	scenario, screenplay
izleyici	audience
yönetmelik	regulation, instruction
çatı	roof
sandalye	chair
formül	formula
küçül	to become small; to shrink
başkent	capital
stratejik	strategic
koyu	dark (color)
kare	square
iri	large, coarse
uzlaş	to compromise
çöp	garbage
evli	married
tümüyle	completely
etnik	ethnic
çıplak	naked; bare
süsle	to decorate
şekillen	to form
tüken	to be exhausted; to be consumed
ayrıntılı	detailed
şaşkınlık	surprise, confusion
kaba	rough; rude
fiil	act, action
yoksun	deprived of; devoid of
manevi	spiritual, emotional
hüzün	melancholy
taze	fresh; new
prensip	principle
aslan	lion
makale	article
şehit	martyr
liman	harbor, port
varol	to exist
hukuki	legal
sız	to leak
büro	office, bureau
dağıtım	distribution
kana	to bleed
isimli	called, named
fizik	physics
albüm	album
zavallı	poor, miserable
kum	sand
yapısal	structural
alkol	alcohol
tırman	to climb
rahatsızlık	discomfort
istifa	resignation
eyle	to act, to do
elle	to touch
bunalım	depression, crisis
tekne	boat
